N	3gram	Trubetskoy	OGranits
1	с точки зрения	8	5
2	не может быть	4	4
3	до тех пор	1	4
4	одно и то	1	3
5	по отношению к	11	3
6	в том что	16	2
7	ничего общего с	2	2
8	в зависимости от	1	2
9	в данном случае	3	2
10	но так как	2	2
11	и то же	1	2
12	в самом деле	5	2
13	с одной стороны	2	2
14	с другой стороны	4	2
15	с самого начала	1	2
16	мы все же	2	1
17	на самом деле	7	1
18	таким образом мы	1	1
19	те же самые	1	1
20	все то что	1	1
21	может быть не	1	1
22	иметь в виду	1	1
23	иметь не может	1	1
24	так и для	2	1
25	между тем мы	1	1
26	свидетелями того как	1	1
27	не говорить о	1	1
28	между тем как	1	1
29	элементов входящих в	1	1
30	в каждом индивидуальном	1	1
31	себя и все	1	1
32	так же как	3	1
33	мы утверждаем что	1	1
34	на то что	7	1
35	для того чтобы	7	1
36	во всей своей	1	1
37	будут с одной	1	1
38	и помимо этого	1	1
39	и более или	1	1
40	хотя бы в	1	1
41	только одно из	1	1
42	тех случаях когда	1	1
43	этой точки зрения	1	1
44	из него все	1	1
45	как и в	2	1
46	в связи с	3	1
47	то же самое	1	1
48	к тому что	1	1
49	та или иная	1	1
50	все же остается	1	1
51	тем не менее	4	1
52	несмотря на все	1	1
53	только то что	2	1
54	нет и не	1	1
55	так как все	1	1
56	то же время	2	1
57	более или менее	8	1
58	в то же	2	1
59	но и его	2	1
60	вместе с ними	1	1
61	в процессе подражания	1	1
62	с этой точки	1	1
63	можно было бы	1	1
64	в тех случаях	1	1
65	состоит в том	1	1
66	и не может	1	1
67	может быть и	4	1
