N	4gram	Vinokur_St	RusskieA
1	в том что в	3	8
2	обращает на себя внимание	1	3
3	так же как и	1	3
4	и в этом случае	2	2
5	во всяком случае не	2	2
6	такое же значение как	1	2
7	это не значит что	3	2
8	и т д и	2	2
9	в том что этот	1	2
10	нет никаких сомнений что	1	1
11	также в том что	1	1
12	одни и те же	1	1
13	пришел к выводу что	1	1
14	и т д в	1	1
15	этому поводу в и	1	1
16	еще до того как	2	1
17	ничего не говорится о	1	1
18	не все в этой	1	1
19	в то время как	1	1
20	говорит о том что	3	1
21	здесь дело не в	1	1
22	о том что в	1	1
23	не только в том	1	1
24	иметь в виду что	1	1
25	до сих пор в	1	1
26	была вместе с тем	1	1
27	состоящая в том что	1	1
28	не имеет ничего общего	2	1
29	вопрос о том кто	2	1
30	по этому поводу с	1	1
31	сомнений в том что	2	1
32	дело в том что	7	1
33	по этому поводу в	1	1
34	имеет ничего общего с	2	1
35	в другом месте своей	1	1
36	к тому что в	1	1
