N	2gram	Losev_Vesc	Russkaja
1	не может	44	22
2	и не	57	19
3	в этом	17	17
4	в том	15	17
5	с другом	2	14
6	и в	44	14
7	друг с	2	14
8	то что	47	13
9	таким образом	16	11
10	то же	12	11
11	точки зрения	10	11
12	но и	19	10
13	же время	4	10
14	в то	11	10
15	не только	48	9
16	с точки	6	9
17	том что	13	9
18	во всяком	4	9
19	может быть	37	9
20	в себе	23	9
21	прежде всего	17	8
22	того чтобы	4	8
23	не будет	13	7
24	ни к	3	7
25	самом деле	7	7
26	к тому	3	7
27	о том	11	7
28	самого себя	2	7
29	в данном	6	7
30	и если	5	7
31	мы должны	5	7
32	и с	11	7
33	отнюдь не	8	7
34	и к	1	6
35	для всех	1	6
36	если в	1	6
37	для него	8	6
38	признать что	2	6
39	все это	7	6
40	на самом	1	6
41	в своих	3	6
42	если бы	8	6
43	и для	13	6
44	в россии	2	6
45	с тем	8	6
46	что он	7	6
47	для того	3	6
48	в своем	9	6
49	всяком случае	2	6
50	а потому	2	5
51	до сих	1	5
52	и на	2	5
53	из которых	3	5
54	только в	23	5
55	или иной	1	5
56	по существу	3	5
57	в своей	6	5
58	в последние	2	5
59	во имя	3	5
60	жизни в	3	5
61	себя и	8	5
62	между собой	2	5
63	во всех	5	5
64	сих пор	1	5
65	и только	11	5
66	вопрос о	6	5
67	хотя бы	9	5
68	потому что	25	5
69	в нем	6	5
70	он не	4	5
71	конечно не	2	5
72	а в	6	5
73	при этом	1	5
74	было бы	24	5
75	на то	9	5
76	он должен	1	5
77	никогда не	5	5
78	что в	11	4
79	во всем	2	4
80	бы то	12	4
81	и то	14	4
82	все что	3	4
83	так как	17	4
84	к этой	1	4
85	тогда когда	5	4
86	в его	5	4
87	при таких	1	4
88	не могут	1	4
89	его в	8	4
90	более или	4	4
91	отказаться от	1	4
92	не в	14	4
93	вместе с	4	4
94	как и	15	4
95	все же	18	4
96	приводит к	2	4
97	в их	4	4
98	со стороны	9	4
99	себе и	2	4
100	ли это	9	4
101	или менее	4	4
102	то ни	13	4
103	можно было	6	4
104	что же	17	4
105	от того	7	4
106	идет речь	1	4
107	как бы	19	4
108	в этой	4	4
109	себя в	11	4
110	жизни и	6	4
111	но не	9	4
112	в самом	13	3
113	то в	4	3
114	что они	12	3
115	этом случае	1	3
116	что оно	10	3
117	собой и	1	3
118	и этот	2	3
119	может не	4	3
120	данном случае	2	3
121	должно быть	8	3
122	несмотря на	6	3
123	вопросу о	1	3
124	что это	18	3
125	в качестве	4	3
126	что и	11	3
127	сводится к	4	3
128	что может	1	3
129	в виде	3	3
130	не было	4	3
131	связи с	1	3
132	или в	3	3
133	сил и	1	3
134	тем что	7	3
135	именно в	2	3
136	в конце	3	3
137	и как	12	3
138	может только	1	3
139	и т	37	3
140	да и	5	3
141	о которых	2	3
142	о котором	2	3
143	не есть	79	3
144	но если	12	3
145	но мы	1	3
146	той или	3	3
147	еще не	12	3
148	и потому	8	3
149	всяком другом	1	3
150	только к	2	3
151	то это	5	3
152	мы говорили	2	3
153	одна из	6	3
154	на том	1	3
155	и ни	3	3
156	так чтобы	4	3
157	в другом	3	3
158	говорить о	9	3
159	можно ли	7	3
160	что бы	1	3
161	себя от	2	3
162	точке зрения	4	3
163	лишь в	1	3
164	она может	4	3
165	что для	5	3
166	главным образом	3	3
167	и во	3	3
168	том чтобы	2	3
169	таких условиях	1	3
170	одной из	1	3
171	с нею	19	3
172	что все	2	3
173	в сознании	1	3
174	ибо в	1	3
175	из этого	3	3
176	он сам	2	3
177	и по	1	3
178	а следовательно	4	3
179	конце концов	2	3
180	из этих	1	3
181	для этого	5	3
182	всех этих	1	3
183	таким же	1	3
184	из них	7	3
185	собой а	1	3
186	того что	16	3
187	представить себе	1	2
188	на почве	6	2
189	к такому	2	2
190	не так	2	2
191	вполне и	1	2
192	что с	1	2
193	именно на	1	2
194	это потому	1	2
195	что такое	20	2
196	зависит от	1	2
197	и вот	4	2
198	должна быть	8	2
199	к себе	4	2
200	сама по	7	2
201	для себя	6	2
202	весь смысл	1	2
203	с самим	4	2
204	проявляется в	1	2
205	из всех	1	2
206	будет не	1	2
207	самому своему	1	2
208	естественно что	1	2
209	от нас	1	2
210	с ним	8	2
211	она будет	2	2
212	в некоторых	1	2
213	для нас	2	2
214	ни в	11	2
215	в результате	9	2
216	это есть	8	2
217	это учение	4	2
218	в этих	1	2
219	у него	3	2
220	по себе	22	2
221	и человек	2	2
222	и даже	12	2
223	если не	3	2
224	ее в	1	2
225	не о	2	2
226	а во-вторых	1	2
227	к чему	2	2
228	или от	1	2
229	что ничего	1	2
230	но совершенно	4	2
231	на такой	2	2
232	все эти	5	2
233	раз навсегда	3	2
234	на себя	5	2
235	но для	2	2
236	том же	1	2
237	указывает на	8	2
238	в таком	1	2
239	отношения к	3	2
240	тому что	2	2
241	ясно что	10	2
242	помнить что	1	2
243	их в	6	2
244	себя как	3	2
245	в порядке	1	2
246	является не	2	2
247	и вместе	1	2
248	на эту	1	2
249	следовательно и	2	2
250	отличается от	8	2
251	нисколько не	7	2
252	по самому	3	2
253	так же	4	2
254	тогда как	3	2
255	в других	1	2
256	если же	5	2
257	уже не	15	2
258	полное и	1	2
259	в меру	1	2
260	к той	1	2
261	с этим	4	2
262	его и	4	2
263	того или	1	2
264	совершенно не	11	2
265	мы можем	4	2
266	на этой	2	2
267	а с	3	2
268	стремиться к	1	2
269	больше чем	1	2
270	– не	11	2
271	и более	4	2
272	в котором	4	2
273	мы уже	3	2
274	даже и	5	2
275	она не	9	2
276	в течение	1	2
277	но даже	3	2
278	это только	2	2
279	в ней	14	2
280	и тогда	7	2
281	и тем	7	2
282	быть и	5	2
283	в частности	3	2
284	для нее	2	2
285	а не	34	2
286	но она	3	2
287	только на	3	2
288	отношении к	4	2
289	речь идет	1	2
290	ни от	7	2
291	есть и	13	2
292	в силу	4	2
293	и является	1	2
294	и что	22	2
295	стоять на	2	2
296	чтобы она	3	2
297	и тот	1	2
