N	3gram	Vygotskiy_	Russkaja
1	друг с другом	6	14
2	то же время	2	10
3	в то же	2	10
4	с точки зрения	34	9
5	в том что	30	7
6	на самом деле	3	6
7	во всяком случае	5	6
8	для того чтобы	19	6
9	до сих пор	4	5
10	не может быть	8	4
11	на то что	9	4
12	к тому чтобы	2	4
13	бы то ни	1	4
14	той или иной	2	3
15	в конце концов	1	3
16	вместе с тем	5	3
17	можно было бы	6	3
18	в данном случае	5	3
19	с тем чтобы	1	3
20	и то что	1	3
21	не может не	1	3
22	к вопросу о	1	3
23	и не может	1	3
24	что он не	2	2
25	с самим собой	1	2
26	в том и	1	2
27	тот факт что	1	2
28	то это потому	1	2
29	точно так же	2	2
30	и тем самым	4	2
31	по самому своему	2	2
32	о том что	10	2
33	в себе и	1	2
34	сама по себе	3	2
35	к тому что	3	2
36	а следовательно и	1	2
37	точки зрения этой	1	2
38	таким же образом	1	2
39	это потому что	1	2
40	бы речь шла	1	2
41	друг от друга	4	2
42	она не может	1	2
43	если бы речь	1	2
44	и вместе с	1	2
45	отдельные ее части	1	1
46	свою очередь является	1	1
47	которая в свою	2	1
48	должны были бы	2	1
49	само собой разумеется	1	1
50	необходимо иметь в	1	1
51	ни у кого	1	1
52	в самом деле	5	1
53	даже тогда когда	1	1
54	в силу этого	4	1
55	в борьбе с	1	1
56	на точку зрения	2	1
57	указывает на то	3	1
58	связи между собой	1	1
59	и как бы	1	1
60	и в частности	3	1
61	что оно есть	1	1
62	за то что	1	1
63	и с точки	1	1
64	дело в том	2	1
65	смысле этого слова	6	1
66	и что его	1	1
67	о котором мы	1	1
68	является не только	1	1
69	бы обозначить как	1	1
70	речь идет о	4	1
71	и в своем	2	1
72	но и от	1	1
73	котором мы говорили	1	1
74	что же это	1	1
75	мы уже знаем	1	1
76	это значило бы	1	1
77	связаны друг с	1	1
78	ее отношения к	3	1
79	не могло бы	1	1
80	таким образом оказывается	1	1
81	но для этого	1	1
82	том числе и	3	1
83	так же как	6	1
84	бы показать что	1	1
85	и только в	1	1
86	но этого мало	1	1
87	и таким образом	2	1
88	по отношению к	11	1
89	только для того	2	1
90	от того что	2	1
91	и вот в	1	1
92	но мы должны	1	1
93	в том чтобы	6	1
94	не только от	1	1
95	по крайней мере	1	1
96	прежде всего в	2	1
97	в том виде	1	1
98	именно в силу	1	1
99	эта точка зрения	1	1
100	заключается в том	10	1
101	том что только	1	1
102	несмотря на то	1	1
103	с самого начала	9	1
104	содержат в себе	1	1
105	свою точку зрения	1	1
106	остается в силе	1	1
107	самому своему существу	1	1
108	когда речь идет	1	1
109	но на самом	1	1
110	в тот или	1	1
111	то ни было	1	1
112	о которых мы	1	1
113	жизни в том	1	1
114	живой отклик в	1	1
115	в этом вопросе	3	1
116	то что для	1	1
117	заключает в себе	1	1
118	совершенно ином виде	1	1
119	и материал для	1	1
120	по сравнению со	1	1
121	в единое целое	2	1
122	что не только	1	1
123	представить себе что	1	1
124	он не может	1	1
125	в связи с	3	1
126	то же самое	4	1
127	в совершенно ином	1	1
128	можно назвать эгоцентрической	1	1
129	мы говорили выше	3	1
130	в том же	3	1
131	между собой все	1	1
132	что с точки	2	1
133	лишь постольку поскольку	2	1
134	в том числе	3	1
135	что все это	1	1
136	тем не менее	1	1
137	в результате этого	1	1
138	образом оказывается что	1	1
139	но все же	1	1
140	несмотря на все	1	1
141	того и другого	1	1
142	только то что	2	1
143	в другом месте	6	1
144	то что оно	1	1
145	том что для	1	1
146	по этому пути	2	1
147	говорить о том	1	1
148	может интересовать только	1	1
149	его можно было	1	1
150	которое будет пользоваться	1	1
151	которых мы говорили	1	1
152	в этом отношении	6	1
153	настоящими реальными политиками	1	1
154	вопрос о том	2	1
155	в свою очередь	3	1
156	с другом в	2	1
157	жизни и в	1	1
158	в применении к	1	1
159	точки зрения этих	1	1
160	подход к вопросу	1	1
161	тем более что	1	1
162	в значительной степени	2	1
163	отношение человека к	1	1
164	к себе и	1	1
165	на этот вопрос	5	1
166	то и другое	1	1
167	тот или иной	1	1
168	речь шла о	1	1
169	или хотя бы	1	1
170	состоит в том	4	1
171	конечно не по	1	1
172	к тому же	1	1
173	ином виде чем	1	1
174	сводится к тому	1	1
175	потому что они	1	1
176	и в этом	1	1
177	превращается в какую-то	1	1
178	собой разумеется что	1	1
179	друг к другу	2	1
