N	3gram	Vinokur_Vv	KFilosof
1	по отношению к	4	22
2	не может быть	10	11
3	с точки зрения	4	10
4	может быть только	1	7
5	отношению к нему	1	4
6	того или иного	1	3
7	в этом смысле	10	3
8	может быть в	2	3
9	не было бы	1	3
10	на самом деле	1	3
11	и в этом	4	3
12	в том что	15	2
13	той или иной	3	2
14	со стороны ее	1	2
15	не со стороны	1	2
16	то или иное	1	2
17	имеем в виду	1	2
18	мы говорим о	1	2
19	во всех отношениях	1	2
20	тем не менее	9	2
21	бы и не	1	2
22	в то же	6	2
23	в соответствии с	2	2
24	то ни было	1	2
25	но это уже	1	2
26	бы то ни	1	2
27	вопрос о том	5	2
28	то же время	6	2
29	и хх вв	1	2
30	только в форме	1	1
31	том смысле в	1	1
32	в свою очередь	2	1
33	и тем не	3	1
34	имеет дело лишь	1	1
35	от себя не	1	1
36	еще не значит	1	1
37	здесь нет никакого	1	1
38	это может быть	1	1
39	вместе с тем	3	1
40	самого по себе	1	1
41	во всяком случае	5	1
42	том что между	1	1
43	он должен быть	1	1
44	на задний план	2	1
45	в том смысле	1	1
46	на том что	2	1
47	в средние века	1	1
48	не в этом	1	1
49	и в результате	1	1
50	то же самое	3	1
51	имеют дело с	2	1
52	во всех его	1	1
53	в самом своем	2	1
54	дело лишь с	1	1
55	и именно в	3	1
56	как момент в	1	1
57	и не потому	1	1
58	хотя бы и	2	1
59	ту или иную	1	1
60	дело не в	1	1
61	и та область	1	1
62	не есть еще	1	1
63	и не в	1	1
64	в том же	1	1
65	для того чтобы	22	1
66	только в том	2	1
67	не значит что	1	1
68	когда мы говорим	1	1
69	можно и должно	1	1
70	если бы оно	1	1
71	не в том	2	1
72	потому что в	1	1
73	только в этом	1	1
74	в настоящее время	1	1
75	имеют в виду	1	1
76	одного и того	2	1
77	вытекает из самого	1	1
78	с ней то	1	1
79	именно в этой	1	1
80	как это было	1	1
81	до сих пор	7	1
82	не потому что	1	1
83	того что в	1	1
84	бы оно было	1	1
85	в первом случае	2	1
86	дело в том	3	1
87	смысле этого слова	2	1
88	но в то	3	1
89	в лучшем случае	1	1
90	то что этот	1	1
91	само по себе	4	1
92	отсюда ясно что	1	1
93	в этом ее	1	1
94	в определенное время	1	1
95	уже не только	2	1
96	и не нужно	1	1
97	смысле слова в	1	1
98	тогда когда оно	1	1
99	в нем не	1	1
100	но во всяком	1	1
101	и то что	3	1
102	жизнь в целом	1	1
103	все это можно	1	1
104	тем или иным	2	1
105	в зависимости от	3	1
106	как если бы	1	1
107	и того же	2	1
108	не может не	1	1
109	но в этом	1	1
110	и вопрос о	1	1
111	она может быть	1	1
112	друг для друга	1	1
113	во второй половине	2	1
114	отсюда следует что	1	1
115	и говорить о	1	1
116	к тому что	1	1
117	со стороны своего	2	1
118	что может быть	3	1
119	влечет за собой	2	1
120	в соответствующих местах	1	1
121	притом не только	1	1
122	а именно в	1	1
123	на этом пути	1	1
124	в известном смысле	3	1
125	между прочим и	1	1
126	в одном случае	1	1
127	только тогда когда	1	1
128	в значительной степени	1	1
129	же самое что	2	1
130	стороны своего содержания	2	1
131	в себя всю	1	1
132	может быть и	2	1
133	ясно и то	1	1
