N	4gram	Tiupa_Teor	FransuaR
1	в то же время	8	55
2	но в то же	2	20
3	в том числе и	2	17
4	дело в том что	1	13
5	и в то же	2	12
6	в той или иной	1	10
7	мы имеем в виду	3	5
8	с одной стороны и	1	5
9	в связи с этим	1	4
10	одного и того же	4	3
11	не что иное как	1	3
12	и те и другие	1	3
13	есть не что иное	1	3
14	а с другой стороны	1	2
15	заключается в том что	1	2
16	бы то ни было	2	2
17	но дело в том	1	2
18	то же время они	1	2
19	в более или менее	1	2
20	ни в коем случае	2	2
21	не может быть и	1	2
22	и по отношению к	1	2
23	одним и тем же	1	2
24	какой бы то ни	1	2
25	в том или ином	1	2
26	то же время эти	1	1
27	по своему смыслу и	1	1
28	это по преимуществу ночной	1	1
29	он не говорит что	1	1
30	в том что в	1	1
31	они существенно связаны с	1	1
32	то же время оно	1	1
33	между вещами и ценностями	1	1
34	вольный фамильярный контакт между	1	1
35	отвечая на вопрос о	1	1
36	и в самом деле	2	1
37	только то что может	1	1
38	как это делает например	1	1
39	бы карнавал переживаемый в	1	1
40	контакт между всеми людьми	1	1
41	одно и то же	2	1
42	в одном и том	1	1
43	той или иной мере	1	1
44	в узком и специфическом	1	1
45	одном и том же	1	1
46	подчеркнуть при этом что	1	1
47	переживаемый в одиночку с	1	1
48	состоит в том что	5	1
49	как бы карнавал переживаемый	1	1
50	в том случае если	1	1
51	в том что она	1	1
52	что в отличие от	1	1
53	в одиночку с острым	1	1
54	карнавал переживаемый в одиночку	1	1
55	как бы в точке	1	1
56	есть в конечном счете	1	1
57	так же точно и	1	1
58	в том что он	2	1
59	фамильярный контакт между всеми	1	1
60	в одной из своих	1	1
