N	4gram	Vygotskiy_	Analitik
1	состоит в том что	4	7
2	не что иное как	2	6
3	одного и того же	5	6
4	есть не что иное	1	5
5	с той или иной	1	4
6	в том что он	1	4
7	одни и те же	3	3
8	одной и той же	5	3
9	бы то ни было	1	3
10	с этой точки зрения	4	2
11	одних и тех же	1	2
12	в такой же мере	1	2
13	один и тот же	6	2
14	заключается в том что	16	2
15	одно и то же	6	2
16	одна и та же	1	1
17	и в том что	1	1
18	в отличие от ряда	1	1
19	собой не что иное	1	1
20	в этом случае в	1	1
21	это означает что в	1	1
22	в том случае если	2	1
23	не мог бы стать	2	1
24	во всяком случае не	1	1
25	так как если бы	1	1
26	тех или иных элементов	1	1
27	роль по отношению к	1	1
28	в том смысле что	2	1
29	к тому или иному	3	1
30	что в отличие от	1	1
31	в том что одно	1	1
32	том виде в каком	1	1
33	в том что начальные	1	1
34	и вместе с тем	2	1
35	дальнейшем мы будем иметь	1	1
36	только в том что	4	1
37	то же самое что	1	1
38	вступает в противоречие с	1	1
39	том что он не	1	1
40	в том числе и	3	1
41	или во всяком случае	1	1
42	а с другой с	1	1
43	что мы знаем о	4	1
44	в самом деле как	1	1
45	на одни и те	1	1
46	не сами по себе	1	1
47	как это имеет место	1	1
48	и те же слова	1	1
49	это имеет место в	1	1
50	тем не менее не	1	1
51	можно сказать что они	1	1
52	связи и отношения между	1	1
53	в собственном смысле слова	3	1
54	друг с другом в	1	1
55	совпадают с теми же	1	1
56	во всех этих случаях	1	1
57	все что мы знаем	4	1
58	приводит к тому что	1	1
59	и в этом смысле	1	1
60	в том виде в	1	1
61	одним и тем же	4	1
62	уже содержит в себе	1	1
63	по отношению ко всем	1	1
64	с одной стороны с	1	1
65	в том что мы	1	1
66	в дальнейшем мы будем	1	1
67	в целом все это	1	1
