N	3gram	Tiupa_Teor	Hudozhes
1	по отношению к	10	10
2	не сводится к	9	9
3	в том что	10	8
4	присутствия в мире	6	7
5	я в мире	8	7
6	в то же	8	7
7	в отличие от	7	7
8	то же время	8	7
9	с другой стороны	6	6
10	более или менее	6	6
11	присутствия я в	7	6
12	той или иной	3	5
13	в конечном счете	6	5
14	для того чтобы	5	5
15	состоит в том	6	5
16	так или иначе	5	4
17	того или иного	6	4
18	не может быть	5	4
19	факторов художественного впечатления	4	4
20	я и его	1	4
21	так и не	5	4
22	коммуникативная природа литературы	1	4
23	в силу своей	4	4
24	семиотическая природа литературы	1	4
25	эстетическая природа литературы	1	4
26	бытия я и	1	4
27	его внешней заданности	1	4
28	роли в миропорядке	5	4
29	внутренней данности бытия	1	4
30	и его внешней	2	4
31	искусство слова как	1	4
32	данности бытия я	1	4
33	порядка в душе	4	4
34	по сути своей	2	3
35	но не слияние	3	3
36	это отношение знака	3	3
37	мы имеем в	3	3
38	ни в мире	3	3
39	с точки зрения	3	3
40	в этом смысле	3	3
41	имеем в виду	3	3
42	и в самом	2	3
43	в виду не	3	3
44	порядок в душе	3	3
45	в том числе	3	3
46	тем не менее	3	3
47	всех без исключения	3	3
48	можно сказать что	3	3
49	сближение но не	3	3
50	и то же	2	3
51	следует смешивать с	3	3
52	одного и того	4	3
53	с другими знаками	3	3
54	читателя зрителя слушателя	3	3
55	отношение знака к	3	3
56	одно и то	2	3
57	подобно тому как	3	3
58	первичной знаковой системы	3	3
59	организации художественного текста	4	3
60	или иного жанра	3	3
61	виду не только	3	3
62	несет в себе	3	3
63	субъект художественной деятельности	3	3
64	и того же	4	3
65	по сути дела	3	3
66	в связи с	3	3
67	в знаковом материале	3	3
68	кадров внутреннего зрения	7	3
69	эстетическое отношение к	3	3
70	не следует смешивать	3	3
71	с одной стороны	3	3
72	тот или иной	3	3
73	сказания или анекдота	2	2
74	в тарасе бульбе	2	2
75	в рамках художественного	2	2
76	реальности вымышленного мира	2	2
77	но в состав	2	2
78	войне и мире	2	2
79	художественности далеко не	2	2
80	художественности состоит в	2	2
81	в той или	1	2
82	в слове о	2	2
83	ведет по пути	2	2
84	художественной деятельности в	2	2
85	как совокупность факторов	2	2
86	речевая маска такого	2	2
87	в свою очередь	3	2
88	в качестве знаков	2	2
89	единица внутренней речи	2	2
90	бы то ни	2	2
91	реального читателя в	2	2
92	то чему нельзя	2	2
93	но он не	2	2
94	искусства в узком	2	2
95	в области искусства	2	2
96	эстетической ценности необходима	1	2
97	в данном контексте	2	2
98	времени и в	2	2
99	в искусстве слова	2	2
100	в структуре текста	2	2
101	отношение представляет собой	2	2
102	в узком значении	2	2
103	его эстетической доминантой	2	2
104	но во всех	2	2
105	уровня сегментации целого	1	2
106	и прежде всего	1	2
107	креативного и рецептивного	2	2
108	как к содержанию	2	2
109	внутренняя граница личности	2	2
110	процесс превращения реального	2	2
111	художественной культуры в	2	2
112	сегментов текста как	2	2
113	до известной степени	2	2
114	предпосылкой эстетического отношения	2	2
115	мастера и маргариты	2	2
116	автор относится как	2	2
117	слова как вторичная	1	2
118	позволяет говорить о	2	2
119	все расположилось в	2	2
120	является своего рода	1	2
121	кто говорит и	2	2
122	типа эстетического завершения	2	2
123	а на деле	1	2
124	он тем не	2	2
125	в данный момент	2	2
126	в русской литературе	2	2
127	субъектной организации художественного	3	2
128	человека к действительности	2	2
129	предпосылки двоякого рода	2	2
130	причастной вненаходимости бахтин	2	2
131	знакового материала в	2	2
132	это коммуникативное содержание	2	2
133	в общественном сознании	2	2
134	это своего рода	2	2
135	вторичной знаковой системы	2	2
136	в мире на	1	2
137	способность знака к	2	2
138	определяющим отношением художественности	2	2
139	потребности и способности	2	2
140	себя в другом	1	2
141	произведение искусства более	2	2
142	значении этого термина	1	2
143	я в качестве	2	2
144	по большей части	2	2
145	случае не следует	2	2
146	этой точки зрения	2	2
147	стихотворении пушкина что	2	2
148	искусства может быть	1	2
149	ту или иную	2	2
150	в единое целое	2	2
151	в том и	1	2
152	с этой точки	2	2
153	но и любые	2	2
154	героя тогда как	1	2
155	в самом деле	2	2
156	во всех подобных	2	2
157	предполагает способность знака	2	2
158	с ними и	2	2
159	в коем случае	2	2
160	во внешнем мире	2	2
161	элемента эстетической реальности	2	2
162	иной строй эстетической	2	2
163	словами м.м бахтина	2	2
164	культуре хх века	1	2
165	в стилистическом отношении	2	2
166	культуры новейшего времени	2	2
167	литературного произведения выступает	1	2
168	искусства но чтобы	2	2
169	художественная деятельность мыслится	2	2
170	в эстетический объект	2	2
171	в качестве знаковых	2	2
172	модальности эстетического завершения	1	2
173	автора и читателей	1	2
174	в таком случае	2	2
175	как элемента эстетической	2	2
176	читателя в читателя	2	2
177	в войне и	2	2
178	как бы не	1	2
179	в мясную лавку	1	2
180	внутреннего слуха и	2	2
181	внутренней и внешней	2	2
182	в противном случае	2	2
183	со стороны адресата	2	2
184	начало и конец	1	2
185	целую панораму слов	2	2
186	участок текста характеризующийся	2	2
187	слове о полку	2	2
188	том и состоит	1	2
189	что в имени	2	2
190	невоспроизводимости творческого акта	2	2
191	всех подобных случаях	2	2
192	в отношении обратного	2	2
193	относится как к	2	2
194	художественный текст в	2	2
195	в качестве виртуальной	1	2
196	включает в себя	2	2
197	более не сводится	2	2
198	с ее ролевой	1	2
199	ни в коем	2	2
200	и некоторые иные	2	2
201	в отношении к	2	2
202	вторичной знаковой системой	1	2
203	ни одно слово	1	2
204	оказывается отношение автор	2	2
205	уготованной ему позиции	2	2
206	преодолеваемая даль и	2	2
207	что отличает тексты	2	2
208	искусства более не	2	2
209	отношении обратного параллелизма	2	2
210	не в самом	2	2
211	деятельности в рамках	2	2
212	по своей природе	3	2
213	художественности и позволяет	2	2
214	том числе и	2	2
215	до прихода в	2	2
216	конструктивному принципу иносказательности	2	2
217	в порядке образующем	2	2
218	модель присутствия я	1	2
219	чтобы не остаться	2	2
220	стратегии художественного письма	1	2
221	в этом мире	2	2
222	тех или иных	3	2
223	другими знаками чем	2	2
224	или говоря иначе	2	2
225	в теорию литературы	1	2
226	и в форме	2	2
227	продолжением и развитием	2	2
228	текст как совокупность	2	2
229	с легкой руки	2	2
230	и в то	2	2
231	вторичная знаковая система	1	2
232	расположилось в порядке	2	2
233	композиционных форм высказывания	2	2
234	структура художественного текста	1	2
235	во всей его	2	2
236	как вторичная знаковая	1	2
237	так лирический герой	1	2
238	от лат receptio	1	2
239	деятельностью направленной на	2	2
240	а с другой	2	2
241	вокруг я героя	2	2
242	не могло быть	2	2
243	не сводятся к	2	2
244	одно слово художественного	1	2
245	мира представляет собой	2	2
246	отношению к герою	2	2
247	том что он	2	2
248	я с его	2	2
249	обращены к нашему	2	2
250	или иной строй	2	2
251	что в основе	2	2
252	вторичной знаковой системе	2	2
253	тем или иным	2	2
254	то ни было	2	2
255	в мире это	2	2
256	личностного присутствия в	2	2
257	художественной культуры новейшего	2	2
258	чему нельзя научиться	2	2
259	в рамках которого	2	2
260	либо в сторону	2	2
261	художественного мышления и	2	2
262	эстетическое отношение представляет	2	2
263	как уже говорилось	2	2
264	в миропорядке судьбы	1	2
265	и сближение но	2	2
266	значении этого слова	3	2
267	сама по себе	2	2
268	отношения к сообщаемому	2	2
269	в качестве текста	3	2
270	необходимы предпосылки двоякого	2	2
271	и не могло	2	2
272	к тому что	2	2
273	говорить о законе	2	2
274	в целую панораму	2	2
275	состоит в совмещении	1	2
276	мы легко догадываемся	2	2
277	о полку игореве	2	2
278	даль и сближение	2	2
279	объективной предпосылкой эстетического	2	2
280	пушкина что в	2	2
281	однако при этом	2	2
282	слово художественного текста	1	2
283	в известном смысле	2	2
284	художественной культуре хх	1	2
285	стили могут быть	2	2
286	индивидуального речевого замысла	2	2
287	полноте и неизбыточности	1	2
288	модус художественности состоит	2	2
289	приводит к тому	2	2
290	я героя как	2	2
291	в равной степени	3	2
292	в значительной степени	2	2
293	на воспринимающее сознание	2	2
294	новой парадигмы художественности	2	2
295	превращения реального читателя	2	2
296	в художественной культуре	1	2
297	в читателя концепированного	2	2
298	в основе своей	2	2
299	может быть названо	2	2
300	коем случае не	2	2
301	мы имеем дело	2	2
302	и позволяет говорить	2	2
303	в имени тебе	2	2
304	может быть и	2	2
305	совокупность факторов художественного	2	2
306	начинает восприниматься как	2	2
307	силу своей принципиальной	2	2
308	единиц речи есть	1	1
309	текст в принципе	1	1
310	оказывается одновременно экзистенциальным	1	1
311	языка пение как	1	1
312	рецептивной позиции читателя	1	1
313	содержание эстетической деятельности	1	1
314	ослабляет и художественность	1	1
315	о его древности	1	1
316	ангел гармонии пришвин	1	1
317	и балагану чеховский	1	1
318	но не верифицируемым	1	1
319	белецким и др	1	1
320	знаки чаще всего	1	1
321	низкой данности апостолов	1	1
322	внутренним отчуждением но	1	1
323	сакральная истинность незыблемого	1	1
324	субъективно отрефлектированной но	1	1
325	текста абзац знаменующий	1	1
326	образом живописный портрет	1	1
327	авторской позиции организующей	1	1
328	отношение как сугубо	1	1
329	ногах нервно движутся	1	1
330	говорят определяющее данную	1	1
331	дискурс вовлекает адресата	1	1
332	ее составе в	1	1
333	познанием но собственно	1	1
334	и будущей жизни	1	1
335	к его естественному	1	1
336	судьбы анны карениной	1	1
337	тогда как знаки	1	1
338	его летописных версиях	1	1
339	стихотворениях например говорит	1	1
340	расположение внешних предметов	1	1
341	другим видимая и	1	1
342	выбрать одну подходящую	1	1
343	я бессознательно ориентируюсь	1	1
344	и креативной компетенцией	1	1
345	оправданном а в	1	1
346	антинормативного по слову	1	1
347	по шеллингу чем	1	1
348	а гоголевский хома	1	1
349	многоточия в конце	1	1
350	буквы или существа	1	1
351	с чем человек	1	1
352	числу эристических от	1	1
353	лингвистической точки зрения	1	1
354	воспринимать ее патетически	1	1
355	некоторого единого хотя	1	1
356	автор видит шире	1	1
357	компетентностью остранненного узнавания	1	1
358	можно предположить в	1	1
359	с кротким мягким	1	1
360	могло быть без	1	1
361	начинала обретать статус	1	1
362	рассмотренные способы эстетического	1	1
363	для самоактуализации личности	1	1
364	доказать его можно	1	1
365	внутренней оторванности от	1	1
366	качестве бытийной компетенции	1	1
367	романский или германский	1	1
368	анны карениной мы	1	1
369	отклонений от языковой	1	1
370	как сверхсложного семиотического	1	1
371	xxix главе первой	1	1
372	самых значительных художественных	1	1
373	точно так же	1	1
374	компетенция текста предстает	1	1
375	и воспринимающего в	1	1
376	воспроизводимости поскольку не	1	1
377	можно охарактеризовать семиотическую	1	1
378	содержание художественной деятельности	1	1
379	комизм комическая личность	1	1
380	не могли бы	1	1
381	эстетическое вполне осуществляет	1	1
382	границей личностного я	1	1
383	некоего гениального индивидуума	1	1
384	различный коммуникативный статус	1	1
385	героя как ценностного	1	1
386	идиллической картины жизни	1	1
387	просто связанной так	1	1
388	свободы я внутри	1	1
389	соответственно риторика сказания	1	1
390	это делает достоверность	1	1
391	хозяин все оставить	1	1
392	ответственность за него	1	1
393	содержанию миропорядка и	1	1
394	властными редакторскими полномочиями	1	1
395	парадигма научности или	1	1
396	произведения изобразительного искусства	1	1
397	вторичную семантизацию звучания	1	1
398	примеряя ее содержание	1	1
399	читателя входит в	1	1
400	расширяя почти безгранично	1	1
401	в последовательностях эпизодов	1	1
402	ср признание баратынского	1	1
403	читатель зритель слушатель	1	1
404	он уклоняется от	1	1
405	хозяин лавки совершает	1	1
406	содержания лишь в	1	1
407	мире можно назвать	1	1
408	и сосредоточение художественной	1	1
409	строф в евгении	1	1
410	невозвратного мгновения при	1	1
411	эмоциональная рефлексия осуществимо	1	1
412	возводящие архитектонику подвига	1	1
413	это глаза ее	1	1
414	с такими морщинами	1	1
415	мир весь целиком	1	1
416	чеховым в смерти	1	1
417	вставкой где словам	1	1
418	писал об этом	1	1
419	языком однако она	1	1
420	жизнь природа или	1	1
421	классицизма в национальных	1	1
422	в тексте не	1	1
423	действия или субъектом	1	1
424	лирический герой одновременно	1	1
425	собственно говоря только	1	1
426	карнавальный хронотоп в	1	1
427	служить знаком чего-либо	1	1
428	объемлет всю внешнюю	1	1
429	воспринимающей деятельности сознания	1	1
430	их высокой сверхличной	1	1
431	ними взаимополемичность или	1	1
432	к сочинительству семиотическими	1	1
433	улиц шумных элегический	1	1
434	однако впоследствии при	1	1
435	порок островского образцом	1	1
436	сверхличного долга новые	1	1
437	степени парадигматика естественного	1	1
438	несовпадение экзистенциальных кругозоров	1	1
439	интонации и оценки	1	1
440	практически не признает	1	1
441	говоря словами канта	1	1
442	или иной императив	1	1
443	субъективной компетентностью индивидуального	1	1
444	притчевая дискурсия с	1	1
445	для соответствующей языковой	1	1
446	утратит свою вненаходимость	1	1
447	уединенной личности такова	1	1
448	ситуативного диалогизированного слова	1	1
449	было введено в	1	1
450	текст синтагматическую совокупность	1	1
451	значений обретающий вследствие	1	1
452	есть высшая деятельная	1	1
453	в мире необходимости	1	1
454	принципе могут быть	1	1
455	создает эффект распределенности	1	1
456	объектная организация речевого	1	1
457	хх века и	1	1
458	образом характеризует говорящего	1	1
459	разумеется читатель всегда	1	1
460	эстетические потребности духовной	1	1
461	очередь определяется предметом	1	1
462	пустота личного самоопределения	1	1
463	должно быть референтным	1	1
464	написано литературное произведение	1	1
465	претерпевает вторичную семантизацию	1	1
466	в предромантизме см	1	1
467	как другого фигура	1	1
468	словесные но и	1	1
469	образуют событийные границы	1	1
470	участник которого наделен	1	1
471	рода адресатом моей	1	1
472	определенным диалогическим углом	1	1
473	гоголя или в	1	1
474	не следует соотносить	1	1
475	состояния художественного сознания	1	1
476	в окружающей их	1	1
477	этого абзаца зато	1	1
478	ординарной лексикой громады	1	1
479	слуха и в	1	1
480	его значением а	1	1
481	отказ самосознания от	1	1
482	лавки совершает символическое	1	1
483	а крученых к	1	1
484	культурную автономию в	1	1
485	прочтения согласно характеристике	1	1
486	графически как прямая	1	1
487	культуре для всех	1	1
488	менее удачной манифестацией	1	1
489	борющихся сторон чего	1	1
490	а места б	1	1
491	слитки жира тучное	1	1
492	устанавливает между ними	1	1
493	своей является облеченным	1	1
494	же я в	1	1
495	рязани батыем трагическая	1	1
496	художественная ткань текста	1	1
497	универсально родственно всем	1	1
498	хотя и это	1	1
499	речи по характеристике	1	1
500	переживанием игре с	1	1
501	обеих борющихся сторон	1	1
502	субъекта необходимо уточнить	1	1
503	слишком самой хотелось	1	1
504	что он не	1	1
505	к внутреннему слуху	1	1
506	анны карениной эти	1	1
507	слова могут встречаться	1	1
508	счете религиозного мироотношения	1	1
509	ситуация управляемая единым	1	1
510	литература есть жизнь	1	1
511	нарушителем некоторых норм	1	1
512	художественного текста формируется	1	1
513	и не быть	1	1
514	такого что можно	1	1
515	заместителями тех объектов	1	1
516	во времени или	1	1
517	четырех параллельно развившихся	1	1
518	установок воспринимающего сознания	1	1
519	в мире едины	1	1
520	вполне осуществляет себя	1	1
521	вне познаваемого объекта	1	1
522	средство то есть	1	1
523	природе суть то	2	1
524	смысле домонологично оно	1	1
525	завершенность остановленного мгновения	1	1
526	лингвистической знаковой системы	1	1
527	и формы высказывания	1	1
528	основания для сатирической	1	1
529	чужого я поскольку	1	1
530	в принципе могут	1	1
531	как знаменитое дыр-бул-щыл	1	1
532	же параметрам ведет	1	1
533	оценке согласно императиву	1	1
534	говорят сторон общения	1	1
535	деталей в пределах	1	1
536	цель изображать красоту	1	1
537	принципиально новой реальности	1	1
538	несводимости человека к	1	1
539	устремленный от одного	1	1
540	своего объекта и	1	1
541	кто говорит референтной	1	1
542	произведения для того	1	1
543	есть приобретает для	1	1
544	осуществление которой определенным	1	1
545	их частного характера	1	1
546	были они представляются	1	1
547	ревизора сатирик их	1	1
548	это переживание красоты	1	1
549	окружающей его жизни	1	1
550	исполнитель передаваемого текста	1	1
551	внутреннего мира героев	1	1
552	малом круге повседневности	1	1
553	свою практическую деятельность	1	1
554	таким центром здесь	1	1
555	одно слово смыслы	1	1
556	всего лишь одного	1	1
557	невозможно рассказывать себе	1	1
558	деятельность составления текстов	1	1
559	например в старосветских	1	1
560	знания аналогичному адресату	1	1
561	имеется свое незаместимое	1	1
562	жизни россыпь таких	1	1
563	искусства писатель помимо	1	1
564	достигнут развертыванию должен	1	1
565	синтагматически разнородных уровней	1	1
566	и способности концентрировать	1	1
567	проективной компетентностью остранненного	1	1
568	обнаруживать и отсутствие	1	1
569	летописной версии те	1	1
570	самоопределения оказывается шире	1	1
571	рамках которого только	1	1
572	сопереживания узнавания в	1	1
573	животного в рамках	1	1
574	уходите куда же	1	1
575	избежит невидимого тленья	1	1
576	переживание душевного покоя	1	1
577	личности в противоположность	1	1
578	отношение к сообщенному	1	1
579	аналогичным образом писатель	1	1
580	области искусства представляет	1	1
581	и праздничность в	1	1
582	в углублении драматизма	1	1
583	художественном мире одиночество	1	1
584	одно зрение и	1	1
585	корманом объектную и	1	1
586	обширной сфере человеческой	1	1
587	но кто бы	1	1
588	или существа в	1	1
589	когда на обломках	1	1
590	мире необходимости ни	1	1
591	построения связного и	1	1
592	может и не	1	1
593	сотворивший ее художник	1	1
594	обладающего знанием тех	1	1
595	сознание как непреложный	1	1
596	соответствующего языка не	1	1
597	актуализация их смысла	1	1
598	согласия за которым	1	1
599	жизни то есть	1	1
600	судьбы здесь излишне	1	1
601	речевому субъекту и	1	1
602	иисусовой притче о	1	1
603	нее вкусом который	1	1
604	форм ее восприятия	1	1
605	маска биографа диалогизирована	1	1
606	психологический парадокс характеризует	1	1
607	артикуляционно-звуковая сторона речевой	1	1
608	деятельностью семиотической знаковой	1	1
609	его батальной зарисовки	1	1
610	лирического героя художественно	1	1
611	что словно в	1	1
612	на текст произведения	1	1
613	центра речь идет	1	1
614	адресата соотносительное с	1	1
615	параллельно развившихся субпарадигмы	1	1
616	с формой авторства	1	1
617	желая избегнуть их	1	1
618	миру ирония есть	1	1
619	внутреннюю свободу личности	1	1
620	предтечей столь существенного	1	1
621	своем стремительном развитии	1	1
622	системой художественный язык	1	1
623	развитием укрупненных атрибутов	1	1
624	на произведение всякое	1	1
625	свиток жизни в	1	1
626	столь привычных для	1	1
627	напротив непомерно расширяя	1	1
628	эстетическая деятельность напротив	1	1
629	не обладает как	1	1
630	лиц или напротив	1	1
631	о явлениях самой	1	1
632	изложение собственного ее	1	1
633	на предыдущей стадии	1	1
634	принадлежит только то	1	1
635	образотворческом созидании яркая	1	1
636	жена тараса любит	1	1
637	в перспективе окончательного	1	1
638	он воодушевленно устремляется	1	1
639	гедонистического физиологического наслаждения	1	1
640	для сообщения о	1	1
641	удостоверяет личностность персонажа	1	1
642	анекдота ценностное самоотмежевание	1	1
643	такой разрыв в	1	1
644	героя вытесненные из	1	1
645	превращается в эстетический	1	1
646	способом осуществления ее	1	1
647	рассказе исход неопределимого	1	1
648	может быть проделано	1	1
649	и укрепление в	1	1
650	европейцев только в	1	1
651	человеческие занятия требуют	1	1
