N	2gram	Trubetskoy	Morfolog
1	и т	3	62
2	может быть	9	61
3	таким образом	11	26
4	могут быть	1	21
5	так как	4	20
6	не может	22	19
7	в этом	17	18
8	в этих	2	17
9	и в	14	17
10	и не	19	16
11	этих случаях	1	15
12	перед нами	1	14
13	с этим	2	14
14	прежде всего	8	14
15	по существу	5	13
16	связи с	3	12
17	а не	2	11
18	чаще всего	1	11
19	что в	4	10
20	то же	11	10
21	вопрос о	5	10
22	не всегда	1	10
23	но если	3	10
24	этом случае	3	10
25	в том	17	10
26	так и	1	10
27	что и	3	10
28	в связи	1	10
29	то что	13	10
30	все же	4	9
31	с другой	1	9
32	но и	10	9
33	не только	9	8
34	в результате	2	8
35	мы не	1	8
36	в качестве	3	8
37	но не	4	8
38	а в	5	8
39	как мы	1	8
40	один из	1	7
41	если в	6	7
42	не могут	4	7
43	не менее	1	7
44	том что	9	7
45	потому что	5	7
46	по отношению	2	7
47	точки зрения	11	7
48	как это	1	7
49	тем не	1	7
50	отношению к	1	7
51	о том	7	6
52	как бы	4	6
53	но это	2	6
54	это не	1	6
55	с точки	9	6
56	или в	3	6
57	и как	3	6
58	вовсе не	1	6
59	во всех	5	6
60	если мы	1	6
61	также и	1	6
62	во время	2	6
63	из которых	5	5
64	по их	1	5
65	что он	6	5
66	со стороны	4	5
67	то это	3	5
68	хотя бы	5	5
69	было бы	5	5
70	к тому	7	5
71	что они	3	5
72	тому что	2	5
73	ясно что	2	5
74	все эти	2	5
75	одна из	3	5
76	между собой	5	5
77	на его	1	5
78	об этом	1	5
79	в других	2	5
80	мы можем	2	5
81	между тем	5	5
82	он не	5	5
83	если же	2	5
84	главным образом	3	5
85	и к	6	4
86	в некоторых	2	4
87	есть и	2	4
88	как и	4	4
89	самом деле	7	4
90	но все	1	4
91	ни одна	3	4
92	показать что	1	4
93	тем что	3	4
94	уже не	2	4
95	еще не	3	4
96	не является	1	4
97	а если	1	4
98	тех же	1	4
99	входит в	1	4
100	того чтобы	8	4
101	говорить о	3	4
102	так же	2	4
103	на него	1	4
104	и для	6	4
105	из них	3	4
106	но в	2	4
107	несмотря на	3	4
108	на самом	6	4
109	его в	4	4
110	что его	1	4
111	случае не	1	4
112	к этому	1	4
113	в то	10	4
114	мы уже	2	4
115	можно было	4	4
116	этот вопрос	2	4
117	от того	4	4
118	могла бы	1	4
119	оно может	1	4
120	с этой	1	3
121	и при	6	3
122	что это	3	3
123	в сущности	1	3
124	одному из	2	3
125	ни в	2	3
126	только в	5	3
127	здесь мы	1	3
128	из двух	1	3
129	также может	1	3
