N	4gram	Vygotskiy_	Stilisti
1	одно и то же	6	5
2	одной и той же	5	4
3	все больше и больше	1	2
4	не что иное как	2	2
5	одном и том же	2	2
6	одни и те же	3	2
7	и содержание и форму	1	2
8	и то же слово	3	2
9	вместе с тем и	4	2
10	одну и ту же	1	2
11	в связи с этим	2	2
12	есть не что иное	1	2
13	мы никогда не сможем	1	1
14	само по себе не	1	1
15	то что мы в	1	1
16	мы можем подвести некоторые	1	1
17	как мы увидим ниже	1	1
18	с нашей точки зрения	2	1
19	итак мы видим что	1	1
20	с помощью которого он	1	1
21	к одному и тому	5	1
22	уже содержит в себе	1	1
23	к одной и той	2	1
24	с их точки зрения	1	1
25	теми или иными предметами	1	1
26	этом мы будем говорить	1	1
27	можем подвести некоторые итоги	1	1
28	что же представляет собой	1	1
29	в дальнейшем мы будем	1	1
30	одна и та же	1	1
31	при этом не только	1	1
32	одному и тому же	5	1
33	одним и тем же	4	1
34	играет решающую роль в	1	1
35	одного и того же	5	1
36	которые являются как бы	1	1
37	одних и тех же	1	1
38	в собственном смысле слова	3	1
