N	4gram	Vygotskiy_	SlovoVZh
1	бы то ни было	1	3
2	и по отношению к	1	3
3	с одной стороны и	2	2
4	одно и то же	1	2
5	не может быть понято	1	1
6	мы имеем дело с	1	1
7	одному и тому же	2	1
8	в том что в	2	1
9	все более и более	3	1
10	так же как и	2	1
11	ни на один шаг	1	1
12	в то время как	4	1
13	мы имеем в виду	1	1
14	это один и тот	1	1
15	но то же самое	1	1
16	по отношению к ним	1	1
17	он имеет в виду	1	1
18	является в настоящее время	1	1
19	следовательно включает в себя	1	1
20	и следовательно включает в	1	1
21	они ни были не	1	1
22	тем не менее эта	1	1
23	один и тот же	5	1
