N	2gram	Propp_Russ	TeoriaLi
1	в качестве	5	33
2	не только	28	24
3	и в	59	24
4	в частности	2	23
5	то есть	3	22
6	состоит в	18	22
7	может быть	14	22
8	при этом	11	20
9	в том	33	20
10	в тексте	1	19
11	тогда как	4	18
12	и не	6	17
13	а в	16	15
14	но и	20	14
15	а не	3	14
16	так и	8	14
17	в себе	1	14
18	представляет собой	5	13
19	но не	7	13
20	в этом	18	12
21	но в	5	12
22	в его	3	12
23	то же	6	12
24	своего рода	3	11
25	том что	33	11
26	точки зрения	3	11
27	и его	2	11
28	что в	35	10
29	по отношению	1	10
30	как это	11	10
31	отношению к	1	10
32	только в	4	9
33	в данном	7	9
34	с другой	1	9
35	не в	2	9
36	в то	3	9
37	в своей	1	8
38	как бы	18	8
39	не может	6	8
40	не столько	3	7
41	на смену	1	7
42	в отличие	4	7
43	в своем	3	7
44	мы имеем	7	7
45	а также	6	7
46	отличие от	4	7
47	во второй	1	7
48	отношение к	1	7
49	однако в	1	7
50	место в	2	7
51	в области	3	7
52	в нем	3	7
53	в состав	1	6
54	более или	1	6
55	как и	19	6
56	не менее	3	6
57	приводит к	4	6
58	еще не	7	6
59	в основе	1	6
60	то что	10	6
61	уже не	9	6
62	с его	1	6
63	с другими	3	6
64	между ними	1	6
65	или менее	1	6
66	в русской	1	6
67	того или	1	6
68	в первой	1	6
69	ни в	1	5
70	в виду	3	5
71	как в	10	5
72	а а	33	5
73	можно сказать	1	5
74	не является	2	5
75	того чтобы	6	5
76	для того	6	5
77	жизни как	1	5
78	как правило	4	5
79	за пределами	2	5
80	на почве	1	5
81	по преимуществу	1	5
82	данном случае	8	5
83	для него	1	5
84	а и	7	5
85	того что	6	5
86	между тем	9	5
87	он не	1	5
88	и тем	1	5
89	в пределах	2	5
90	и о	4	5
91	могут быть	3	5
92	не случайно	2	5
93	не на	2	4
94	по пути	1	4
95	не следует	1	4
96	и сам	1	4
97	в этих	3	4
98	значении этого	1	4
99	что он	2	4
100	совпадает с	1	4
101	входит в	4	4
102	в другом	1	4
103	говорить о	2	4
104	и а	4	4
105	сказать что	1	4
106	в нашем	2	4
107	в текстах	1	4
