N	3gram	Ircho_Kome	Literetu
1	в том что	13	21
2	в то же	5	21
3	то же время	5	21
4	по отношению к	5	12
5	с одной стороны	5	12
6	в данном случае	1	11
7	в отличие от	3	11
8	состоит в том	1	11
9	так или иначе	4	10
10	о том что	6	10
11	в этом отношении	3	10
12	не говоря уже	4	8
13	с другой стороны	6	7
14	говоря уже о	4	6
15	в том числе	4	6
16	к тому же	12	6
17	подобно тому как	1	6
18	не только в	1	6
19	едва ли не	6	6
20	с этой точки	1	5
21	тем не менее	2	5
22	в соответствии с	2	5
23	этой точки зрения	1	5
24	в связи с	3	5
25	но при этом	1	4
26	по аналогии с	1	4
27	и прежде всего	1	4
28	то ни было	4	4
29	бы то ни	4	4
30	и т п	7	3
31	в том же	1	3
32	речь идет о	5	3
33	то же самое	2	3
34	той или иной	1	3
35	только в том	1	3
36	на то что	2	3
37	в целом ряде	1	3
38	но и не	1	3
39	том же году	1	3
40	а то и	3	3
41	в одном из	4	3
42	во всяком случае	4	3
43	том числе и	1	3
44	да и сам	1	2
45	в самом начале	3	2
46	имеется в виду	1	2
47	для того чтобы	3	2
48	в разговоре с	1	2
49	ли не в	1	2
50	в отношении к	1	2
51	на мой взгляд	1	2
52	к тому что	3	2
53	в значительной степени	1	2
54	не мог бы	1	2
55	по тем же	1	2
56	мы имеем дело	1	2
57	может и не	1	2
58	за то что	4	2
59	чуть ли не	2	2
60	вместе с тем	4	2
61	если говорить о	1	2
62	но и в	2	2
63	так и не	1	2
64	и в самом	1	2
65	в общественном сознании	1	2
66	до тех пор	1	2
67	в первой половине	2	2
68	можно было бы	3	2
69	во второй половине	3	2
70	и не только	1	2
71	что же касается	1	2
72	еще в начале	1	1
73	до самого конца	3	1
74	как было сказано	1	1
75	как и во	1	1
76	одного из них	1	1
77	что он не	2	1
78	между отцом и	1	1
79	как будто бы	1	1
80	что уже в	1	1
81	в большинстве случаев	2	1
82	то что в	1	1
83	как он был	2	1
84	жизни но и	1	1
85	за собой и	1	1
86	отношение к себе	1	1
87	друг от друга	2	1
88	более или менее	1	1
89	вместе с ними	1	1
90	и нет необходимости	1	1
91	одних и тех	1	1
92	до сих пор	3	1
93	именно потому что	2	1
94	в конце концов	4	1
95	в зависимости от	1	1
96	а вслед за	1	1
97	в один из	1	1
98	том что в	1	1
99	простой причине что	1	1
100	а затем и	2	1
101	которые были для	1	1
102	в частности в	2	1
103	в высшей степени	1	1
104	в наше время	1	1
105	с тех пор	1	1
106	у него не	1	1
107	но все же	1	1
108	во всех других	1	1
109	как и положено	1	1
110	не более чем	2	1
111	для современного читателя	1	1
112	в столь же	1	1
113	для этой цели	2	1
114	и в том	1	1
115	однако в начале	1	1
116	но не менее	1	1
117	речь шла о	1	1
118	в ответ на	1	1
119	после того как	3	1
120	и не всегда	1	1
121	вслед за ним	1	1
122	все тот же	1	1
123	с такой же	1	1
124	и вот в	1	1
125	что по мнению	1	1
126	как мы знаем	1	1
127	хотел сказать и	1	1
128	же время он	1	1
129	и на его	1	1
130	от земли и	1	1
131	которая со временем	1	1
132	в это время	3	1
133	себя в этой	1	1
134	в этом же	2	1
135	еще при жизни	1	1
136	может быть в	1	1
137	но уже в	1	1
138	как это было	1	1
139	как один из	1	1
140	состоит не в	1	1
141	не в состоянии	3	1
142	том что для	1	1
143	и к тому	1	1
144	одном из своих	1	1
145	и тех же	1	1
146	и других поэтов	1	1
147	не что иное	1	1
148	тем более что	1	1
149	хотя и не	1	1
150	в одной из	1	1
151	у того же	1	1
152	всяком случае в	1	1
153	мы узнаем о	1	1
154	той простой причине	1	1
155	то и вовсе	2	1
156	как мы видели	1	1
157	чтобы не сказать	1	1
158	и не менее	1	1
159	в этих словах	1	1
160	только потому что	2	1
161	в году он	1	1
162	другой стороны он	1	1
163	с самого начала	2	1
164	том что он	4	1
165	он не мог	1	1
166	в первую очередь	5	1
167	в соединении с	1	1
168	тем обстоятельством что	1	1
169	и вовсе не	1	1
170	не в последнюю	1	1
171	том что они	1	1
172	из того же	1	1
173	и в литературе	1	1
174	что иное как	1	1
175	внешнее и внутреннее	1	1
176	в последнюю очередь	1	1
177	а нередко и	1	1
178	само по себе	1	1
179	по той простой	1	1
180	с собой в	1	1
181	имеем дело с	1	1
182	в первые десятилетия	1	1
