N	3gram	Medvedev_U	Marksizm
1	не может быть	4	25
2	в самом деле	2	19
3	то же время	3	15
4	в то же	3	15
5	в том что	2	14
6	то ни было	3	12
7	бы то ни	3	12
8	до сих пор	2	11
9	но в то	1	9
10	то же самое	2	8
11	с другой стороны	3	7
12	на то что	1	6
13	в точном смысле	1	6
14	с одной стороны	1	6
15	в этом случае	1	5
16	в этом отношении	2	5
17	и прежде всего	1	4
18	можно сказать что	1	4
19	точном смысле этого	1	4
20	не только в	1	3
21	хотя бы и	2	3
22	более или менее	1	3
23	друг с другом	1	3
24	в конце концов	2	3
25	не могут быть	2	3
26	на первый план	1	3
27	не было бы	1	3
28	в этом смысле	2	2
29	так или иначе	1	2
30	а между тем	2	2
31	если бы это	1	2
32	само по себе	1	2
33	в данном случае	1	2
34	мы полагаем что	1	2
35	а не только	1	2
36	по крайней мере	2	2
37	только в этом	1	2
38	в противном случае	2	2
39	с тем что	1	2
40	в широком смысле	1	2
41	является одним из	1	2
42	при более внимательном	1	1
43	быть не может	1	1
44	в конечном счете	4	1
45	если не исключительно	1	1
46	о котором говорил	1	1
47	уже знакомый нам	1	1
48	для него не	1	1
49	язык в его	1	1
50	сводится к следующему	1	1
51	сам по себе	1	1
52	но что такое	1	1
53	ничего не значит	1	1
54	в области философии	1	1
55	но даже и	2	1
56	же время на	1	1
57	том что нельзя	1	1
58	более внимательном анализе	1	1
59	в первую очередь	1	1
60	же самое что	1	1
61	и в этой	2	1
62	никогда не может	1	1
63	же самое делает	1	1
64	но прежде всего	1	1
65	бы это было	1	1
66	большей или меньшей	1	1
67	его и в	1	1
68	равно как и	1	1
69	только при таком	1	1
70	в своей работе	1	1
71	поставить знак равенства	1	1
72	к которой принадлежит	1	1
73	может быть в	1	1
74	конечно не в	1	1
75	то о чем	1	1
76	в большей или	1	1
77	все же не	1	1
78	и быть не	1	1
79	как и всякого	1	1
80	по нашему мнению	3	1
81	исследования должно быть	1	1
82	не может обойтись	1	1
83	насколько нам известно	1	1
84	тем что он	1	1
85	в этой же	1	1
86	то что ему	1	1
87	в той же	1	1
