N	2gram	Propp_Isto	IolandNe
1	и с	10	3
2	что в	29	2
3	оба они	1	2
4	он не	11	2
5	должен быть	1	2
6	бы что	2	2
7	ничего не	12	2
8	и не	16	2
9	в этом	25	2
10	неудивительно что	1	1
11	говорить о	1	1
12	какую роль	1	1
13	все эти	8	1
14	и очень	2	1
15	а в	13	1
16	и о	2	1
17	же это	1	1
18	к нам	1	1
19	как отец	1	1
20	это было	1	1
21	и та	1	1
22	нет есть	1	1
23	вплоть до	2	1
24	с героем	1	1
25	тех же	2	1
26	тем что	8	1
27	все тех	1	1
28	не случайно	2	1
29	только что	3	1
30	бы его	1	1
31	от нее	1	1
32	а если	3	1
33	не слишком	1	1
34	когда его	2	1
35	художественного творчества	1	1
36	теперь я	1	1
37	и др	4	1
38	жизни и	2	1
39	проф и	1	1
40	с другой	10	1
41	но когда	1	1
42	в целом	4	1
43	более чем	1	1
44	в эту	1	1
45	стороны он	1	1
46	нее и	2	1
47	другой стороны	10	1
48	я не	3	1
49	себя в	2	1
50	к отцу	3	1
51	могло бы	2	1
52	то и	7	1
53	после смерти	2	1
54	в первую	1	1
55	что при	3	1
56	как только	2	1
57	если бы	7	1
58	отношению к	2	1
59	в руки	3	1
60	первая жена	2	1
61	следующим образом	3	1
62	по существу	3	1
63	и сам	1	1
64	того что	8	1
65	только для	1	1
66	по поводу	1	1
67	так то	1	1
68	и тот	3	1
69	и многое	1	1
70	многое другое	1	1
71	а также	5	1
72	так и	6	1
73	попал к	1	1
74	ходить в	1	1
75	свою жену	3	1
76	о ней	2	1
77	от этого	1	1
78	та и	1	1
79	бы в	1	1
80	этим и	1	1
81	и ничего	1	1
82	не дает	3	1
83	а по	1	1
84	есть только	4	1
85	и в	43	1
86	дает и	1	1
87	это был	1	1
88	никогда не	9	1
89	и и	6	1
90	все это	4	1
91	по отношению	2	1
92	со всеми	1	1
93	на котором	2	1
94	нисколько не	1	1
95	как о	1	1
96	то она	2	1
97	в них	6	1
98	все ясно	1	1
