N	2gram	Voloshinov	NovoeSre
1	а не	7	17
2	не может	13	16
3	и в	42	16
4	и не	14	11
5	и есть	1	10
6	что в	1	9
7	истории и	1	9
8	в том	3	8
9	как не	2	8
10	жизни и	3	8
11	он не	2	8
12	в этом	10	7
13	может быть	13	7
14	не будет	3	7
15	культуры и	1	7
16	как и	12	7
17	общественной жизни	10	6
18	ни в	1	6
19	не знает	3	6
20	не в	6	6
21	лишь в	4	6
22	высшей степени	1	6
23	с его	8	6
24	но это	2	6
25	в высшей	1	6
26	никогда не	7	6
27	и к	4	5
28	не только	28	5
29	в ней	8	5
30	все это	4	5
31	мы живем	1	5
32	в жизни	2	5
33	в нем	6	5
34	должен быть	2	5
35	и общественной	1	5
36	перестает быть	1	4
37	и потому	2	4
38	вступаем в	1	4
39	по своему	3	4
40	быть может	3	4
41	со всех	2	4
42	должно быть	2	4
43	потому что	7	4
44	это не	3	4
45	прежде всего	22	4
46	то что	9	4
47	не было	2	4
48	и все	4	4
49	не менее	1	4
50	и для	3	4
51	о том	4	4
52	к лицу	1	3
53	во всех	6	3
54	истории не	1	3
55	вопрос о	2	3
56	в наши	1	3
57	и пр	4	3
58	она не	1	3
59	тому как	1	3
60	в ее	3	3
61	смысле слова	1	3
62	что такое	4	3
63	за пределы	1	3
64	конечно не	3	3
65	в истории	1	3
66	не существует	4	3
67	с другой	1	3
68	право и	1	3
69	в основе	3	3
70	к ним	1	3
71	сказать что	3	3
72	наряду с	1	3
73	жизни которые	1	3
74	и начало	1	3
75	с тем	8	3
76	не значит	1	3
77	не есть	2	3
78	в своей	2	3
79	в мире	2	3
80	как в	3	3
81	перейти к	2	3
82	но и	16	3
83	наши дни	1	3
84	к тому	4	3
85	человека и	2	3
86	еще не	3	3
87	от всякого	1	2
88	с этим	2	2
89	все они	1	2
90	и от	7	2
91	еще до	1	2
92	и весь	1	2
93	это и	1	2
94	ни к	2	2
95	и что	1	2
96	на протяжении	1	2
97	это связано	1	2
98	не имеют	1	2
99	зависит от	2	2
100	хотя бы	18	2
101	мы не	9	2
102	будет уже	1	2
103	того чтобы	7	2
104	хотя и	3	2
105	потребностей и	1	2
106	сильнее и	1	2
107	истории а	1	2
108	так и	7	2
109	нашего времени	1	2
110	как это	5	2
111	этот мир	1	2
112	думать что	1	2
113	не могла	1	2
114	можно было	4	2
115	другой стороны	1	2
116	времени и	2	2
117	из ее	1	2
118	с их	1	2
119	том и	1	2
120	у него	1	2
121	место в	2	2
122	к самой	1	2
