N	3gram	Berdyaev_N	DiskursI
1	в том что	1	28
2	в отличие от	1	26
3	с одной стороны	2	14
4	не может быть	4	12
5	по природе своей	1	10
6	о том что	1	9
7	как и в	1	7
8	с другой стороны	2	5
9	в значительной степени	1	5
10	по своей природе	1	5
11	не только в	1	5
12	подобно тому как	3	5
13	не в том	1	4
14	одного и того	1	4
15	и того же	1	4
16	и не может	1	4
17	в наше время	3	4
18	как будто бы	1	3
19	в том числе	1	3
20	в том случае	1	3
21	том числе и	1	3
22	а не в	1	3
23	во всяком случае	1	3
24	в большинстве случаев	1	2
25	заключает в себе	1	2
26	он не может	2	2
27	сами по себе	1	2
28	хотя и в	1	2
29	лицом к лицу	3	2
30	в новое время	1	2
31	никогда не было	2	2
32	в том и	2	2
33	но и в	1	2
34	в том чтобы	1	2
35	ни одна из	2	2
36	том случае если	1	2
37	лишь в том	1	1
38	в прошлом в	1	1
39	такой же мере	1	1
40	а не их	1	1
41	в этом смысле	2	1
42	не было и	1	1
43	еще не было	1	1
44	быть отнесены к	1	1
45	это не есть	1	1
46	права на власть	1	1
47	до сих пор	1	1
48	еще не знает	1	1
49	в такой же	1	1
50	но для этого	1	1
51	для этого она	1	1
52	не имеют никакого	1	1
53	в нем нет	2	1
54	не должно быть	1	1
55	имея в виду	1	1
56	того и для	1	1
57	в переходе от	1	1
58	и т.п так	1	1
59	прежде всего как	1	1
60	а не с	1	1
61	существу а не	1	1
62	и потому что	1	1
63	вместе с тем	2	1
64	равно как и	2	1
65	одна из сторон	1	1
66	но она не	1	1
67	мира то что	1	1
68	обращение к богу	1	1
69	то что в	1	1
70	но и потому	1	1
71	к одному из	1	1
72	жизни с его	1	1
73	и для того	1	1
74	последних вопросов бытия	1	1
75	в известном смысле	1	1
76	по существу а	1	1
77	тому как в	1	1
78	и для другого	1	1
79	можно было бы	1	1
80	только потому что	1	1
81	не только потому	1	1
82	не могут быть	1	1
83	а не для	1	1
84	выходит за пределы	1	1
85	та или иная	1	1
86	это и есть	1	1
87	и в большинстве	1	1
88	ни в чем	1	1
89	для того и	1	1
90	и про себя	1	1
