N	3gram	Bakhtin_Pr	Myslijsy
1	в том что	6	47
2	по отношению к	12	26
3	не может быть	8	19
4	тем не менее	2	18
5	по крайней мере	2	17
6	и т д	4	15
7	сам по себе	2	14
8	само по себе	4	14
9	мере того как	1	14
10	в свою очередь	1	14
11	по мере того	1	14
12	не в том	1	13
13	а между тем	1	13
14	то же время	13	13
15	в то же	13	13
16	более или менее	4	12
17	смысле этого слова	1	12
18	с другой стороны	6	12
19	и в этом	5	12
20	до сих пор	9	12
21	во всяком случае	4	12
22	для того чтобы	1	11
23	сами по себе	4	11
24	а в том	1	11
25	и т п	10	11
26	подобно тому как	3	11
27	в то время	2	10
28	но тем не	1	10
29	с одной стороны	1	10
30	то что я	1	10
31	в таком случае	1	9
32	то и другое	1	9
33	на то что	2	9
34	но и в	1	9
35	о том что	2	9
36	не могут быть	1	9
37	что и в	1	9
38	так и в	2	8
39	на самом деле	4	8
40	как бы ни	1	8
41	в этом случае	1	8
42	в этом смысле	12	7
43	не только не	2	7
44	сама по себе	5	7
45	и в том	1	7
46	с точки зрения	21	7
47	как и в	3	7
48	можно сказать что	2	7
49	не только в	2	7
50	друг от друга	1	6
51	может быть только	1	6
52	то же самое	1	6
53	в одно время	1	6
54	с самого начала	1	6
55	не было бы	1	6
56	после того как	1	6
57	может быть назван	1	5
58	по себе а	1	5
59	то же что	3	5
60	между тем как	5	5
61	по себе не	1	5
62	к тому что	1	5
63	то что в	1	5
64	таким образом в	1	5
65	если бы не	1	5
66	мы не знаем	1	4
67	в том же	1	4
68	все то что	3	4
69	в собственном смысле	1	4
70	или лучше сказать	1	4
71	в данном случае	2	4
72	но не в	1	4
73	зависит от того	1	4
74	быть не может	1	4
75	в том и	2	4
76	лишь тогда когда	1	4
77	слово может быть	2	4
78	на этот вопрос	2	4
79	в противном случае	1	4
80	дело в том	1	4
81	то все же	1	4
82	так что в	1	4
83	именно в том	1	4
84	и что в	1	4
85	в этом отношении	3	4
86	то время как	2	4
87	точно так же	1	3
88	что он не	1	3
89	и в жизни	1	3
90	одной стороны и	1	3
91	рано или поздно	1	3
92	до известной степени	1	3
93	в большинстве случаев	10	3
94	хотя бы и	3	3
95	том и другом	1	3
96	это не значит	3	3
97	так или иначе	1	3
98	том что он	5	3
99	в первом случае	1	3
100	над всеми остальными	1	3
101	в связи с	1	3
102	бы то ни	3	3
103	но это не	2	3
104	в одном из	2	3
105	между собою и	1	3
106	представим себе что	1	3
107	в сознании и	1	3
108	заключается в том	1	3
109	это не так	1	3
110	в нас самих	1	3
111	бы ни было	1	3
112	не может стать	1	3
113	потому что он	1	3
114	можно было бы	3	3
115	есть то что	1	3
116	не менее в	1	3
117	на первый взгляд	1	3
118	этой точки зрения	2	3
119	а так как	1	3
120	притом не только	1	3
121	мы увидим что	1	3
122	что же касается	1	3
123	нам кажется что	3	3
124	но с другой	2	3
125	а может быть	1	2
126	том что это	1	2
127	себе еще не	4	2
128	в себе в	1	2
129	не могло бы	1	2
130	отношения между ними	1	2
131	в одном слове	3	2
132	в сущности есть	1	2
133	в себе все	1	2
134	к нему как	1	2
135	если же мы	1	2
136	что мы видим	1	2
137	всяком случае оно	1	2
138	то к чему	1	2
139	и во всех	1	2
140	бы не было	1	2
141	друг на друга	2	2
142	и все что	1	2
143	но не только	1	2
144	но при этом	2	2
145	с нею в	1	2
146	по себе еще	4	2
147	что в нем	1	2
148	в его сознании	1	2
149	есть прежде всего	1	2
150	в каждом отдельном	1	2
151	и в других	2	2
152	и по отношению	1	2
153	бы это было	1	2
154	те же что	1	2
155	только в нем	1	2
156	что это не	1	2
157	но все же	3	2
158	только то что	2	2
159	то ни было	2	2
160	так как в	1	2
161	и не может	6	2
162	в этом последнем	1	2
163	и потому не	1	2
164	в этих случаях	2	2
165	друг к другу	1	2
166	как во всяком	1	2
167	тем что в	1	2
168	а не как	5	2
169	не потому что	1	2
170	и не в	1	2
171	не только к	1	2
172	а следовательно и	2	2
173	того и другого	2	2
174	имеет значение только	1	2
175	при этом не	1	2
176	то оно и	1	2
177	он не есть	1	2
178	как мы ее	1	2
179	и до сих	1	2
180	бы в себе	1	2
181	же время и	1	2
182	так же как	1	2
183	они могли бы	1	2
184	как мы видели	1	2
185	они ни были	1	2
186	что все эти	1	2
187	всяком случае не	1	2
188	мысли и слова	1	2
189	и независимо от	1	2
190	так как и	1	2
191	мы его не	1	2
192	для него самого	2	1
193	уст в уста	1	1
194	понимать себя и	1	1
195	в самом деле	6	1
196	но все эти	1	1
197	но и эта	1	1
198	с большим количеством	1	1
199	и даже отчасти	1	1
200	не только их	1	1
201	несмотря на их	1	1
202	в одном направлении	1	1
203	а не на	1	1
204	по себе он	1	1
205	бы он ни	2	1
206	же время не	3	1
207	на котором оно	1	1
208	на друга и	2	1
209	это последнее может	1	1
210	что я называю	1	1
211	все это в	1	1
212	и в этих	1	1
213	этого слова с	1	1
214	в той же	3	1
215	если бы эти	1	1
216	сравнить его с	1	1
217	то что он	1	1
218	слова в том	1	1
219	не все в	1	1
220	исследования но в	1	1
221	по сравнению с	1	1
222	же что и	1	1
223	здесь не только	1	1
224	противоречит тому что	1	1
225	он ни был	2	1
226	оно должно быть	2	1
227	не была бы	2	1
228	о которых мы	1	1
229	от того как	1	1
230	она так сказать	1	1
231	в своей совокупности	1	1
232	в устах другого	1	1
233	нельзя не согласиться	1	1
234	не я и	1	1
235	то есть я	2	1
236	же что мы	1	1
237	ни в одном	3	1
238	в том числе	1	1
239	но в таком	1	1
240	положительное в котором	1	1
241	не отличается от	1	1
242	мир и чем	1	1
243	мы ее понимаем	1	1
244	то что есть	1	1
245	но в них	1	1
246	у него в	2	1
247	во что бы	1	1
248	потому что она	3	1
249	себе не только	1	1
250	как более или	1	1
251	не совпадает с	1	1
252	как мы уже	2	1
253	и есть то	1	1
254	и для всякого	1	1
255	большинстве случаев вовсе	1	1
256	точек зрения и	3	1
257	но он есть	1	1
258	как и у	1	1
259	не было как	1	1
260	пор не может	1	1
261	и оно не	1	1
262	если бы это	1	1
263	иметь в виду	1	1
264	она не может	1	1
265	как мы видим	1	1
266	и в словах	2	1
267	чтобы убедиться в	1	1
268	друг за другом	2	1
269	другой стороны и	3	1
270	искать для него	1	1
271	начинается там где	1	1
272	том числе и	1	1
273	один из этих	1	1
