N	3gram	Vinokur_St	KFilosof
1	по отношению к	3	22
2	не может быть	5	11
3	с точки зрения	10	10
4	ни в чем	1	4
5	но все эти	1	3
6	того или иного	4	3
7	и только в	3	3
8	но и здесь	2	3
9	в этом смысле	2	3
10	в котором он	2	3
11	на самом деле	7	3
12	и в этом	4	3
13	в том что	29	2
14	той или иной	1	2
15	ни в каком	1	2
16	то или иное	3	2
17	мы говорим о	1	2
18	тем не менее	4	2
19	в то же	5	2
20	в нем нельзя	1	2
21	в соответствии с	1	2
22	во всех этих	1	2
23	другое дело когда	1	2
24	в этом его	1	2
25	то ни было	1	2
26	а не в	1	2
27	бы то ни	2	2
28	вопрос о том	4	2
29	то же время	5	2
30	быть не может	1	1
31	для него самого	2	1
32	с нашей точки	1	1
33	конечно это не	1	1
34	сих пор не	1	1
35	это не значит	3	1
36	что и для	1	1
37	в то или	1	1
38	это может быть	1	1
39	вместе с тем	2	1
40	здесь дело не	1	1
41	было бы совершенно	1	1
42	в каждом случае	1	1
43	во всяком случае	8	1
44	она исходит из	1	1
45	и в ту	1	1
46	при таком положении	2	1
47	на то что	5	1
48	в том смысле	4	1
49	на том что	1	1
50	и в результате	1	1
51	что это можно	1	1
52	именно там где	1	1
53	точки зрения той	1	1
54	могло бы быть	1	1
55	нашей точки зрения	1	1
56	во всей полноте	1	1
57	хотя бы и	2	1
58	ту или иную	1	1
59	дело не в	2	1
60	это можно сделать	1	1
61	в том случае	1	1
62	он не может	1	1
63	и не в	1	1
64	в том же	3	1
65	нет в нем	1	1
66	для того чтобы	13	1
67	точки зрения его	1	1
68	только в том	3	1
69	не значит что	3	1
70	все же будет	1	1
71	если бы оно	1	1
72	не в том	3	1
73	в настоящее время	2	1
74	может не знать	1	1
75	нет сомнения что	2	1
76	себя до конца	1	1
77	и по отношению	1	1
78	до сих пор	12	1
79	я не могу	2	1
80	и принципиально не	1	1
81	дело в том	7	1
82	о том кто	2	1
83	смысле этого слова	1	1
84	него самого и	1	1
85	но в то	2	1
86	и в котором	1	1
87	в лучшем случае	1	1
88	то все же	1	1
89	жизни и смерти	1	1
90	вместо того чтобы	1	1
91	не существует все	1	1
92	и в то	1	1
93	как бы он	1	1
94	как бы ни	2	1
95	только таким путем	1	1
96	лежащий в основе	2	1
97	и то что	2	1
98	тем или иным	3	1
99	в зависимости от	2	1
100	не может не	1	1
101	я позволю себе	1	1
102	а во втором	1	1
103	во второй половине	1	1
104	прочим и в	1	1
105	вследствие того что	1	1
106	и говорить о	1	1
107	к тому что	4	1
108	но все это	2	1
109	а в самом	1	1
110	в известном смысле	1	1
111	между прочим и	1	1
112	и совершенно не	1	1
113	и в трагедии	1	1
114	что в области	3	1
115	причем все эти	1	1
116	никогда не было	1	1
117	бы ни была	1	1
118	но это не	1	1
119	в значительной степени	2	1
120	что и в	4	1
121	ведь это не	1	1
122	и в своих	1	1
123	может быть и	2	1
