N	4gram	Bakhtin_fo	KulturaY
1	и т п но	1	6
2	в то же время	10	6
3	с этой точки зрения	1	5
4	и т п в	1	5
5	и т п все	1	5
6	одного и того же	6	4
7	до сих пор еще	1	4
8	и пр и пр	1	4
9	но для того чтобы	2	3
10	и вместе с тем	1	3
11	в тех случаях когда	1	3
12	для того чтобы быть	1	2
13	в той или иной	2	2
14	что на самом деле	1	2
15	находится в противоречии с	1	2
16	и в то же	6	2
17	одних и тех же	2	2
18	не только в том	1	2
19	совершенно ясно что в	1	2
20	с нашей точки зрения	3	1
21	в широком смысле слова	1	1
22	в одном ряду с	1	1
23	не для того чтобы	3	1
24	но все же и	1	1
25	той или иной форме	1	1
26	не выходит за пределы	1	1
27	все более и более	2	1
28	и т п наконец	2	1
29	одно и то же	4	1
30	не обходится почти ни	1	1
31	дело в том что	2	1
32	для того чтобы не	1	1
33	в то время когда	1	1
34	до сих пор точно	1	1
35	из одних и тех	1	1
36	с другой стороны в	1	1
37	в то время как	2	1
38	ведь в этом случае	1	1
39	в связи с этим	4	1
40	в данный момент в	1	1
41	только в том что	1	1
42	и т п ведь	1	1
43	одном и том же	1	1
44	той или иной степени	1	1
45	все для того чтобы	1	1
46	сводится к тому что	1	1
47	в одно и то	3	1
48	в ее целом в	1	1
49	сами по себе они	1	1
50	мы имеем в виду	2	1
51	самом деле может быть	1	1
52	в одном и том	1	1
53	из уст в уста	1	1
54	на самом деле может	1	1
55	а так как на	1	1
56	те же что и	2	1
57	и в этом отношении	1	1
58	о которой мы говорили	1	1
