N	2gram	Savitsky_P	Sotsiolo
1	все это	2	7
2	в том	9	5
3	в этом	10	5
4	не только	17	3
5	не в	5	3
6	и в	14	3
7	и только	1	3
8	более чем	2	3
9	в его	2	3
10	для нас	2	3
11	литературы и	1	2
12	что в	4	2
13	то что	4	2
14	том что	4	2
15	как бы	4	2
16	в результате	1	2
17	было бы	6	2
18	в смысле	6	2
19	в частности	2	2
20	и мы	2	2
21	по природе	1	2
22	нужно было	2	2
23	но и	6	2
24	может быть	5	2
25	она может	1	2
26	главным образом	2	2
27	и что	1	2
28	должна быть	1	2
29	далеко не	1	2
30	тем более	2	2
31	только в	7	2
32	только как	1	2
33	то же	9	2
34	еще не	1	2
35	а в	4	1
36	столь же	3	1
37	широте своего	1	1
38	в силу	2	1
39	не было	2	1
40	представить себе	1	1
41	кто не	1	1
42	только то	1	1
43	во всяком	1	1
44	в мире	2	1
45	и потому	4	1
46	все же	1	1
47	что это	1	1
48	с другой	5	1
49	ни на	1	1
50	мы должны	4	1
51	между тем	3	1
52	и более	1	1
53	но как	1	1
54	в этой	1	1
55	время в	2	1
56	из понимания	1	1
57	ли не	1	1
58	никак не	2	1
59	в данном	1	1
60	в области	11	1
61	и по	1	1
62	этом не	1	1
63	в то	7	1
64	темы и	1	1
65	понимать что	1	1
66	может не	1	1
67	слова но	2	1
68	в котором	4	1
69	те же	1	1
70	именно на	1	1
71	отнюдь не	2	1
72	и не	12	1
73	и связывается	1	1
74	всяком случае	1	1
75	настоящее время	1	1
76	и о	5	1
77	но не	3	1
78	они не	1	1
79	невозможно ни	1	1
80	она должна	1	1
81	этой области	1	1
82	для этого	1	1
83	прежде всего	3	1
84	тем же	1	1
85	в каждом	1	1
86	связь между	1	1
87	опирающаяся на	1	1
88	на основании	1	1
89	а с	1	1
90	тех кто	4	1
91	его в	1	1
92	выйдет из	1	1
93	ни были	1	1
94	я и	3	1
95	по широте	1	1
96	с одной	3	1
97	мы не	3	1
98	в этих	1	1
99	по себе	4	1
100	из тех	1	1
101	хотя бы	8	1
102	же время	7	1
103	это не	3	1
104	чуть ли	1	1
105	одной стороны	3	1
106	работы в	1	1
107	в виде	2	1
108	в настоящее	1	1
109	должен понимать	1	1
110	именно в	2	1
111	вопросом о	1	1
112	никогда не	1	1
113	и есть	2	1
114	не может	4	1
115	и как	3	1
116	что все	1	1
117	место в	1	1
118	как и	1	1
119	в них	2	1
