N	4gram	Trubetskoy	KulturaY
1	в то же время	2	6
2	с этой точки зрения	2	5
3	состоит в том что	1	4
4	одного и того же	1	4
5	до сих пор еще	2	4
6	а с другой стороны	1	3
7	и вместе с тем	3	3
8	точно так же как	2	3
9	не в том что	1	3
10	а в том что	1	2
11	и в то же	1	2
12	один и тот же	1	2
13	с того момента как	1	2
14	так или иначе связанные	1	1
15	но точно так же	1	1
16	мы должны признать что	2	1
17	с нашей точки зрения	1	1
18	себе точный отчет в	1	1
19	все более и более	1	1
20	по крайней мере в	1	1
21	широком смысле этого слова	1	1
22	а вместе с тем	1	1
23	свидетельствует о том что	1	1
24	одном и том же	1	1
25	в нашем смысле слова	1	1
26	в одном из своих	1	1
27	с тех пор как	1	1
28	ничего общего с теориями	1	1
29	в том или ином	1	1
30	в широком смысле этого	1	1
31	мы имеем в виду	1	1
32	в одном и том	1	1
33	бы то ни было	2	1
34	поскольку с одной стороны	1	1
35	во всяком случае в	1	1
36	те же что и	1	1
37	и в этом отношении	1	1
38	еще и потому что	1	1
39	или иначе связанные с	1	1
