N	2gram	Ircho_Kome	Hudozhes
1	в качестве	8	31
2	то есть	1	26
3	в мире	3	24
4	и в	40	23
5	не только	12	20
6	состоит в	1	20
7	в том	19	20
8	при этом	5	19
9	может быть	16	19
10	в частности	7	18
11	и не	19	16
12	но и	14	14
13	а не	1	13
14	в рамках	3	13
15	но не	3	13
16	а в	9	13
17	в тексте	1	13
18	в себе	3	13
19	в этом	9	12
20	то же	7	12
21	такого рода	6	12
22	так и	17	12
23	и его	17	12
24	сводится к	1	11
25	представляет собой	1	11
26	как бы	3	11
27	точки зрения	7	11
28	в его	8	11
29	по отношению	5	10
30	но в	6	10
31	отношению к	5	10
32	в душе	1	9
33	или иной	1	9
34	том что	19	9
35	с другой	7	9
36	в искусстве	1	9
37	не в	8	9
38	не может	3	9
39	в принципе	3	8
40	себя в	2	8
41	в области	3	8
42	в то	14	8
43	что в	12	7
44	в самом	5	7
45	только в	6	7
46	в своей	3	7
47	в основе	1	7
48	же время	5	7
49	в отличие	3	7
50	отличие от	4	7
51	не столько	1	7
52	как это	7	7
53	по своей	2	7
54	отношение к	3	7
55	другой стороны	6	6
56	в состав	2	6
57	более или	1	6
58	приводит к	1	6
59	с ее	2	6
60	с его	4	6
61	мы имеем	1	6
62	в ее	2	6
63	а также	5	6
64	или менее	2	6
65	всего лишь	1	6
66	в нем	8	6
67	ни в	9	5
68	в виду	2	5
69	не на	1	5
70	что он	11	5
71	в художественном	1	5
72	не менее	6	5
73	не является	2	5
74	того чтобы	4	5
75	для того	3	5
76	со стороны	3	5
77	для него	1	5
78	того что	1	5
79	прежде всего	8	5
80	в их	6	5
81	а на	2	5
82	или иначе	4	5
83	той или	1	5
84	героя и	1	5
85	и одновременно	3	5
86	самим собой	1	5
87	высказывания в	1	5
88	тем самым	1	5
89	то что	8	5
90	в ходе	1	5
91	могут быть	3	5
92	место в	7	5
93	для себя	2	4
94	так или	4	4
95	не следует	2	4
96	например в	1	4
97	отношения к	1	4
98	еще не	7	4
99	в данном	1	4
100	в другом	5	4
101	говорить о	3	4
102	сказать что	1	4
103	к которому	4	4
104	в своем	6	4
105	к тому	15	4
106	во времени	1	4
107	это не	2	4
108	в отношении	6	4
109	его в	6	4
110	не знает	1	4
111	и как	3	4
112	в этих	5	4
113	так в	6	4
114	в себя	3	4
115	а только	1	4
116	того или	1	4
