N	2gram	Trubetskoy	KulturaY
1	и т	3	143
2	и в	14	84
3	в том	17	74
4	потому что	5	68
5	не только	9	60
6	точки зрения	11	59
7	в этом	17	57
8	было бы	5	53
9	и не	19	52
10	может быть	9	47
11	что в	4	44
12	том что	9	44
13	того чтобы	8	44
14	в самом	3	41
15	для того	6	41
16	хотя бы	5	37
17	самом деле	7	37
18	так как	4	36
19	с точки	9	36
20	в области	2	34
21	таким образом	11	33
22	а не	2	33
23	если бы	6	32
24	можно было	4	32
25	не в	4	30
26	в его	4	30
27	прежде всего	8	30
28	все же	4	29
29	не менее	1	28
30	того что	3	28
31	все эти	2	28
32	уже не	2	26
33	в силу	2	26
34	то что	13	25
35	русского языка	1	25
36	вовсе не	1	25
37	не может	22	25
38	вопрос о	5	24
39	с другой	1	24
40	еще не	3	24
41	то же	11	23
42	только в	5	23
43	так и	1	23
44	тем не	1	21
45	по себе	2	20
46	во всяком	9	20
47	и что	2	20
48	но и	10	20
49	тем что	3	19
50	о том	7	19
51	что он	6	19
52	языка и	1	19
53	что же	4	19
54	всяком случае	6	19
55	но в	2	19
56	и с	7	18
57	с тем	6	18
58	к тому	7	18
59	в сущности	1	18
60	в качестве	3	18
61	связи с	3	18
62	между тем	5	18
63	вместе с	4	18
64	как бы	4	18
65	все это	6	18
66	как это	1	17
67	что это	3	17
68	это не	1	17
69	в зависимости	1	16
70	что и	3	16
71	что не	1	16
72	в русском	1	16
73	но не	4	16
74	при этом	5	15
75	именно в	3	15
76	в данном	7	15
77	как на	8	15
78	том чтобы	3	15
79	не было	3	15
80	и тем	2	15
81	один из	1	15
82	по отношению	2	15
83	ни к	7	15
84	целый ряд	2	15
85	а в	5	15
86	лишь в	3	15
87	должно быть	3	15
88	и на	5	14
89	что такое	2	14
90	в связи	1	14
91	сих пор	5	14
92	в ней	2	14
93	до сих	5	14
94	если мы	1	14
95	как мы	1	14
96	также и	1	14
97	отношению к	1	14
98	крайней мере	1	13
99	между прочим	1	13
100	в этой	4	13
101	не могут	4	13
102	в которых	1	13
103	по крайней	1	13
104	для нас	2	13
105	это и	1	13
106	по существу	5	13
107	с этой	1	12
108	говорить о	3	12
109	в результате	2	12
110	того же	1	12
111	ясно что	2	12
112	а только	1	12
113	вопроса о	1	12
114	этот вопрос	2	12
115	могут быть	1	12
116	тогда когда	4	12
117	не трудно	1	12
118	этого слова	1	12
119	для этого	3	12
120	те же	1	11
121	должен быть	1	11
122	в своем	6	11
123	на себе	1	11
124	он не	5	11
125	в нем	5	11
126	должна быть	2	11
127	и то	4	11
128	еще и	1	11
129	совершенно не	2	11
130	из этих	3	11
131	и если	7	11
132	этом отношении	1	11
133	в их	4	11
134	в таких	2	11
135	или иной	5	11
136	как и	4	10
137	речь идет	2	10
138	так же	2	10
139	конечно не	5	10
140	к этому	1	10
141	несмотря на	3	10
142	бы в	1	10
143	ту же	1	10
144	не просто	2	10
145	в общем	1	10
146	в то	10	10
147	вряд ли	3	10
148	со стороны	4	10
149	с этим	2	10
150	они не	1	10
151	тем более	1	10
152	того или	2	10
153	тех же	1	10
154	тем самым	2	10
155	от того	4	10
156	в своей	5	9
157	можно сказать	1	9
158	что все	3	9
159	в которой	1	9
160	но для	2	9
161	очевидно что	1	9
162	и есть	2	9
163	или иного	2	9
164	ни в	2	9
165	но это	2	9
166	и для	6	9
167	и вот	2	9
168	на то	5	9
169	в этих	2	8
170	но все	1	8
171	что они	3	8
172	тому же	1	8
173	в таком	2	8
174	тому что	2	8
175	не есть	3	8
176	в своих	6	8
177	отнюдь не	7	8
178	а потому	5	8
179	заключается в	1	8
180	да и	3	8
181	то и	1	8
182	только тогда	1	8
183	состоит в	2	8
184	этом случае	3	8
185	на самом	6	8
186	и как	3	8
187	об этом	1	8
188	в частности	2	8
189	и о	2	8
190	что на	1	8
191	же и	1	7
192	казалось бы	1	7
193	в котором	2	7
194	свою очередь	1	7
195	была бы	1	7
196	на том	3	7
197	к вопросу	4	7
198	а с	2	7
199	столь же	1	7
200	и должно	2	7
201	с ним	2	7
202	никак не	1	7
203	сводится к	3	7
204	с ними	1	7
205	и более	2	7
206	идет о	1	7
207	в свою	1	7
208	в истории	1	7
209	до конца	1	7
210	на этот	1	7
211	в самой	1	7
212	все равно	1	7
213	смысле этого	1	7
214	лишь с	1	7
215	нисколько не	2	7
216	и потому	3	7
217	том случае	4	7
218	она не	2	7
219	когда он	1	7
220	что касается	1	7
221	не следует	1	7
222	были бы	2	6
223	даже в	1	6
224	в корне	4	6
225	только для	2	6
226	отличается от	2	6
227	на этой	2	6
