N	2gram	Potebnia_M	BTomashe
1	у нас	2	3
2	все это	4	2
3	в ней	11	2
4	можно было	1	2
5	не то	6	2
6	больше чем	1	2
7	и не	28	2
8	следовало бы	2	1
9	для которой	1	1
10	вопрос о	2	1
11	говорить о	6	1
12	было говорить	1	1
13	и о	6	1
14	забывать что	1	1
15	со всем	1	1
16	нас по	1	1
17	не только	32	1
18	а о	1	1
19	таким образом	24	1
20	не было	12	1
21	меньшей мере	1	1
22	прежде всего	6	1
23	бы только	1	1
24	книги в	1	1
25	и в	48	1
26	на самом	4	1
27	так и	17	1
28	на которой	4	1
29	можно в	1	1
30	в своей	2	1
31	иначе не	1	1
32	во всяком	4	1
33	и потому	9	1
34	и во	1	1
35	также что	1	1
36	за пределы	2	1
37	по крайней	8	1
38	в речи	4	1
39	с другой	8	1
40	об этом	4	1
41	художественного произведения	6	1
42	значение слова	8	1
43	как будто	1	1
44	другой стороны	4	1
45	крайней мере	8	1
46	всяком случае	3	1
47	было бы	16	1
48	стоит на	1	1
49	не следует	6	1
50	на выражение	1	1
51	и ее	1	1
52	только одной	1	1
53	как работу	1	1
54	одной из	3	1
55	почти совершенно	1	1
56	по меньшей	1	1
57	в пределах	1	1
58	в данном	3	1
59	более что	1	1
60	должна быть	2	1
61	собственной теории	1	1
62	в области	3	1
63	является только	1	1
64	далеко не	5	1
65	тем более	9	1
66	говорить не	1	1
67	не вполне	1	1
68	и более	4	1
69	что все	5	1
70	не все	5	1
71	нельзя не	1	1
72	художественном произведении	3	1
73	по этим	1	1
74	никак не	3	1
75	значительной степени	2	1
76	его не	2	1
77	от значения	1	1
78	а не	22	1
79	представляется нам	2	1
80	и на	5	1
81	между ними	4	1
82	еще не	9	1
83	нет но	1	1
84	к ней	7	1
85	все же	3	1
86	что в	30	1
87	меньше чем	1	1
