N	2gram	Bakhtin_sl	Stilisti
1	и в	69	42
2	как бы	16	30
3	не только	37	28
4	и т.п	1	25
5	прежде всего	14	22
6	хотя бы	6	18
7	внутренней речи	3	18
8	то же	17	16
9	но и	37	16
10	и не	32	14
11	может быть	40	13
12	не может	27	13
13	как и	8	12
14	что мы	1	11
15	мы уже	4	11
16	точки зрения	24	11
17	в этом	21	10
18	в себе	3	10
19	и как	3	10
20	как мы	15	10
21	отнюдь не	1	10
22	мы не	4	9
23	при этом	12	9
24	все же	10	9
25	язык и	17	9
26	эти слова	4	9
27	то что	2	9
28	для того	2	9
29	в то	17	9
30	таким образом	16	8
31	так как	7	8
32	и это	1	8
33	слово как	11	8
34	в ней	7	8
35	с его	8	8
36	ничего не	5	8
37	и на	17	7
38	так и	22	7
39	слов и	5	7
40	мы можем	1	7
41	только в	9	7
42	в которой	4	7
43	зависимости от	4	7
44	и его	45	7
45	потому что	2	7
46	того чтобы	1	7
47	и тем	3	7
48	же время	15	7
49	было бы	3	7
50	и той	2	7
51	той же	3	7
52	и от	5	7
53	в зависимости	4	7
54	а не	29	7
55	никогда не	9	7
56	во всех	25	6
57	в его	19	6
58	не в	14	6
59	говорящего и	3	6
60	в нем	44	6
61	в конце	1	6
62	в процессе	14	6
63	и так	1	6
64	на его	9	6
65	бы в	1	6
66	в свою	4	6
67	жестов и	2	6
68	речи и	4	6
69	с помощью	5	6
70	одно и	3	6
71	в форме	3	6
72	или как	4	6
73	в этой	1	6
74	точку зрения	6	6
75	слова в	19	6
76	или иной	13	6
77	язык в	9	6
78	в области	1	6
79	в той	13	5
80	в самом	6	5
81	высказывания но	1	5
82	что язык	2	5
83	связанных с	4	5
84	то есть	46	5
85	уже в	2	5
86	и их	6	5
87	с точки	11	5
88	те же	3	5
89	не является	3	5
90	все время	4	5
91	в общественной	1	5
92	внутренняя речь	1	5
93	но все	2	5
94	и с	10	5
95	но в	13	5
96	тому что	2	5
97	вместе с	3	5
98	точек зрения	8	5
99	того или	2	5
100	а с	2	5
101	мы увидим	2	5
102	и следовательно	8	5
103	слова и	21	5
104	как это	3	5
105	а в	10	5
106	в нашем	1	5
107	в сознании	3	5
108	и то	2	5
109	же мы	1	5
110	или иного	2	5
111	независимо от	1	5
112	и наконец	9	5
113	мы видели	3	5
114	одной и	1	4
115	всего в	1	4
116	и к	9	4
117	мы видим	2	4
118	один из	9	4
119	всех своих	2	4
120	выбор слов	1	4
121	слов в	2	4
122	на него	1	4
123	что такое	1	4
124	все это	14	4
125	в качестве	4	4
126	или иную	1	4
127	в одном	4	4
128	влияние на	3	4
129	его в	7	4
130	слова как	8	4
131	если бы	1	4
132	и все	9	4
133	с самого	1	4
134	социальной группы	2	4
135	в слове	11	4
136	так сказать	11	4
137	к своему	11	4
138	у нас	2	4
139	да и	2	4
140	как только	4	4
141	уже не	5	4
142	к тому	3	4
143	о том	5	4
144	и без	1	4
145	той или	13	4
146	самого начала	1	4
147	в каждом	5	4
148	можно сказать	2	4
149	если мы	2	4
150	на слушателя	5	4
151	языка и	18	4
152	зрения в	1	4
153	так называемые	1	4
154	его внутренней	1	4
155	можно было	2	4
156	свою очередь	3	4
157	или иное	1	4
158	на это	1	4
159	так же	2	4
160	лишь в	6	4
161	в целом	3	4
162	себя в	14	4
163	мы называем	1	4
164	речь и	3	4
165	слово не	3	4
166	не знаем	3	4
167	тех или	1	4
168	точка зрения	10	4
169	не просто	2	4
170	то или	1	4
171	которой мы	1	4
172	того что	4	4
173	не к	1	4
174	представить себе	1	3
175	этом случае	4	3
176	видели что	1	3
177	социальной жизни	1	3
178	что оно	4	3
179	и здесь	5	3
180	та же	1	3
181	зрения на	9	3
182	как таковой	1	3
183	совершенно не	2	3
184	ситуацию и	1	3
185	если он	1	3
186	для нас	7	3
187	которое может	1	3
188	иметь дело	2	3
189	в том	7	3
190	или иных	1	3
191	отношения к	3	3
192	несмотря на	2	3
193	для него	8	3
194	хотя и	4	3
195	в разных	3	3
196	и аудитории	1	3
197	в ее	2	3
198	авторской речью	2	3
199	высказывания с	1	3
200	этих слов	1	3
201	то мы	1	3
202	на самом	2	3
203	и уже	1	3
204	что и	2	3
205	в виду	2	3
206	долгое время	1	3
207	между ними	2	3
208	и само	2	3
209	но что	1	3
210	только он	1	3
211	связи с	4	3
212	и даже	11	3
213	нам в	1	3
214	в основе	8	3
215	слова но	2	3
216	содержание и	1	3
217	высказывания как	2	3
218	внутреннюю речь	1	3
219	этого высказывания	1	3
220	словом и	9	3
221	из социального	1	3
222	всякое высказывание	1	3
223	может стать	3	3
224	все эти	15	3
225	как в	18	3
226	по своему	2	3
227	человеческой речи	2	3
228	идеологические системы	1	3
229	том что	6	3
230	бытового общения	1	3
231	бы мы	1	3
232	вследствие этого	1	3
233	роль в	4	3
234	об этом	1	3
235	слова о	2	3
236	перед нами	7	3
237	еще не	9	3
238	его и	5	3
239	высказывание как	1	3
240	то он	1	3
241	нуждается в	3	3
242	выражение в	4	3
243	в котором	2	3
244	в устах	1	3
245	ведь в	1	3
246	свое выражение	3	3
247	как предмет	4	3
248	для наших	1	3
249	между тем	5	3
250	высказывания и	3	3
251	языком и	6	3
252	не знает	3	3
253	в частности	3	3
254	только на	3	3
255	не с	5	3
256	о своем	1	3
257	всякое слово	1	3
258	в начале	1	3
259	целый ряд	2	3
260	и слово	4	3
261	конечно не	7	3
262	от того	1	3
263	ведь если	1	3
264	язык не	5	3
265	нет и	1	3
266	сказать что	4	3
267	высказывания в	2	3
268	жизни и	5	3
269	слово и	5	3
270	чаще всего	1	3
271	этого слова	2	3
272	и внутренняя	1	3
273	и эта	2	3
274	к той	1	3
275	у них	2	3
276	и для	7	3
277	муки слова	1	3
278	это не	8	3
279	из них	3	3
280	он должен	1	3
281	только одна	1	2
282	речи то	1	2
283	находятся в	1	2
284	эти высказывания	1	2
285	для всех	2	2
286	в душе	1	2
287	и он	1	2
288	мы найдем	3	2
289	точном смысле	1	2
290	ничем не	1	2
291	как с	2	2
292	слова здесь	1	2
293	речи но	2	2
294	должно быть	3	2
295	увидим что	1	2
296	и вследствие	1	2
297	в языке	7	2
298	наших целей	1	2
299	был бы	2	2
300	и при	2	2
301	и потому	9	2
302	каждый из	1	2
303	мы имеем	1	2
304	еще более	7	2
305	этом отношении	2	2
306	с ним	12	2
307	на развитие	1	2
308	кроме того	6	2
309	о чем	1	2
310	свое высказывание	1	2
311	приходится иметь	2	2
312	но как	2	2
313	для них	2	2
314	в отношении	9	2
315	с другими	8	2
316	это слово	1	2
317	даже на	1	2
318	с собой	1	2
319	но это	3	2
320	слова не	5	2
321	в их	6	2
322	речь но	3	2
323	а на	3	2
324	связь с	2	2
325	от их	1	2
326	высказывания не	2	2
327	установки на	1	2
328	не было	4	2
329	слове в	4	2
330	на этот	1	2
331	материал для	1	2
332	все то	2	2
333	или в	10	2
334	том же	4	2
335	в материале	1	2
336	с ней	2	2
337	прежде чем	1	2
338	всех его	9	2
339	равно как	1	2
340	своего собеседника	1	2
341	но эта	2	2
342	но не	7	2
343	тем что	1	2
344	он говорит	1	2
345	слово в	18	2
346	же слово	3	2
347	в жизни	1	2
348	в связи	2	2
349	в помощи	1	2
350	как не	1	2
351	эти три	1	2
352	что он	2	2
353	и стилистика	3	2
354	или даже	5	2
355	понимания и	1	2
356	не есть	2	2
357	каждое высказывание	1	2
358	в своей	8	2
359	в мире	1	2
360	оценок и	4	2
361	на эту	1	2
362	в этих	8	2
363	сделать его	1	2
364	понимание и	2	2
365	на одном	1	2
366	и сам	4	2
367	связанные с	7	2
368	в действительной	1	2
369	ли он	4	2
370	которые являются	2	2
371	по своей	2	2
372	войти в	2	2
373	связанный с	1	2
374	и точек	1	2
375	в каком	1	2
376	не нужно	1	2
377	должен быть	3	2
378	но мы	2	2
379	и ответ	2	2
380	идеология и	1	2
381	на первый	1	2
382	сих пор	4	2
383	и вообще	2	2
384	связано с	3	2
385	языка мы	2	2
386	с этим	5	2
387	нет ничего	1	2
388	такие слова	1	2
389	к этому	3	2
390	бы не	1	2
391	отвлечемся от	1	2
392	человека в	5	2
393	которого и	1	2
394	бы и	6	2
395	находит свое	1	2
396	слов или	1	2
397	при условии	1	2
398	голоса и	4	2
399	между собой	3	2
400	видим что	1	2
401	как одно	1	2
402	языка в	21	2
403	со всех	1	2
404	мы говорили	2	2
405	даже и	4	2
406	нашего сознания	2	2
407	в значительной	6	2
408	из этих	3	2
409	его не	4	2
410	и ни	1	2
411	также и	5	2
412	в какой	2	2
413	одни и	1	2
414	его речь	1	2
415	не всегда	1	2
416	на возможность	2	2
417	речи не	2	2
418	он не	5	2
419	этот процесс	1	2
420	и кроме	2	2
421	в него	9	2
422	между двумя	1	2
423	от которых	1	2
424	за ними	1	2
425	в идеологическом	2	2
426	для этого	4	2
427	этими словами	1	2
428	для всякого	1	2
429	говорящего к	1	2
430	тем и	3	2
431	ее с	2	2
432	по отношению	2	2
433	в нас	1	2
434	как уже	2	2
435	в пределах	27	2
436	значительной степени	6	2
437	о языке	1	2
438	и те	3	2
439	не должно	3	2
440	ту же	5	2
441	но даже	1	2
442	человека и	3	2
443	при всем	3	2
444	смысл его	2	2
445	материалом и	1	2
446	как например	1	2
447	перейти к	1	2
448	которых оно	1	2
449	ничего что	1	2
450	отношение к	8	2
451	литературное произведение	1	2
452	друг другу	2	2
453	и содержание	1	2
454	которые в	4	2
455	вовсе не	16	2
456	одной из	4	2
457	стилистическое своеобразие	3	2
458	тот же	1	2
459	до конца	25	2
460	отношение говорящего	1	2
461	место в	2	2
462	есть не	2	2
463	в точном	1	2
464	к миру	1	2
465	отношению к	2	2
466	здесь не	6	2
467	однако в	3	2
468	человек не	1	2
469	в которых	1	2
470	ведь и	1	2
471	друг друга	3	2
472	и нет	3	2
473	не из	2	2
474	таким же	1	2
475	к полному	1	2
476	стилистическую структуру	1	2
477	его стилистическую	1	2
478	гораздо более	1	2
479	к нему	7	2
480	от всякого	2	1
481	он пользуется	3	1
482	жанр который	1	1
483	и перестает	1	1
484	мы наблюдаем	2	1
485	в особенности	10	1
486	к сожалению	1	1
487	заставляет его	2	1
488	что в	3	1
489	от социального	1	1
490	что возможно	1	1
491	которого он	3	1
492	лишь там	1	1
493	ближе к	1	1
494	индивидуального сознания	3	1
495	то в	2	1
496	как к	5	1
497	к такому	2	1
498	не мешает	1	1
499	с полной	1	1
500	именно к	3	1
501	вместе со	2	1
502	и другие	3	1
503	пределах одного	8	1
504	в смысловом	2	1
505	утверждать что	1	1
506	оно определяется	1	1
507	связи и	3	1
508	является в	1	1
509	только не	2	1
510	собственном смысле	2	1
511	слов о	4	1
512	в новые	2	1
513	представим себе	1	1
514	в другой	2	1
515	все что	1	1
516	новый язык	1	1
517	форм и	3	1
518	или наоборот	1	1
519	и автор	1	1
520	и самое	3	1
521	до сих	4	1
522	на языке	2	1
523	все его	4	1
524	автор и	3	1
525	слов иногда	1	1
526	процесс их	1	1
527	еще раз	3	1
528	которой оно	1	1
529	словом но	2	1
530	можно говорить	2	1
531	которым он	1	1
532	само слово	1	1
533	наша речь	1	1
534	в определенный	1	1
535	речи героев	5	1
536	нами не	1	1
537	ведь для	1	1
538	этого необходимо	1	1
539	одним словом	4	1
540	на протяжении	3	1
541	это движение	1	1
542	заложенные в	2	1
543	возможно лишь	1	1
544	же и	4	1
545	чего не	1	1
546	и идеологически	1	1
547	языком так	1	1
548	здесь нет	1	1
549	в самый	1	1
550	должен стать	1	1
551	и среди	2	1
552	в романе	64	1
553	или только	1	1
554	исторической жизни	3	1
555	того как	2	1
556	время и	3	1
557	в основном	7	1
558	не сможем	1	1
559	вопросы стилистики	1	1
560	слову в	2	1
561	из комнаты	1	1
562	который может	1	1
563	которые он	1	1
564	своей основной	1	1
565	от действительности	2	1
566	его с	1	1
567	лицо на	1	1
568	которых мы	3	1
569	о художественной	1	1
570	имеет первостепенное	1	1
571	важно для	1	1
572	лишь при	2	1
573	тогда когда	2	1
574	разновидностях то	1	1
575	в состоянии	1	1
576	связан с	2	1
577	всей жизни	1	1
578	в социальном	2	1
579	не поймет	1	1
580	слово только	1	1
581	для индивидуального	1	1
582	языка которые	1	1
583	языка без	1	1
584	дело с	4	1
