N	4gram	Losev_Vesc	slovoVRo
1	в то же время	4	18
2	но в то же	1	7
3	и в то же	3	6
4	с одной стороны и	1	4
5	одно и то же	5	3
6	с этой точки зрения	3	2
7	и с другой стороны	1	2
8	в то время как	4	2
9	на самом же деле	1	1
10	ни при каких условиях	1	1
11	дело в том что	4	1
12	а в том что	1	1
13	и т д если	1	1
14	в его отношении к	1	1
15	том что он не	1	1
16	все новые и новые	1	1
17	в том что он	2	1
18	и более или менее	1	1
19	бы то ни было	12	1
20	заключается в том чтобы	1	1
21	но и в смысле	1	1
22	не только в смысле	1	1
