N	2gram	Nazirov_Vr	TeoriaLi
1	в качестве	1	33
2	– это	6	33
3	в мире	2	26
4	не только	9	24
5	и в	8	24
6	в частности	1	23
7	может быть	4	22
8	при этом	4	20
9	в том	3	20
10	тогда как	2	18
11	и не	5	17
12	а в	2	15
13	но и	7	14
14	так и	1	14
15	в себе	2	14
16	но не	1	13
17	в этом	8	12
18	но в	6	12
19	в его	3	12
20	то же	5	12
21	своего рода	1	11
22	том что	3	11
23	точки зрения	2	11
24	и его	3	11
25	что в	7	10
26	в душе	1	9
27	с другой	1	9
28	в то	5	9
29	в своей	2	8
30	же время	5	8
31	как бы	4	8
32	по своей	1	8
33	не может	2	8
34	в самом	1	7
35	и т.п	2	7
36	в своем	3	7
37	себя в	1	7
38	а также	2	7
39	во второй	1	7
40	отношение к	2	7
41	однако в	1	7
42	место в	2	7
43	в нем	6	7
44	другой стороны	1	6
45	как и	6	6
46	не менее	2	6
47	еще не	2	6
48	то что	7	6
49	уже не	2	6
50	с его	3	6
51	в ее	1	6
52	в русской	3	6
53	тем самым	1	6
54	в первой	1	6
55	в виду	4	5
56	как в	1	5
57	я с	1	5
58	как правило	1	5
59	как к	1	5
60	по преимуществу	1	5
61	для него	2	5
62	того что	1	5
63	между тем	5	5
64	он не	3	5
65	и о	3	5
66	могут быть	1	5
67	и сам	1	4
68	в этих	1	4
69	отношения к	2	4
70	что он	4	4
71	совпадает с	1	4
72	говорить о	1	4
73	отношении к	1	4
74	и а	2	4
75	и т.д	1	4
76	никогда не	2	4
77	это не	4	4
78	хотя и	1	4
79	в литературе	1	4
80	в их	1	4
81	его в	3	4
82	но он	3	4
83	так в	2	4
84	по своему	1	4
85	– не	1	4
86	в свою	2	4
87	и что	8	4
88	самим собой	1	4
89	в форме	1	4
90	далеко не	3	4
91	того же	1	4
92	одного и	1	4
93	в силу	1	4
94	с ее	1	4
95	в целом	1	4
96	и ее	2	4
97	в таком	1	3
98	в момент	2	3
99	о чем	2	3
100	только не	1	3
101	в романе	6	3
102	именно в	1	3
103	в жизни	1	3
104	в соответствии	1	3
105	их в	2	3
106	никто не	1	3
107	роль в	1	3
108	в итоге	1	3
109	из которого	1	3
110	тем не	1	3
111	свою очередь	1	3
112	потому что	1	3
113	в одном	1	3
114	вслед за	1	3
115	это отношение	1	3
116	во всей	1	3
117	не все	1	3
118	таким образом	2	3
119	и то	2	3
120	человека к	1	3
121	в эпизоде	1	3
122	с точки	2	3
123	к которому	1	3
124	как раз	2	3
125	прежде всего	1	3
126	связи с	3	3
127	одним из	3	3
128	как говорит	1	3
129	в связи	3	3
130	и как	3	3
131	в сторону	1	3
132	во всех	1	3
133	а с	2	3
134	не будет	1	3
135	не с	1	3
136	этом смысле	1	3
137	человека с	2	3
138	в этой	2	3
139	столь же	2	3
140	отнюдь не	2	3
141	в той	2	2
142	для всех	1	2
143	один из	1	2
144	русской литературе	3	2
145	если в	1	2
146	поскольку вместо	1	2
147	рассказ о	1	2
148	в литературной	1	2
149	из которых	1	2
150	в году	18	2
151	в них	2	2
152	и даже	6	2
153	заключается в	1	2
154	на свою	1	2
155	вместе с	2	2
156	дома и	1	2
157	отличается от	1	2
158	в известном	2	2
159	в каком	1	2
160	о том	4	2
161	сам же	1	2
162	это и	1	2
163	к нему	1	2
164	на основе	2	2
165	сложности и	1	2
166	не всегда	1	2
167	не могло	1	2
168	речь идет	3	2
169	о своем	1	2
170	и это	2	2
171	соответствии с	1	2
172	ключ к	1	2
173	в мировой	1	2
174	глаза в	1	2
175	он и	1	2
176	лишь один	1	2
177	не просто	1	2
178	только о	1	2
179	то в	1	2
180	что они	1	2
181	но на	1	2
182	войне и	1	2
183	несмотря на	4	2
184	и маргариты	1	2
185	все это	4	2
186	уже говорилось	1	2
187	у него	5	2
188	– этого	1	2
189	в повести	2	2
190	не могли	1	2
191	в конце	3	2
192	я не	3	2
193	это было	1	2
194	в чем	3	2
195	об этом	5	2
196	тем более	2	2
197	о себе	3	2
198	но как	2	2
199	одну из	1	2
200	в рассказе	1	2
201	быть и	1	2
202	одно и	1	2
203	в войне	1	2
204	человека и	1	2
205	идет о	1	2
206	так же	4	2
207	известном смысле	1	2
208	и мире	1	2
209	тот кто	1	2
210	в особенности	1	1
211	все что	1	1
212	можно говорить	1	1
213	тургенева в	7	1
214	этот закон	1	1
215	героев и	1	1
