N	4gram	Propp_Morf	RusskieA
1	состоит в том что	3	26
2	не что иное как	2	4
3	какие же выводы можно	1	2
4	выводы можно сделать из	1	2
5	в тех случаях когда	2	2
6	это не значит что	2	2
7	как мы уже видели	1	2
8	и т д и	1	2
9	же выводы можно сделать	1	2
10	и т д с	1	1
11	нужно иметь в виду	1	1
12	для наших целей нет	1	1
13	есть на самом деле	1	1
14	друг к другу и	2	1
15	можно наблюдать что в	1	1
16	вопрос о том как	1	1
17	и в других случаях	1	1
18	т д сюда же	1	1
19	как мы увидим ниже	4	1
20	ниже мы увидим что	1	1
21	и т д в	2	1
22	во всех других случаях	1	1
23	в то время как	3	1
24	бросается в глаза что	1	1
25	можно сделать из приведенных	1	1
26	не имеет смысла но	1	1
27	и т д сюда	1	1
28	определить в какой степени	1	1
29	как и в других	2	1
30	или во всяком случае	1	1
31	не имеет ничего общего	1	1
32	животных и т д	1	1
33	тем не менее следует	1	1
34	и т д а	2	1
35	вопрос о том кто	1	1
36	чем решить вопрос о	1	1
37	если прибавить к этому	1	1
38	во всех этих случаях	1	1
39	приводит к тому что	1	1
40	в этом случае он	1	1
41	к тому что в	1	1
42	только в тех случаях	1	1
