N	2gram	Vygotskiy_	VLabPisa
1	таким образом	36	32
2	в этом	35	29
3	не только	16	26
4	и в	38	26
5	может быть	25	23
6	и не	16	20
7	хотя бы	2	20
8	не может	11	17
9	в процессе	33	17
10	в его	22	15
11	в том	59	15
12	этом отношении	9	14
13	в силу	9	14
14	все это	8	13
15	прежде всего	6	13
16	в качестве	25	12
17	вот что	1	12
18	в частности	4	12
19	как это	16	12
20	что в	31	11
21	представляет собою	1	11
22	с другой	11	11
23	из них	5	11
24	то же	18	10
25	не могут	5	10
26	о том	6	10
27	но и	9	10
28	по этому	6	10
29	и др	1	10
30	для него	6	9
31	об этом	2	9
32	к этому	5	9
33	могут быть	9	8
34	говорит и	2	8
35	другой стороны	5	8
36	только в	16	8
37	на основании	11	8
38	все эти	9	8
39	вместе с	18	8
40	том что	44	8
41	ни один	5	8
42	было бы	15	8
43	не следует	1	8
44	в своем	9	8
45	в основном	6	7
46	из современных	1	7
47	это не	5	7
48	говорит о	1	7
49	в конечном	2	7
50	по отношению	4	7
51	очевидно что	1	7
52	тому что	3	7
53	как и	20	7
54	их в	6	7
55	действительности и	1	7
56	во всех	3	7
57	а не	7	7
58	этому поводу	4	7
59	то что	27	7
60	художественное произведение	1	7
61	главным образом	3	7
62	отношению к	3	7
63	же в	3	7
64	в нем	4	7
65	из этих	5	7
66	один из	8	6
67	думается что	1	6
68	у него	3	6
69	более или	3	6
70	все же	11	6
71	приводит к	5	6
72	это и	1	6
73	бы и	2	6
74	не в	10	6
75	между тем	10	6
76	так и	11	6
77	в себе	9	6
78	или менее	5	6
79	в зависимости	6	6
80	том же	3	6
81	и его	5	6
82	в то	5	6
83	даже в	5	5
84	в результате	6	5
85	в их	12	5
86	в них	3	5
87	связи с	14	5
88	одним из	6	5
89	конечном счете	1	5
90	как говорит	7	5
91	зависимости от	7	5
92	к тому	8	5
93	перед нами	15	5
94	не является	13	5
95	он говорит	1	5
96	на основе	29	5
97	и при	3	5
98	в одном	4	5
99	в пределах	1	5
100	как бы	17	5
101	в целом	22	5
102	сказать что	10	5
103	в плане	2	5
104	показывают что	6	5
105	никогда не	11	5
106	в самом	8	4
107	основных чертах	1	4
108	ее в	2	4
109	только что	5	4
110	в ее	1	4
111	как раз	1	4
112	можно сказать	2	4
113	что для	1	4
114	в этой	7	4
115	следующим образом	4	4
116	что все	2	4
117	что он	13	4
118	в виду	4	4
119	по существу	4	4
120	приведенных выше	1	4
121	с тем	18	4
122	с ними	3	4
123	в своей	9	4
124	является не	6	4
125	роль в	5	4
126	должен быть	1	4
127	с его	3	4
128	для его	2	4
129	в связи	9	4
130	когда он	5	4
131	в нашей	4	4
132	них не	1	4
133	из его	1	4
134	одна из	2	4
135	по поводу	1	4
136	отнюдь не	6	4
137	во время	3	4
138	и ее	1	4
139	образов и	2	4
140	и к	9	3
141	что они	23	3
142	видели что	4	3
143	что оно	8	3
144	и он	1	3
145	что у	3	3
146	этой проблемы	2	3
147	этой области	2	3
148	этот процесс	4	3
149	мы знаем	10	3
150	мы имеем	6	3
151	действительной жизни	1	3
152	того что	17	3
153	но как	4	3
154	видеть в	4	3
155	него в	1	3
156	утверждает что	1	3
157	что и	14	3
158	у нас	1	3
159	сводится к	1	3
160	подобно тому	1	3
161	его в	8	3
162	в форме	2	3
163	если бы	12	3
164	или в	4	3
165	говорит в	1	3
166	в другую	3	3
167	это мы	3	3
168	именно в	6	3
169	в конце	1	3
170	или иная	3	3
171	например в	2	3
172	этого типа	1	3
173	между ними	6	3
174	и как	11	3
175	в слове	3	3
176	же и	2	3
177	в которых	3	3
178	и отдельных	2	3
179	том как	1	3
180	вовсе не	5	3
181	бы в	5	3
182	с этим	6	3
183	интеллектуальной деятельности	10	3
184	а в	7	3
185	процесса как	2	3
186	что не	1	3
187	в котором	3	3
188	из элементов	1	3
189	в основных	1	3
190	даже и	1	3
191	она не	1	3
192	в противоположность	1	3
193	в значительной	1	3
194	но даже	1	3
195	того чтобы	15	3
196	для того	14	3
197	тому как	2	3
198	и их	4	3
199	как он	8	3
200	вслед за	4	3
201	далеко не	2	3
202	этот вопрос	5	3
203	так же	26	3
204	при помощи	3	3
205	человека и	6	3
206	при всем	2	3
207	образом не	2	3
208	как на	2	3
209	нет и	1	3
210	та или	3	3
211	это делает	1	3
212	образом в	1	3
213	и от	5	3
214	точки зрения	27	3
215	что говорит	2	3
216	и по	5	3
217	всех этих	2	3
218	моментов в	3	3
219	мы видели	8	3
220	мы наблюдаем	3	2
221	схемы в	1	2
222	этом и	2	2
223	отметить что	1	2
224	представить себе	3	2
225	им как	1	2
226	и весь	1	2
227	только не	2	2
228	все его	2	2
229	том чтобы	2	2
230	и этот	1	2
231	из которых	6	2
232	о наличии	1	2
233	от его	2	2
234	они не	4	2
235	на вопрос	1	2
236	если в	3	2
237	самого себя	2	2
238	должно быть	3	2
239	того как	5	2
240	с одной	8	2
241	том числе	3	2
242	внимание на	4	2
243	тогда когда	10	2
244	реакции на	2	2
245	смысле слова	5	2
246	из основных	3	2
247	получает в	1	2
248	с нею	2	2
249	говорить о	1	2
250	да и	1	2
251	следует что	1	2
252	хотя и	2	2
253	в пользу	7	2
254	связанное с	2	2
255	что при	3	2
256	план не	1	2
257	в большей	1	2
258	не приходится	1	2
259	одном и	3	2
260	после этого	1	2
261	с более	2	2
262	что такое	1	2
263	а затем	4	2
264	как у	2	2
265	и через	1	2
266	для них	3	2
267	не столько	4	2
268	с другими	3	2
269	представлений и	1	2
270	по себе	11	2
271	процессе своего	1	2
