N	4gram	Nazirov_Tv	Vvedenie
1	в то же время	18	6
2	не что иное как	1	5
3	дело в том что	4	3
4	и тем не менее	1	3
5	но в то же	5	3
6	заключается в том что	1	2
7	и т д в	1	2
8	одного и того же	1	2
9	и т д все	1	2
10	ответ на этот вопрос	1	2
11	т д все это	1	1
12	ни та ни другая	1	1
13	дело не только в	1	1
14	собой не что иное	1	1
15	и т д и	1	1
16	что он вовсе не	1	1
17	в соответствии с этим	1	1
18	бы то ни было	1	1
19	мы имеем в виду	1	1
20	должен был знать все	1	1
21	говорить о том что	1	1
22	в том что в	3	1
23	речь идет уже не	1	1
