N	2gram	Vygotskiy_	Hudozhes
1	в качестве	2	31
2	то есть	16	26
3	и в	55	23
4	не только	24	20
5	состоит в	3	20
6	в том	50	20
7	при этом	11	19
8	может быть	34	19
9	в частности	6	18
10	и не	19	16
11	но и	16	14
12	а не	16	13
13	но не	9	13
14	а в	7	13
15	я в	1	13
16	в себе	13	13
17	в этом	30	12
18	то же	16	12
19	так и	6	12
20	произведение искусства	10	12
21	и его	10	12
22	сводится к	7	11
23	представляет собой	2	11
24	как бы	33	11
25	точки зрения	15	11
26	в его	8	11
27	по отношению	3	10
28	но в	7	10
29	отношению к	2	10
30	в душе	2	9
31	или иной	2	9
32	том что	46	9
33	с другой	12	9
34	в искусстве	12	9
35	не в	12	9
36	не может	15	9
37	себя в	4	8
38	в области	2	8
39	в то	6	8
40	что в	43	7
41	в самом	18	7
42	только в	12	7
43	в своей	8	7
44	в основе	9	7
45	и т.п	1	7
46	же время	2	7
47	в отличие	3	7
48	отличие от	3	7
49	не столько	1	7
50	как это	16	7
51	по своей	1	7
52	отношение к	1	7
53	другой стороны	8	6
54	в состав	3	6
55	более или	1	6
56	приводит к	2	6
57	уже не	1	6
58	можно сказать	4	6
59	с ее	1	6
60	с его	6	6
61	мы имеем	10	6
62	в ее	3	6
63	а также	1	6
64	или менее	1	6
65	в нем	13	6
66	искусства в	7	6
67	ни в	5	5
68	в виду	5	5
69	не на	1	5
70	конечном счете	2	5
71	что он	30	5
72	в художественном	4	5
73	не менее	1	5
74	не является	3	5
75	того чтобы	43	5
76	для того	45	5
77	со стороны	3	5
78	иначе говоря	1	5
79	как к	1	5
80	для него	5	5
81	того что	12	5
82	прежде всего	6	5
83	в их	3	5
84	а на	1	5
85	в конечном	2	5
86	говоря словами	1	5
87	между ними	2	5
88	той или	2	5
89	героя и	9	5
90	тем самым	1	5
91	то что	69	5
92	могут быть	8	5
93	например в	2	4
94	отношения к	2	4
95	из которого	1	4
96	для читателя	2	4
97	еще не	6	4
98	в данном	4	4
99	в воображении	3	4
100	в другом	3	4
101	художественного впечатления	1	4
102	говорить о	1	4
103	и т.д	1	4
104	сказать что	14	4
105	жизни как	1	4
106	в своем	12	4
107	к тому	12	4
108	во времени	2	4
109	и то	12	4
110	это не	9	4
111	в отношении	2	4
112	его в	2	4
113	эстетический объект	3	4
114	не знает	2	4
115	и как	10	4
116	в этих	3	4
117	так в	4	4
118	в себя	2	4
119	а только	1	4
120	того или	1	4
121	произведения искусства	2	4
122	между тем	4	4
123	речи и	2	4
124	он не	10	4
125	и тем	6	4
126	и что	45	4
127	в форме	2	4
128	далеко не	4	4
129	и о	5	4
130	однако в	1	4
131	искусства но	2	4
132	художественного произведения	3	4
133	в силу	3	4
134	или иного	1	4
135	хотя и	1	4
136	в той	3	3
137	и к	5	3
138	к действительности	1	3
139	на деле	9	3
140	и составляет	4	3
141	и на	12	3
142	с этой	5	3
143	искусства это	1	3
144	даже в	2	3
145	была бы	4	3
146	о чем	4	3
147	подобно тому	1	3
148	если бы	21	3
149	оказывается в	1	3
150	и сам	1	3
151	в романе	2	3
152	в жизни	2	3
153	имеет место	3	3
154	как и	9	3
155	к его	2	3
156	их в	4	3
157	никто не	4	3
158	себя и	3	3
159	художественное произведение	5	3
160	области искусства	3	3
161	и того	2	3
162	и состоит	1	3
163	в противоположность	3	3
164	к нему	1	3
165	потому что	48	3
166	одной стороны	15	3
167	искусства и	8	3
168	в стихотворении	1	3
169	в одном	5	3
170	не обязательно	1	3
171	имеем в	1	3
172	известной степени	1	3
173	читателя зрителя	1	3
174	мог бы	3	3
175	за пределами	1	3
176	от себя	2	3
177	в структуре	1	3
178	из этих	4	3
179	и для	13	3
180	к содержанию	1	3
181	он должен	8	3
182	таким образом	35	3
183	по преимуществу	2	3
184	с одной	15	3
185	в произведении	1	3
186	с точки	5	3
187	как раз	19	3
188	двоякого рода	3	3
189	несет в	1	3
190	внешнего мира	1	3
191	читателя в	1	3
192	связи с	2	3
193	но он	6	3
194	в эстетический	1	3
195	искусства как	5	3
196	в таком	4	3
197	в контексте	1	3
198	как говорит	6	3
199	или даже	1	3
200	по своему	1	3
201	во всех	6	3
202	в русской	1	3
203	как уже	1	3
204	тому как	3	3
205	личности и	1	3
206	в рассказе	2	3
207	в свою	3	3
208	в которой	4	3
209	не будет	3	3
210	одно и	3	3
211	говоря о	1	3
212	в пределах	3	3
213	этом смысле	4	3
214	того же	5	3
215	что можно	1	3
216	одного и	2	3
217	слова в	1	3
218	в узком	1	3
219	и прежде	1	3
220	зрителя слушателя	1	3
221	в целом	7	3
222	и ее	1	3
223	более не	1	2
224	и другие	3	2
225	образом и	3	2
226	однако с	1	2
227	один из	9	2
228	русской литературе	1	2
229	жизни а	2	2
230	и который	1	2
231	с ним	4	2
232	строго говоря	2	2
233	из которых	5	2
234	не как	3	2
235	а затем	2	2
236	одно из	1	2
237	том и	3	2
238	по себе	13	2
239	в них	7	2
240	оно не	2	2
241	этой точки	3	2
242	эстетической деятельности	1	2
243	самом деле	17	2
244	героя как	1	2
245	заключается в	13	2
246	все эти	5	2
247	имеет дело	4	2
248	именно в	9	2
249	ясно говорит	1	2
250	из тех	1	2
251	с ними	1	2
252	в одно	1	2
253	как в	4	2
254	говоря и	1	2
255	бы не	1	2
256	отличается от	4	2
257	ни для	1	2
258	в известном	2	2
259	которая не	1	2
260	в каком	7	2
261	жизни на	1	2
262	к другому	2	2
263	о том	24	2
264	мы легко	5	2
265	свою очередь	1	2
266	это и	7	2
267	еще и	1	2
268	ни к	1	2
269	ними и	1	2
270	во внешнем	2	2
271	вытекает из	2	2
272	не могли	4	2
273	между собой	2	2
274	в катарсисе	7	2
275	введено в	1	2
276	совпадает с	1	2
277	во мне	1	2
278	но во	2	2
279	слова и	2	2
280	могло быть	2	2
281	воздействия на	1	2
282	не могло	2	2
283	вступает в	1	2
284	может служить	1	2
285	речь идет	1	2
286	художественной литературы	1	2
287	говорит что	13	2
288	вслед за	3	2
289	и это	13	2
290	превращается в	2	2
291	времени и	5	2
292	для которого	1	2
293	так же	19	2
294	еще один	2	2
295	и наоборот	2	2
296	в глаза	2	2
297	об этом	5	2
298	должен быть	3	2
299	из виду	1	2
300	на наших	2	2
301	видим в	2	2
302	если мы	24	2
303	произведении искусства	1	2
304	что отличает	1	2
305	в нашем	3	2
306	имеем дело	1	2
307	всякий раз	6	2
308	искусство есть	6	2
309	для понимания	3	2
310	который в	1	2
311	одна из	6	2
312	этого слова	1	2
313	до известной	1	2
314	здесь не	1	2
315	не все	3	2
316	на котором	1	2
317	глаза в	1	2
