N	4gram	Vygotskiy_	StatiiOP
1	заключается в том что	16	6
2	в то время как	5	5
3	в том что в	3	4
4	в том отношении что	1	4
5	в том что здесь	1	4
6	на то что в	1	4
7	в том смысле что	2	3
8	во всяком случае не	1	3
9	если принять во внимание	2	3
10	в том что он	1	3
11	одним и тем же	4	3
12	состоит в том что	4	2
13	в том что она	1	2
14	совершенно так же как	1	2
15	как говорит об этом	1	2
16	сомневаться в том что	1	2
17	в том числе и	3	2
18	и вместе с тем	2	2
19	одних и тех же	1	2
20	сомнения в том что	1	2
21	никакого сомнения в том	1	2
22	том что он не	1	2
23	все более и более	1	2
24	бы то ни было	1	2
25	во всяком случае в	1	2
26	и в этом смысле	1	2
27	и на этот раз	1	2
28	и в том что	1	1
29	и что он не	1	1
30	с нашей точки зрения	2	1
31	ни в каком случае	1	1
32	в этой области это	1	1
33	не может быть вообще	1	1
34	одни и те же	3	1
35	том виде в каком	1	1
36	в собственном смысле этого	7	1
37	что с точки зрения	1	1
38	том смысле как мы	1	1
39	само по себе не	1	1
40	в том смысле как	1	1
41	с их точки зрения	1	1
42	в его развитии в	1	1
43	заключается вовсе не в	1	1
44	можно считать установленным что	1	1
45	невозможные с точки зрения	1	1
46	не только потому что	1	1
47	не дает ни малейшего	1	1
48	и во всяком случае	2	1
49	которой можно было бы	1	1
50	с этой точки зрения	4	1
51	как мы видели выше	1	1
52	в связи с этим	2	1
53	можно сказать что они	1	1
54	в пользу того что	1	1
55	в настоящем смысле этого	1	1
56	бы они ни были	1	1
57	только в том что	4	1
58	то время как в	1	1
59	и это самое важное	1	1
60	что мы знаем об	2	1
61	ставить знак равенства между	1	1
62	одной и той же	5	1
63	настоящем смысле этого слова	1	1
64	одно и то же	6	1
65	только потому что оно	1	1
66	с одной стороны он	1	1
67	ли можно сомневаться в	1	1
68	принять во внимание что	2	1
69	несомненно является одним из	1	1
70	можно сомневаться в том	1	1
71	приводит к тому что	1	1
72	одному и тому же	5	1
73	в том виде в	1	1
74	так же как и	6	1
75	точно так же как	1	1
