N	2gram	Voloshinov	Istorich
1	и в	13	181
2	может быть	8	115
3	не только	6	114
4	что он	1	111
5	мы имеем	1	102
6	что в	3	90
7	но и	3	85
8	в этом	2	81
9	так как	3	75
10	то что	6	73
11	таким образом	6	72
12	вместе с	1	71
13	и не	8	67
14	мы видим	2	65
15	все же	5	65
16	еще не	1	63
17	не может	8	61
18	так же	2	57
19	то же	4	56
20	никогда не	3	56
21	в том	2	53
22	том что	2	53
23	а в	2	52
24	с другой	2	52
25	потому что	1	52
26	и что	1	51
27	и здесь	1	51
28	а не	2	48
29	связь с	1	47
30	его в	1	47
31	не в	3	47
32	другой стороны	2	46
33	превращается в	3	45
34	и пр	7	44
35	мы должны	6	44
36	но в	4	44
37	и его	12	43
38	в нем	2	42
39	только в	6	42
40	как в	2	42
41	представление о	1	41
42	или в	1	39
43	тем что	2	38
44	в его	7	38
45	как и	3	37
46	мы уже	2	37
47	так и	3	37
48	мы можем	4	36
49	что они	2	35
50	мы не	4	35
51	здесь мы	3	35
52	все эти	2	35
53	не всегда	1	34
54	связи с	1	34
55	но не	1	34
56	же как	1	33
57	там где	2	33
58	об этом	1	33
59	один из	1	31
60	прежде всего	9	31
61	то это	1	31
62	так в	1	31
63	с этим	3	30
64	с одной	2	30
65	к нему	1	30
66	одной стороны	2	29
67	но это	1	29
68	что она	1	28
69	например в	1	28
70	могут быть	2	27
71	в образе	1	27
72	как это	1	26
73	мы здесь	1	26
74	и др	2	26
75	в ней	2	26
76	вопрос о	1	25
77	в дальнейшем	1	25
78	и он	1	25
79	не менее	2	24
80	к этому	1	24
81	было бы	4	24
82	того как	1	24
83	в виде	1	24
84	если бы	2	24
85	что мы	1	24
86	их в	1	23
87	как бы	6	23
88	и это	1	23
89	тем не	1	23
90	в этой	1	23
91	все это	4	23
92	при этом	2	22
93	в некоторых	1	22
94	в другом	2	21
95	в одном	3	21
96	сказать что	1	21
97	в связи	2	21
98	к тому	2	21
99	они не	1	21
100	ее в	2	21
101	эта связь	1	20
102	одна из	1	20
103	другими словами	1	20
104	на том	1	19
105	в тех	2	19
106	в другой	1	19
107	не совсем	1	19
108	на то	1	19
109	и как	1	19
110	в то	1	18
111	в данном	2	18
112	вовсе не	2	18
113	в них	2	17
114	этот вопрос	1	16
115	то мы	1	16
116	не вполне	1	16
117	и все	3	16
118	связана с	3	16
119	в пределах	3	15
120	что при	1	15
121	в особенности	1	15
122	и то	3	15
123	в своей	4	15
124	в которых	1	15
125	данном случае	2	15
126	его и	1	15
127	и там	1	15
128	в одной	1	15
129	и тем	2	15
130	в целом	2	15
131	с этой	2	14
132	от него	1	14
133	но мы	4	14
134	по отношению	3	14
135	можно было	1	14
136	и ее	2	14
137	одной из	1	14
138	образом мы	1	14
139	его на	2	14
140	и есть	1	14
141	а также	2	14
142	уже видели	1	14
143	отношение к	1	14
144	отношению к	3	14
145	на себя	1	14
146	и наконец	5	14
147	или на	1	13
148	в своем	1	13
149	по себе	1	13
150	и для	3	13
151	в себе	3	13
152	своего рода	2	13
153	и у	1	13
154	на этом	1	13
155	с ними	2	13
156	не имеет	2	13
157	в книге	2	13
158	и если	1	13
159	что иное	2	13
160	во всем	2	12
161	хотя бы	5	12
162	в их	3	12
163	не знает	1	12
164	одним из	1	12
165	ни один	3	12
166	случаях когда	1	12
167	и их	7	12
168	в этот	2	11
169	к которому	1	11
170	точки зрения	7	11
171	от этого	2	11
172	эту связь	1	11
173	должны быть	1	11
174	связанные с	2	11
175	никто не	1	11
176	иное как	2	11
177	только с	1	11
178	уже в	2	11
179	по мере	1	11
180	если он	1	11
181	не что	2	11
182	тех случаях	1	11
183	должно было	1	11
184	и вот	1	11
185	и более	1	11
186	такой же	1	11
187	далеко не	1	11
188	и к	2	10
189	не как	3	10
190	но так	2	10
191	не было	1	10
192	в которой	3	10
193	и тот	1	10
194	его к	1	10
195	видели как	1	10
196	на основе	1	10
197	вступает в	1	10
198	вслед за	2	10
199	связанных с	2	10
200	что же	3	10
201	но если	1	10
202	ее на	1	10
203	он и	1	10
204	и других	1	10
205	то не	1	10
206	в различных	1	10
207	не мог	2	10
208	в ее	3	10
209	если не	1	10
210	можно установить	1	10
211	не знаем	1	10
212	а на	1	10
213	что эта	2	10
214	не можем	1	10
215	более или	1	9
216	и вместе	1	9
217	только на	1	9
218	себе в	1	9
219	но для	3	9
220	в чем	2	9
221	героя и	2	9
222	детей и	1	9
223	зависимости от	2	9
224	это и	1	9
225	в течение	2	9
226	тот же	2	9
227	бы мы	1	9
228	в индии	1	9
229	которой он	1	9
230	в себя	1	9
231	или же	1	9
232	а как	2	9
233	здесь нет	1	9
234	в основе	1	9
235	в истории	1	9
236	с его	1	9
237	из него	1	9
238	ему в	1	9
239	же не	1	9
240	или менее	1	9
241	этот материал	2	8
242	только что	1	8
243	конечно не	1	8
