N	4gram	Bakhtin_sl	Problema
1	в то время как	2	12
2	в той или иной	12	10
3	дело в том что	1	10
4	на самом же деле	1	8
5	и в этом случае	2	6
6	бы то ни было	1	6
7	ни в чем не	1	5
8	тем не менее в	1	5
9	одно и то же	2	4
10	и с точки зрения	1	4
11	во всяком случае не	1	4
12	в том числе и	1	4
13	и в то же	6	3
14	с этой точки зрения	1	3
15	с одной стороны и	2	3
16	в том что он	1	3
17	прежде чем перейти к	1	3
18	но в то же	6	3
19	как мы уже сказали	3	2
20	не выходит за пределы	3	2
21	все более и более	1	2
22	в том что в	1	2
23	одной и той же	1	2
24	мы имеем в виду	1	2
25	все дело в том	1	2
26	как бы она ни	1	2
27	бы она ни была	1	2
28	но с другой стороны	1	2
29	в том и в	2	1
30	необходимо иметь в виду	1	1
31	с той или иной	1	1
32	и т д можно	1	1
33	в нем не только	1	1
34	том и в другом	2	1
35	в точном смысле слова	1	1
36	с точки зрения самого	2	1
37	и с другой стороны	2	1
38	и до наших дней	1	1
39	в то же время	15	1
40	бы оно ни было	1	1
41	ни в какой степени	1	1
42	в своей книге о	1	1
43	то же время это	1	1
44	с точки зрения которого	1	1
45	именно к тому что	1	1
46	которые в той или	1	1
47	уходит своими корнями в	2	1
48	о которых мы говорили	2	1
49	до сих пор не	2	1
50	требует от нас признания	1	1
51	здесь перед нами в	1	1
52	всегда в той или	3	1
53	хотя может быть и	1	1
54	не только в предмете	1	1
55	ни при каких условиях	1	1
56	и в том и	2	1
57	и в другом случае	2	1
58	каковы бы ни были	1	1
59	можно прямо сказать что	2	1
60	на то или иное	1	1
61	которые в свою очередь	1	1
62	в пространстве и времени	1	1
63	тем не менее очень	1	1
64	в узком смысле слова	1	1
65	в какой степени не	1	1
66	во всех этих случаях	1	1
67	особой точки зрения на	1	1
68	так и в отношении	1	1
