N	2gram	Vygotskiy_	Retstnzi
1	не может	30	4
2	и в	55	3
3	если в	2	2
4	в центре	1	2
5	один из	6	2
6	произведения но	2	1
7	этой проблемы	2	1
8	нуждаются в	4	1
9	в особенности	3	1
10	несмотря на	8	1
11	может быть	35	1
12	не только	25	1
13	точки зрения	32	1
14	с точки	12	1
15	формальных приемов	1	1
16	может не	1	1
17	позицию занимает	1	1
18	для него	1	1
19	с теми	2	1
20	бы чисто	1	1
21	в ней	3	1
22	тех же	2	1
23	в каждом	5	1
24	связи с	2	1
25	своих теоретических	1	1
26	из крупнейших	1	1
27	на месте	1	1
28	можно и	1	1
29	с другими	2	1
30	лучше всего	2	1
31	или иными	1	1
32	методы и	1	1
33	его от	2	1
34	в анализе	1	1
35	если бы	10	1
36	смысл и	2	1
37	художественного произведения	22	1
38	выводы на	1	1
39	исходя из	4	1
40	вещей и	2	1
41	литературного произведения	1	1
42	на примере	5	1
43	и методологически	1	1
44	в его	8	1
45	и тому	1	1
46	зрения их	1	1
47	ничего кроме	2	1
48	не менее	9	1
49	именно с	1	1
50	деятельности в	1	1
51	и социальной	1	1
52	и заставляет	1	1
53	в языке	3	1
54	речь и	2	1
55	но и	12	1
56	впадает в	2	1
57	мы видим	8	1
58	к тому	8	1
59	анализа и	1	1
60	тому что	7	1
61	теми или	1	1
62	системы исследования	1	1
63	как искусство	1	1
64	в то	8	1
65	из этих	6	1
66	категорий и	1	1
67	и больше	2	1
68	он в	2	1
69	же время	2	1
70	то же	17	1
71	при анализе	3	1
72	а не	18	1
73	бы в	3	1
74	нет и	1	1
75	искусство как	13	1
76	и должно	1	1
77	в системе	1	1
78	и не	24	1
79	на нее	1	1
80	и все	8	1
81	и на	6	1
82	этих методов	1	1
