N	3gram	Potebnia_M	VelikijI
1	все что есть	1	3
2	к тому что	2	3
3	то что мы	2	3
4	и т д	6	2
5	в том что	18	2
6	а между тем	5	2
7	но и в	4	2
8	том что он	1	2
9	то что я	1	2
10	так и в	5	1
11	во что бы	1	1
12	что бы то	1	1
13	нашего времени с	1	1
14	оно не имеет	2	1
15	и в жизни	3	1
16	законы по которым	1	1
17	т д и	1	1
18	в этих словах	1	1
19	его если не	1	1
20	вместе с тем	1	1
21	его связь с	1	1
22	потому что оно	1	1
23	по сравнению с	1	1
24	как и в	3	1
25	и то и	2	1
26	что истина не	1	1
27	и что в	3	1
28	в одно целое	1	1
29	по крайней мере	6	1
30	в человеке и	2	1
31	д и т	1	1
32	не могут быть	5	1
33	то и другое	6	1
34	не могут и	1	1
35	есть одна из	1	1
36	но все же	2	1
37	с другой стороны	7	1
38	и все это	1	1
39	бы то ни	2	1
40	после того как	3	1
41	даже что в	1	1
42	которые не могли	1	1
43	тому что все	1	1
44	и в этом	7	1
45	то ни стало	1	1
