N	2gram	Ircho_Kome	Psycholo
1	то что	5	193
2	и в	37	190
3	в том	24	163
4	что в	11	123
5	потому что	19	114
6	том что	22	113
7	и что	8	108
8	может быть	14	107
9	таким образом	16	102
10	в этом	18	100
11	все время	3	86
12	в самом	17	82
13	как бы	7	80
14	для того	9	78
15	того чтобы	9	78
16	что он	15	76
17	не только	13	75
18	на то	3	73
19	и не	28	73
20	что она	10	71
21	самом деле	13	70
22	точки зрения	8	69
23	и т	5	69
24	не может	9	68
25	если мы	2	66
26	так же	8	63
27	так как	16	63
28	было бы	7	56
29	если бы	18	55
30	то же	14	54
31	о том	21	54
32	и мы	5	54
33	при этом	11	52
34	как и	10	51
35	что и	12	50
36	а не	5	50
37	сказать что	4	46
38	по себе	1	46
39	только в	3	46
40	в сущности	3	46
41	к тому	11	45
42	не в	7	45
43	ясно что	12	43
44	в этой	7	43
45	никогда не	5	42
46	и все	6	42
47	вместе с	16	41
48	как это	5	40
49	но и	18	40
50	как раз	9	39
51	при помощи	1	39
52	того что	1	39
53	же самое	3	38
54	т п	5	38
55	и это	4	37
56	мы видим	2	37
57	и как	3	36
58	с тем	6	35
59	вовсе не	6	34
60	как на	1	34
61	и если	3	34
62	и его	10	34
63	тому что	5	33
64	все же	9	33
65	что все	1	33
66	когда он	5	33
67	же точно	1	32
68	в себе	4	32
69	все это	7	32
70	он не	11	31
71	мы не	6	31
72	в его	12	31
73	для нас	7	31
74	в ней	7	31
75	мы увидим	1	30
76	как будто	3	30
77	никак не	2	30
78	как в	4	30
79	с одной	5	29
80	и для	7	29
81	одной стороны	4	29
82	с точки	6	29
83	в нем	8	29
84	увидим что	1	28
85	что они	3	28
86	и когда	2	28
87	мы можем	7	28
88	что мы	4	28
89	в своих	4	27
90	в основе	3	27
91	на деле	1	27
92	и на	6	27
93	а в	12	27
94	с другой	5	27
95	все то	1	27
96	в трагедии	1	26
97	так что	7	26
98	совершенно не	2	26
99	только что	11	25
100	и здесь	11	25
101	жизни и	1	25
102	до сих	12	24
103	с таким	1	24
104	до конца	4	24
105	тем что	12	24
106	указывает на	1	24
107	и совершенно	1	24
108	в целом	4	24
109	в своем	9	23
110	сих пор	12	23
111	из этого	2	23
112	один из	6	23
113	целый ряд	5	23
114	для этого	3	23
115	могут быть	3	23
116	с этим	5	22
117	из них	11	22
118	что у	2	22
119	между тем	6	22
120	и даже	6	22
121	т д	1	22
122	как она	2	22
123	в котором	6	21
124	том чтобы	4	21
125	в двух	7	21
126	в которых	7	21
127	той же	2	21
128	в своей	6	21
129	ни в	14	21
130	в конце	14	21
131	что эта	2	21
132	но только	1	21
133	как мы	6	21
134	и вот	3	21
135	и только	1	21
136	другой стороны	2	20
137	в то	14	20
138	тот же	11	20
139	мы имеем	4	20
140	она не	3	20
141	дело с	4	20
142	несмотря на	7	20
143	на этом	3	20
144	это не	3	20
145	все эти	1	20
146	в одном	3	19
147	что при	1	19
148	мы уже	1	19
149	в какой	4	19
150	мы должны	1	19
151	в ее	3	19
152	у него	10	19
153	он говорит	3	19
154	с этой	5	18
155	в которой	6	18
156	можно было	3	18
157	но в	7	18
158	зависимости от	1	18
159	в каком	1	18
160	вслед за	1	18
161	что с	4	18
162	но не	9	18
163	действующих лиц	7	18
164	и есть	3	18
165	был бы	4	18
166	перед нами	1	18
167	в виду	3	17
168	во всяком	3	17
169	время как	3	17
170	что для	7	17
171	из этих	2	17
172	только не	1	17
173	у нас	1	17
174	и о	3	17
175	и к	4	16
176	из которых	7	16
177	к этому	11	16
178	сводится к	1	16
179	обратиться к	1	16
180	говорит о	2	16
181	то это	5	16
182	самого начала	5	16
183	с самого	5	16
184	в таком	2	16
185	же как	1	16
186	и тем	4	16
187	не имеет	6	16
188	формы и	1	16
189	так и	4	16
190	тому как	1	16
191	от того	2	16
192	в результате	2	15
193	в них	6	15
194	только на	1	15
195	во всех	4	15
196	мы знаем	2	15
197	могли бы	1	15
198	не могут	2	15
199	и так	1	15
200	о котором	1	15
201	на примере	2	15
202	и потому	2	15
203	в зависимости	1	15
204	не просто	1	15
205	далеко не	3	15
206	еще не	10	15
207	для него	1	15
208	в частности	4	15
209	не можем	1	15
210	хотя бы	5	14
211	но он	3	14
212	очевидно что	1	14
213	главным образом	2	14
214	то время	3	14
215	это только	1	14
216	того как	5	14
217	прежде всего	7	14
218	такой же	2	14
219	что на	1	14
220	те же	1	14
221	в жизни	1	14
222	при таком	1	14
223	этих двух	2	14
224	бы в	5	14
225	столь же	5	14
226	показывает что	1	14
227	должна быть	2	14
228	всяком случае	3	14
229	этом отношении	2	14
230	с той	1	14
231	или в	1	14
232	по существу	4	14
233	в области	3	14
234	с ним	10	14
235	а с	2	13
236	могла бы	1	13
237	отнюдь не	5	13
238	этот вопрос	2	13
239	знаем что	1	13
240	в той	2	13
241	речь идет	5	13
242	едва ли	16	13
243	и он	5	13
244	как он	5	13
245	должен был	6	13
246	со стороны	16	13
247	и другие	1	12
248	в этих	2	12
249	их в	3	12
250	не менее	9	12
251	может служить	2	12
252	в основу	1	12
253	того же	9	12
254	в конечном	2	12
255	я не	4	12
256	в самой	1	12
257	в свою	12	12
258	и уже	1	12
259	состоит в	2	12
260	но если	3	12
261	и может	2	12
262	идет о	3	12
263	это в	2	12
264	конце концов	3	12
265	и с	5	12
266	например в	3	12
267	что по	2	12
268	как только	2	12
269	что этот	1	12
270	что его	10	12
271	что не	5	12
272	этой точки	1	12
273	и до	2	12
274	действия и	2	12
275	ничего не	6	12
276	об этом	12	12
277	что эти	1	12
278	в нашей	1	12
279	конечном счете	3	11
280	конечно не	4	11
281	не было	6	11
282	не будет	2	11
283	мы видели	1	11
284	была бы	2	11
285	подобно тому	1	11
286	сравнению с	3	11
287	оба эти	1	11
288	по сравнению	3	11
289	и поэтому	5	11
290	но мы	1	11
291	на этот	6	11
292	как к	3	11
293	уже в	3	11
294	раз в	3	11
295	и других	1	11
296	отличие от	5	11
297	он должен	1	11
298	исходя из	2	11
299	по поводу	1	11
300	его в	9	11
301	ли это	1	11
302	образом и	2	11
303	и из	1	11
304	с его	6	11
305	думать что	1	11
306	на это	3	11
307	но совершенно	1	11
308	во всем	2	10
309	в другом	2	10
310	трагедии и	2	10
311	в тех	4	10
312	не так	4	10
313	том и	1	10
314	в их	5	10
315	что ни	7	10
316	в одной	2	10
317	от него	2	10
318	в состоянии	1	10
319	по мнению	2	10
320	тому же	11	10
321	и у	4	10
322	но как	1	10
323	и от	3	10
324	представить себе	2	10
325	мы в	3	10
326	здесь мы	1	10
327	не является	5	10
328	тому чтобы	1	10
329	это было	1	10
330	и между	1	10
331	и их	1	10
332	мы найдем	3	9
333	в действительности	1	9
334	вопрос о	2	9
335	образом что	1	9
336	на него	6	9
337	что даже	1	9
338	в чем	7	9
339	под влиянием	2	9
340	и та	1	9
341	мы будем	1	9
342	это совершенно	1	9
343	в него	1	9
344	бы не	3	9
345	его и	3	9
346	из его	3	9
347	на основании	3	9
348	в отличие	3	9
349	ответ на	7	9
350	по своему	3	9
351	по его	2	9
352	на его	5	9
353	и по	3	9
354	в самых	1	9
355	тем самым	1	9
356	и ее	3	9
357	которые не	1	9
358	о чем	11	9
359	точно так	1	9
360	но все	5	9
361	мысль о	1	9
362	роль в	3	9
363	можно сказать	1	9
364	мысль что	1	9
365	если же	2	9
366	в силу	2	9
367	каждого из	3	9
368	по этому	3	9
369	и дальше	2	9
370	должен быть	2	9
371	с совершенно	1	9
372	именно это	1	9
373	и наконец	1	9
374	не к	1	9
375	из двух	3	8
376	со всей	1	8
377	себе и	1	8
378	чтобы показать	1	8
379	то чтобы	1	8
380	на сцене	7	8
381	в сознании	1	8
382	будто бы	1	8
383	и тот	6	8
384	уже из	1	8
385	что же	2	8
386	он в	2	8
387	тем же	3	8
388	заставляет его	1	8
389	такое же	2	8
390	о нем	1	8
391	в такой	1	8
392	бы совершенно	1	8
393	и таким	1	8
394	как все	1	8
395	этому поводу	1	8
396	место в	1	8
397	и эта	2	8
398	которой мы	2	8
399	из всех	3	8
400	представление о	2	8
401	в собственном	1	8
402	меньше всего	5	8
403	больше чем	4	8
404	с другом	3	8
405	наряду с	4	8
406	из того	3	8
407	чтобы понять	1	8
408	друг с	3	8
409	именно потому	2	8
410	в нее	1	8
411	во время	8	8
412	к нему	8	8
413	и более	1	8
414	относится к	1	8
415	том как	5	8
416	и во	3	8
417	бы и	1	8
418	жизнь и	1	8
419	стороны и	4	8
420	еще раз	1	7
421	не как	2	7
422	на которых	1	7
423	и там	3	7
424	к самому	1	7
425	от этого	1	7
426	представляет собой	5	7
427	и те	1	7
428	рассказывает о	2	7
429	свою очередь	10	7
430	ни одного	1	7
431	согласии с	2	7
432	связи с	5	7
433	в каждом	3	7
434	что только	1	7
435	принадлежат к	2	7
436	и при	1	7
437	себе не	2	7
438	со всеми	2	7
439	они не	2	7
440	в течение	3	7
441	только один	2	7
442	к ним	5	7
443	действующие лица	1	7
444	но при	2	7
445	к которой	1	7
446	же в	3	7
447	все что	6	7
448	к этой	2	7
449	и другую	1	7
450	нас в	1	7
451	одно из	3	7
452	если он	3	7
453	когда в	1	7
454	в руках	3	7
455	приходит к	2	7
456	в глаза	3	7
457	в нашем	1	7
458	от себя	2	7
459	о ней	2	7
460	в качестве	4	7
461	к жизни	1	7
462	видит в	1	7
463	какой мере	2	7
464	бы его	1	7
465	и почему	3	7
466	с которым	3	7
467	а как	2	7
468	за ним	3	7
469	его мнению	2	7
470	если это	1	7
471	и действительно	1	7
472	себя и	2	7
473	этого материала	1	7
474	признать что	5	7
475	ее с	1	7
476	времени и	2	7
477	что здесь	2	7
478	ее не	1	7
479	различие между	1	7
480	здесь в	2	7
481	а на	3	7
482	отказаться от	3	7
483	дело в	1	7
484	на тему	1	7
485	для нашей	1	7
486	до тех	5	7
487	даже в	3	6
488	более или	2	6
489	вот что	1	6
490	каким образом	1	6
491	из самых	2	6
492	либо в	4	6
493	он был	6	6
494	пор пока	1	6
495	только как	2	6
496	что вся	1	6
497	людей и	2	6
498	и зритель	1	6
499	что как	1	6
500	к этим	1	6
501	после этого	2	6
502	рядом с	1	6
503	в сторону	1	6
504	не могла	3	6
505	она была	2	6
506	образом в	2	6
507	одного и	1	6
508	смысле слова	1	6
509	таким путем	2	6
510	в отношении	4	6
511	к его	4	6
512	никто не	2	6
513	приводит к	4	6
514	да и	3	6
515	в стихах	1	6
516	у меня	5	6
517	тех пор	5	6
518	для нее	1	6
519	каждой из	4	6
520	и вся	1	6
521	каждый из	1	6
522	только с	1	6
523	находятся в	1	6
524	ее на	2	6
525	нуждается в	2	6
526	то мы	2	6
527	в русском	1	6
528	материал для	2	6
529	показывают что	1	6
530	от всех	1	6
531	сама по	1	6
532	один и	3	6
533	и без	2	6
534	впечатление от	1	6
535	как ни	1	6
536	мы узнаем	1	6
537	к ней	9	6
538	которые в	1	6
539	этот рассказ	1	6
540	слова и	1	6
541	больше того	2	6
542	еще более	4	6
543	иначе как	2	6
544	почти все	1	6
545	говорить о	6	6
546	или менее	2	6
547	для понимания	3	6
548	второй план	1	6
549	тем не	3	6
550	х годов	2	6
551	в себя	1	6
552	не дает	5	6
553	за пределы	3	6
554	о его	4	6
555	независимо от	4	6
556	почему он	1	6
557	его с	1	6
558	нас от	1	6
559	как не	2	6
560	то и	1	6
561	совпадают с	4	6
562	без всякого	2	6
563	что я	5	6
564	это мнение	1	6
565	ничем не	4	6
566	эту мысль	1	6
567	о ее	1	6
568	нисколько не	3	6
569	она должна	2	6
570	что касается	5	6
571	или его	2	6
572	отношение к	7	6
573	только после	3	6
574	начинает с	2	6
575	в душе	1	5
576	тем как	2	5
577	а затем	4	5
578	между ними	4	5
579	и сам	11	5
580	им в	1	5
581	за ней	2	5
582	нам не	1	5
583	в смысле	2	5
584	и еще	4	5
585	но так	1	5
586	бы то	3	5
587	чем в	5	5
588	с двумя	1	5
589	становится совершенно	1	5
590	следует понимать	1	5
591	между собой	5	5
592	в эту	1	5
593	в лучшем	2	5
594	эти слова	1	5
595	чтобы он	1	5
596	и является	1	5
597	точку зрения	1	5
598	его к	1	5
599	если в	4	5
600	которые он	1	5
601	он только	1	5
602	в другой	5	5
603	вместо того	1	5
604	понять почему	1	5
605	отношения к	2	5
606	нет ни	2	5
607	на вопрос	5	5
608	быть не	1	5
609	он является	1	5
610	и теперь	2	5
611	не понимает	1	5
612	ни одной	2	5
613	нет и	4	5
614	указывают на	1	5
615	у них	1	5
616	этими словами	1	5
617	что ему	4	5
618	и всегда	1	5
619	все равно	3	5
620	однако не	1	5
621	том виде	1	5
622	на одном	1	5
623	в каждой	2	5
624	бы это	1	5
625	к одному	1	5
626	не следует	2	5
627	человека и	2	5
628	бы по	2	5
629	все больше	1	5
630	в сборнике	1	5
631	по тому	4	5
632	разговора с	1	5
633	только для	2	5
634	но даже	1	5
635	так мы	1	5
636	что тот	2	5
637	не мог	2	5
638	то в	1	5
639	но еще	2	5
640	хотя и	6	5
641	не знает	7	5
642	и она	1	5
643	в других	4	5
644	именно как	1	5
645	для ее	1	5
646	это делает	2	5
647	есть все	1	5
648	в один	1	5
649	себя в	3	5
650	собственном смысле	1	5
651	уяснить себе	1	5
652	представляют собой	3	5
653	эти события	1	5
654	она и	2	5
655	знает что	2	5
656	я говорю	2	5
657	он хочет	1	5
658	нет никакой	1	5
