1	и с	2	3
2	он не	8	2
3	должен быть	5	2
4	в этом	7	2
5	что в	9	2
6	и не	11	2
7	оба они	1	2
8	в них	4	1
9	в эту	1	1
10	и еще	1	1
11	а по	1	1
12	а в	2	1
13	и в	16	1
14	все это	5	1
15	никогда не	6	1
16	и очень	1	1
17	от этого	1	1
18	так и	2	1
19	это было	3	1
20	я не	2	1
21	того же	1	1
22	того чтобы	2	1
23	от нее	1	1
24	говорить о	1	1
25	а также	1	1
26	тем что	1	1
27	и творчества	2	1
28	человеке и	1	1
29	для того	1	1
30	все эти	2	1
31	другой стороны	2	1
32	только для	1	1
33	по существу	2	1
34	в значительной	1	1
35	во многом	1	1
36	в основе	3	1
37	есть только	1	1
38	себя в	2	1
39	них не	1	1
40	с другой	3	1
41	не случайно	1	1
42	жизни и	8	1
