N	3gram	Bakhtin_Fr	NovoeSre
1	со всех сторон	2	3
2	в средние века	9	3
3	в том и	1	2
4	в этом смысле	1	2
5	что в нем	1	2
6	с одной стороны	3	2
7	с другой стороны	2	2
8	все эти формы	1	2
9	никогда не было	1	2
10	того же процесса	1	1
11	в том что	4	1
12	xiv и xv	1	1
13	имя свое и	1	1
14	до сих пор	3	1
15	хотя и в	2	1
16	средние века были	1	1
17	античного мира и	1	1
18	в эту эпоху	1	1
19	и в истории	1	1
20	нового времени он	2	1
21	глубину в недра	1	1
22	по своей природе	1	1
23	и в ней	1	1
24	человека и в	1	1
25	нового времени в	1	1
26	том числе и	2	1
27	можно было бы	2	1
28	то что он	1	1
29	не только в	1	1
30	в другие времена	1	1
31	но и в	2	1
32	в эпоху ренессанса	4	1
33	в большинстве случаев	9	1
34	между небом и	1	1
35	в значительной степени	3	1
36	как это было	1	1
37	есть прежде всего	1	1
38	жизни все это	1	1
39	в самом себе	1	1
40	о том что	4	1
41	и до сих	1	1
42	что в этом	1	1
43	и того же	1	1
44	и не могут	1	1
45	выходит за пределы	1	1
46	сферы культуры и	1	1
47	это связано с	1	1
48	истории как и	1	1
49	в новое время	1	1
50	было бы сказать	1	1
51	как и в	2	1
52	то что в	2	1
53	от этого мира	1	1
54	и не в	1	1
55	начало новой эпохи	1	1
56	во всяком случае	1	1
57	та или иная	1	1
58	в том числе	4	1
59	конечно не в	2	1
60	это не есть	1	1
61	еще не было	1	1
62	себе и в	1	1
63	в глубину в	1	1
64	не в силах	1	1
65	и через них	1	1
66	в то время	1	1
67	не должно быть	2	1
68	это и есть	1	1
69	о том чтобы	1	1
70	и все они	2	1
71	одного и того	1	1
