N	2gram	Voloshinov	Mirosoze
1	и в	3	97
2	может быть	1	64
3	не только	1	63
4	но и	1	54
5	а не	1	53
6	не может	4	49
7	и не	1	39
8	в ней	1	37
9	для него	1	31
10	и все	1	24
11	достоевского и	2	21
12	в его	1	18
13	и на	1	13
14	то же	1	10
15	один из	2	10
16	к тому	1	9
17	нет и	1	8
18	точки зрения	1	7
19	он в	1	7
20	русской литературы	1	6
21	если бы	1	6
22	бы в	1	5
23	в то	1	5
24	в центре	2	4
25	мы видим	1	4
26	в каждом	1	4
27	и можно	1	4
28	тому что	1	4
29	может не	1	4
30	можно и	1	3
31	и должно	1	3
32	ничего кроме	1	3
33	его от	1	2
34	не менее	1	2
35	если в	2	2
36	связи с	1	2
37	смысл и	1	2
38	ни один	1	2
39	первых своих	1	1
40	по своим	1	1
41	и истории	1	1
42	в иную	1	1
43	с точки	1	1
44	в системе	1	1
45	ней ничего	1	1
46	на месте	1	1
47	можно назвать	1	1
48	подхода к	1	1
49	влияния на	1	1
50	и социальной	1	1
51	на примере	1	1
52	же время	1	1
53	себя от	1	1
54	несмотря на	1	1
55	науку о	1	1
56	лучше всего	1	1
57	культурной истории	1	1
58	не из	1	1
59	форм нет	1	1
60	бы на	1	1
61	на нее	1	1
62	приведут к	1	1
63	права и	1	1
64	во второй	1	1
65	тех же	1	1
