N	2gram	Vygotskiy_	Freidism
1	таким образом	38	34
2	и не	24	34
3	точки зрения	32	31
4	не может	30	30
5	и пр	1	29
6	в этом	21	28
7	может быть	35	28
8	и в	55	28
9	прежде всего	5	26
10	в его	8	25
11	и его	14	22
12	с помощью	1	20
13	мы можем	6	20
14	как бы	11	19
15	как мы	2	18
16	то что	47	17
17	вовсе не	7	16
18	с точки	12	15
19	точка зрения	6	15
20	жизни человека	1	15
21	все эти	7	15
22	так как	28	15
23	с ним	2	14
24	в своей	6	14
25	так и	6	14
26	самом деле	19	14
27	и все	8	13
28	как и	25	13
29	к матери	1	13
30	но в	5	13
31	фрейд и	1	13
32	во всех	4	13
33	в самом	18	12
34	то же	17	12
35	ни в	9	12
36	что он	17	12
37	том что	30	12
38	точку зрения	3	12
39	для него	1	12
40	все это	11	12
41	и потому	2	12
42	и наконец	2	12
43	мы видели	2	12
44	только в	18	11
45	мы знаем	8	11
46	сказать что	12	11
47	его в	3	11
48	все что	4	10
49	один из	6	10
50	не только	25	10
51	и с	5	10
52	но и	12	10
53	конечно не	2	10
54	что же	4	10
55	тот же	8	10
56	никогда не	13	10
57	в том	55	10
58	в сознание	2	10
59	он не	8	10
60	все те	1	10
61	за пределы	2	10
62	не в	19	10
63	и на	6	9
64	те же	9	9
65	уже не	3	9
66	во всяком	9	9
67	совершенно не	7	9
68	мы не	15	9
69	с его	3	9
70	к этому	5	9
71	к нему	3	9
72	в чем	5	9
73	а не	18	9
74	мы должны	4	9
75	и др	1	9
76	могут быть	15	9
77	при этом	28	8
78	все же	9	8
79	еще не	2	8
80	с этим	7	8
81	было бы	14	8
82	и вот	5	8
83	сам фрейд	1	8
84	знаем что	4	8
85	а в	10	8
86	по мнению	2	8
87	с другими	2	8
88	с бессознательным	2	8
89	на этом	3	8
90	в ней	3	8
91	душевной жизни	2	8
92	всяком случае	7	8
93	что в	39	7
94	и к	5	7
95	не могут	6	7
96	в жизни	5	7
97	роль в	4	7
98	его жизни	3	7
99	хотя бы	4	7
100	в каком	3	7
101	если мы	21	7
102	до конца	9	7
103	что все	10	7
104	и для	9	7
105	из них	4	7
106	того что	15	7
107	не является	5	7
108	но не	5	7
109	об этом	3	7
110	и у	6	7
