N	3gram	Savitsky_E	NovoeSre
1	не может быть	2	4
2	войны и революции	2	2
3	так же как	5	2
4	в этом смысле	3	2
5	с одной стороны	8	2
6	с другой стороны	2	2
7	в том что	6	1
8	в том случае	1	1
9	в эту эпоху	1	1
10	в последние годы	3	1
11	что в силу	1	1
12	культура древнего египта	1	1
13	том числе и	1	1
14	можно было бы	3	1
15	не только в	4	1
16	помнить что в	1	1
17	но и в	1	1
18	в большинстве случаев	2	1
19	власти и в	1	1
20	не может остаться	1	1
21	не быть в	1	1
22	в том смысле	1	1
23	в отличие от	1	1
24	в значительной степени	1	1
25	же как и	3	1
26	что в этом	1	1
27	и того же	1	1
28	не могут быть	1	1
29	выходит за пределы	1	1
30	заключает в себе	3	1
31	нужно помнить что	1	1
32	хозяйственной жизни в	1	1
33	то что в	2	1
34	и не в	1	1
35	том случае если	1	1
36	во всяком случае	3	1
37	процессы направленные к	1	1
38	та или иная	1	1
39	в том числе	1	1
40	это значит что	1	1
41	в своем развитии	1	1
42	а не к	1	1
43	и германии во	1	1
44	и для того	1	1
45	в то время	1	1
46	то время как	1	1
47	в известном смысле	3	1
48	культуры в ее	1	1
49	одного и того	1	1
50	не будет уже	1	1
