N	4gram	Vinokur_St	DiskursI
1	в то же время	5	8
2	дело в том что	7	5
3	в том что в	3	3
4	не говоря уже о	2	3
5	в том числе и	2	3
6	одно и то же	1	3
7	той мере в какой	2	2
8	мысль о том что	1	2
9	в той мере в	2	2
10	и в то же	1	2
11	одних и тех же	1	2
12	бы то ни было	1	2
13	одним и тем же	2	2
14	но столь же несомненно	1	1
15	именно в том что	1	1
16	и в этом случае	2	1
17	одни и те же	1	1
18	и в том и	1	1
19	в том что и	1	1
20	в одной из двух	1	1
21	в той или иной	1	1
22	только в том случае	1	1
23	иметь в виду что	1	1
24	о том что так	1	1
25	внимание на то что	1	1
26	что он не может	1	1
27	можно даже сказать что	1	1
28	говорит о том что	3	1
29	следует обратить внимание на	1	1
30	долгом по отношению к	1	1
31	только в том что	1	1
32	не только в том	1	1
33	том что он не	2	1
34	заключается в том что	3	1
35	столь же несомненно и	1	1
36	в том что он	3	1
37	мы имеем дело с	1	1
38	свидетельствует о том что	1	1
39	не может быть признана	1	1
40	по тем или иным	1	1
