N	2gram	Bakhtin_KF	KulturaY
1	и в	28	84
2	в том	6	74
3	потому что	2	68
4	не только	5	60
5	точки зрения	13	59
6	в этом	15	57
7	было бы	8	53
8	и не	28	52
9	может быть	45	47
10	что в	4	44
11	том что	4	44
12	того чтобы	2	44
13	в самом	1	41
14	для того	3	41
15	хотя бы	5	37
16	самом деле	3	37
17	так как	1	36
18	с точки	10	36
19	в области	2	34
20	а не	17	33
21	если бы	8	32
22	не в	13	30
23	и пр	3	30
24	в его	42	30
25	прежде всего	4	30
26	все же	5	29
27	не менее	3	28
28	того что	3	28
29	все эти	11	28
30	уже не	7	26
31	то что	7	25
32	вовсе не	7	25
33	не может	29	25
34	вопрос о	2	24
35	еще не	5	24
36	то же	5	23
37	только в	18	23
38	так и	2	23
39	тем не	2	21
40	по себе	2	20
41	во всяком	1	20
42	но и	9	20
43	тем что	3	19
44	о том	3	19
45	что он	2	19
46	зависимости от	1	19
47	всяком случае	1	19
48	но в	5	19
49	и с	1	18
50	с тем	2	18
51	к тому	1	18
52	в качестве	2	18
53	между тем	4	18
54	вместе с	1	18
55	как бы	9	18
56	все это	10	18
57	можно говорить	1	17
58	как это	1	17
59	что это	4	17
60	слова и	1	17
61	как раз	1	17
62	это не	10	17
63	в виду	3	16
64	в зависимости	1	16
65	что и	7	16
66	что не	3	16
67	тот же	3	16
68	ничего не	3	16
69	но не	12	16
70	при этом	4	15
71	именно в	5	15
72	в данном	2	15
73	в нашем	1	15
74	не было	8	15
75	и тем	3	15
76	один из	2	15
77	по отношению	26	15
78	ни к	2	15
79	а в	5	15
80	лишь в	8	15
81	должно быть	6	15
82	и на	3	14
83	хотя и	1	14
84	я не	6	14
85	сих пор	1	14
86	в ней	3	14
87	до сих	1	14
88	если мы	1	14
89	как мы	1	14
90	мы имеем	5	14
91	также и	1	14
92	отношению к	22	14
93	что она	1	13
94	между прочим	1	13
95	в этой	2	13
96	там где	5	13
97	не случайно	1	13
98	той же	1	13
99	для нас	4	13
100	это и	3	13
101	и его	18	13
102	говорить о	2	12
103	в результате	1	12
104	того же	1	12
105	ясно что	3	12
106	а только	1	12
107	могут быть	3	12
108	тогда когда	3	12
109	как в	2	12
110	этого слова	2	12
111	для этого	2	12
112	должен быть	7	11
113	в своем	17	11
114	он не	6	11
115	в нем	32	11
116	и здесь	7	11
117	должна быть	4	11
118	и то	2	11
119	что язык	1	11
120	совершенно не	7	11
121	слова в	2	11
122	в их	9	11
123	в какой	1	11
124	или иной	2	11
125	в первом	1	10
126	как и	5	10
127	конечно не	7	10
128	к этому	2	10
129	несмотря на	1	10
130	ту же	1	10
131	этом смысле	3	10
132	не просто	1	10
133	в то	3	10
134	со стороны	8	10
135	в каком	4	10
136	с этим	1	10
137	они не	1	10
138	бы и	3	10
139	того или	3	10
140	тем самым	4	10
141	от того	3	10
142	в своей	11	9
143	можно сказать	1	9
144	что все	1	9
145	в которой	1	9
146	но для	3	9
147	рядом с	3	9
148	здесь не	3	9
149	мы говорим	2	9
150	и есть	10	9
151	или иного	3	9
152	ни в	12	9
153	не имеет	6	9
154	что мы	1	9
155	не потому	2	9
156	но это	6	9
157	и для	10	9
158	но уже	1	9
159	на то	1	9
160	в целом	10	9
161	в этих	1	8
162	но все	6	8
163	может служить	1	8
164	это слово	1	8
165	тому что	2	8
166	не есть	22	8
167	в чем	4	8
168	смысл и	6	8
169	в своих	4	8
170	отнюдь не	7	8
171	был бы	3	8
172	только тогда	1	8
173	что я	5	8
174	с его	2	8
175	независимо от	3	8
176	на самом	3	8
177	и как	2	8
178	об этом	1	8
179	и о	1	8
180	же в	1	8
181	само по	1	8
182	же и	1	7
183	следует что	1	7
184	а именно	1	7
185	в котором	24	7
186	в одном	5	7
187	свою очередь	1	7
188	была бы	1	7
189	на том	1	7
190	то только	1	7
191	а с	2	7
192	не значит	6	7
193	столь же	1	7
194	в процессе	2	7
195	и должно	1	7
196	с ним	5	7
197	сводится к	2	7
198	есть лишь	5	7
199	как о	1	7
200	с ними	4	7
201	когда мы	1	7
202	в свою	3	7
203	в истории	1	7
204	до конца	3	7
205	все равно	1	7
206	смысле этого	1	7
207	лишь с	2	7
208	нисколько не	4	7
209	и потому	2	7
210	том случае	1	7
211	она не	2	7
212	не знает	5	7
213	когда он	1	7
214	только как	4	7
215	не следует	2	7
216	были бы	2	6
217	только что	1	6
218	в корне	3	6
219	в соответствии	2	6
220	только для	1	6
221	отличается от	1	6
222	можно ли	2	6
223	вообще и	1	6
224	что именно	1	6
225	по поводу	1	6
226	гораздо более	2	6
227	на язык	3	6
228	в ее	17	6
