N	4gram	Bakhtin_Pr	Marksizm
1	в то же время	8	15
2	но в то же	3	9
3	на самом же деле	2	5
4	и не может быть	5	5
5	так как если бы	1	4
6	все более и более	1	3
7	одной и той же	1	3
8	в смысле совокупности всех	2	3
9	один и тот же	1	3
10	с точки зрения своего	2	3
11	в том числе и	13	3
12	одно и то же	1	3
13	в той или иной	1	3
14	одним и тем же	1	3
15	с нашей точки зрения	1	2
16	и тем же языком	1	2
17	в таком случае это	1	2
18	нет и не может	3	2
19	в собственном смысле слова	1	2
20	но тем не менее	1	1
21	не может обойтись без	1	1
22	никогда не может быть	1	1
23	не что иное как	1	1
24	к себе самому и	1	1
25	с точки зрения этого	1	1
26	мы не будем останавливаться	1	1
27	и неотделим от него	1	1
28	как мы уже сказали	2	1
29	той или иной форме	1	1
30	в более или менее	1	1
31	мы можем сказать что	1	1
32	не с точки зрения	1	1
33	и появляется впервые в	1	1
34	же время все эти	1	1
35	дело в том что	2	1
36	в большей или меньшей	5	1
37	мы уже говорили что	1	1
38	говорят одним и тем	1	1
39	и он сам и	1	1
40	с точки зрения своей	1	1
41	по отношению к ним	1	1
42	нам кажется что в	1	1
43	следует сказать что и	1	1
44	а может быть и	1	1
45	не чем иным как	1	1
46	со всеми ее внутренними	1	1
47	мы остановимся на анализе	1	1
48	а через нее и	1	1
49	как бы он ни	1	1
50	первого и второго периода	1	1
51	или во всяком случае	1	1
52	друг с другом как	1	1
53	позиции по отношению к	1	1
54	нам уже приходилось говорить	1	1
55	по отношению к нему	1	1
56	и т.п все эти	1	1
57	дистанцию по отношению к	1	1
58	с другой стороны и	1	1
59	то же время все	1	1
60	установка по отношению к	1	1
61	проявляется прежде всего в	1	1
62	можно сказать что не	1	1
63	ничего общего не имеет	1	1
64	и с точки зрения	1	1
65	одну и ту же	1	1
66	как раз и не	1	1
67	в большинстве случаев мы	1	1
68	рядом друг с другом	1	1
69	ни на один миг	1	1
70	наметить лишь основные линии	1	1
71	мы можем прямо сказать	1	1
72	в том что все	1	1
73	и тот и другой	1	1
74	мы не будем здесь	1	1
75	самом же деле это	1	1
76	сама по себе лишена	1	1
