N	3gram	Propp_Russ	Myshleni
1	в том что	27	133
2	с точки зрения	3	89
3	для того чтобы	6	78
4	по отношению к	1	42
5	так же как	5	39
6	с одной стороны	1	39
7	друг с другом	1	35
8	в этом отношении	1	30
9	можно было бы	2	28
10	в этом случае	9	27
11	в собственном смысле	1	26
12	вместе с тем	10	26
13	на то что	2	25
14	о том что	6	25
15	не может быть	1	23
16	в то время	3	22
17	к тому что	4	22
18	можно сказать что	1	21
19	то время как	1	20
20	из того что	1	19
21	в отличие от	4	18
22	состоит в том	16	18
23	во всяком случае	1	18
24	и того же	1	17
25	как мы видели	1	17
26	в связи с	4	17
27	одного и того	1	17
28	же как и	3	17
29	в данном случае	7	15
30	на этот вопрос	1	14
31	в первую очередь	1	14
32	потому что он	2	14
33	мы видели что	1	14
34	в свою очередь	2	14
35	к выводу что	3	14
36	подобно тому как	3	14
37	точно так же	1	13
38	в другом месте	1	13
39	в том чтобы	2	12
40	тем не менее	3	12
41	как мы уже	2	11
42	мы не можем	5	11
43	в такой же	1	11
44	том что в	7	11
45	только тогда когда	3	11
46	те и другие	1	11
47	то что в	1	10
48	но вместе с	3	10
49	как и в	1	9
50	приводит нас к	3	9
51	с тем что	1	9
52	более или менее	1	9
53	на самом деле	1	9
54	друг к другу	2	9
55	что в основе	1	8
56	независимо от того	1	8
57	в том же	1	8
58	что и в	1	8
59	с таким же	2	8
60	по этому поводу	3	7
61	вопрос о том	1	7
62	с тем и	3	7
63	приводит к тому	1	7
64	ничего общего с	1	6
65	в этом и	1	6
66	и таким образом	1	6
67	в животном мире	1	6
68	потому что в	1	6
69	и том же	1	6
70	одном и том	1	6
71	не что иное	3	6
72	что иное как	3	6
73	и как бы	1	5
74	приходит к выводу	1	5
75	так как это	2	5
76	что в этом	2	5
77	но все же	2	5
78	так как в	2	5
79	если верно что	1	5
80	том что они	1	5
81	как мы увидим	5	5
82	между собой и	1	5
83	не может не	1	5
84	так как он	1	5
85	и в этом	2	5
86	только потому что	1	5
87	не только в	1	5
88	мы видим что	1	4
89	может рассматриваться как	1	4
90	приводят нас к	2	4
91	одни и те	1	4
92	мы должны будем	2	4
93	в какой степени	3	4
94	не потому что	1	4
95	по аналогии с	1	4
96	но так как	1	4
97	в тех случаях	2	4
98	но и в	1	4
99	в себе и	1	4
100	таким образом в	1	4
101	в настоящей работе	1	4
102	тем и другим	1	4
103	так что в	1	4
104	сомнений в том	1	4
105	прямо и непосредственно	1	4
106	в этой теории	1	4
107	и те же	1	4
108	мы увидим что	1	4
109	тому как в	1	4
110	не до конца	1	4
111	тех случаях когда	2	4
112	то увидим что	1	4
113	это означает что	1	4
114	после того как	3	4
115	до того как	2	3
116	но и по	1	3
117	в применении к	1	3
118	никак не может	1	3
119	один из них	3	3
120	у нас в	1	3
121	сказать что в	1	3
122	что именно в	1	3
123	они представляют собой	2	3
124	во всей их	1	3
125	как это ни	1	3
126	в целом ряде	1	3
127	но не с	1	3
128	одна и та	1	3
129	сделать вывод что	1	3
130	в связь с	1	3
131	не только как	1	3
132	мы наблюдаем в	1	3
133	в совершенно ином	1	3
134	так например в	1	3
135	эту точку зрения	1	3
136	все же в	1	3
137	и потому что	2	3
138	один из основных	1	3
139	совершенно очевидно что	2	3
140	а вместе с	1	3
141	а следовательно и	1	3
142	в настоящее время	3	3
143	и что следовательно	1	3
144	и та же	1	3
145	так как они	2	3
146	потому что они	1	3
147	установить что в	1	2
148	в одном и	1	2
149	том что это	2	2
150	это имело место	1	2
151	а в других	1	2
152	наряду с этим	1	2
153	сомнения в том	1	2
154	потому что она	1	2
155	не встречаются в	1	2
156	даже если бы	1	2
157	как это имеет	3	2
158	тем более что	1	2
159	из которых одна	1	2
160	самом же деле	2	2
161	на самом же	2	2
162	в этой связи	1	2
163	у нас на	1	2
164	в одном из	1	2
165	в том какие	1	2
166	не только для	1	2
167	как это часто	1	2
168	то что по	1	2
169	это не имеет	1	2
170	что не только	1	2
171	и состоит в	1	2
172	не только у	2	2
173	что они были	1	2
174	здесь мы имеем	2	2
175	все же не	2	2
176	имеет место на	1	2
177	что мы имеем	1	2
178	и в своем	1	2
179	в чем именно	1	2
180	не только потому	1	2
181	в свете того	1	2
182	это имеет место	3	2
183	свете того что	1	2
184	время от времени	1	2
185	этот вопрос надо	1	2
186	с той только	1	2
187	мы увидим ниже	2	2
188	той только разницей	1	2
189	в первые годы	1	2
190	только разницей что	1	2
191	как это имело	1	2
192	выводу что в	1	2
193	легко заметить что	1	2
194	значении этого слова	1	2
195	в своей книге	1	2
196	в большинстве случаев	2	2
197	это приводит нас	1	2
198	в этих случаях	1	2
199	только по отношению	1	2
200	что в истории	1	2
201	это ни странно	1	2
202	на некоторое время	1	2
203	с того что	1	2
204	так как этот	1	2
205	во всем этом	1	2
206	и не только	1	2
207	с и сл	1	2
208	самом деле как	1	2
209	не только по	2	2
210	понятия так как	1	2
211	но тем не	2	2
212	и в некоторых	2	2
213	по этому вопросу	1	2
214	состояла в том	3	2
215	во всех этих	1	2
216	к этому же	3	2
217	на две части	1	2
218	как и всем	1	1
219	имеет совершенно другой	1	1
220	выступают в роли	1	1
221	с этим связан	1	1
222	но он одновременно	1	1
223	и должен был	1	1
224	одном ряду с	1	1
225	мы уже знаем	2	1
226	данном случае интересует	1	1
227	только одна из	1	1
228	такое же значение	1	1
229	и многие другие	2	1
230	что и те	1	1
231	и по форме	1	1
232	рассказывает об этом	1	1
233	их теоретических построений	1	1
234	но совершенно очевидно	1	1
235	в предыдущей главе	1	1
236	в течение всего	1	1
237	представляют собой не	1	1
238	что при этом	1	1
239	только о том	1	1
240	мы начнем с	1	1
241	в которых наиболее	1	1
242	следующим образом в	1	1
243	этого слова с	1	1
244	и после этого	1	1
245	них состоит в	1	1
246	не можем согласиться	1	1
247	и во многих	1	1
248	этот вопрос был	1	1
249	идет не о	1	1
250	как это не	1	1
251	бы говорить о	1	1
252	она показывает что	1	1
253	решить этот вопрос	2	1
254	во многих других	1	1
255	только как средство	1	1
256	было известно в	1	1
257	а в связи	1	1
258	к вопросу об	1	1
259	в области изучения	2	1
260	том что этот	2	1
261	во многих случаях	4	1
262	еще на некоторые	1	1
263	и в нашем	1	1
264	не только на	3	1
265	с этого момента	2	1
266	дело в этом	1	1
267	совершенно такие же	1	1
268	без всякой связи	1	1
269	того момента когда	1	1
270	для нас совершенно	1	1
271	это все же	1	1
272	это вытекает из	1	1
273	это слово к	1	1
274	что в первый	2	1
275	оно все же	1	1
276	о происхождении и	1	1
