N	2gram	Medvedev_U	PoTuStor
1	может быть	6	17
2	и в	14	16
3	таким образом	2	9
4	в этом	7	9
5	прежде всего	8	9
6	мы можем	1	9
7	и только	5	9
8	и с	2	8
9	не может	7	8
10	не только	10	7
11	сказать что	1	7
12	с его	2	7
13	для него	3	6
14	самом деле	2	6
15	и это	1	6
16	конечно не	4	6
17	что такое	4	5
18	только для	1	5
19	все что	1	4
20	для всех	2	4
21	все это	5	4
22	в его	2	4
23	художественного творчества	5	4
24	так и	1	4
25	и даже	1	4
26	и все	1	4
27	только в	2	4
28	и не	8	4
29	можно сказать	1	4
30	но и	4	4
31	хотя бы	5	4
32	в этой	4	4
33	отнюдь не	1	4
34	в нем	1	4
35	но в	3	4
36	до сих	2	3
37	в том	2	3
38	полагаем что	1	3
39	представлений и	1	3
40	в конечном	4	3
41	их в	1	3
42	этом смысле	2	3
43	что в	1	3
44	том что	2	3
45	и потому	1	3
46	только как	1	3
47	по крайней	2	3
48	даже не	1	3
49	то что	7	3
50	мы полагаем	1	3
51	и др	1	3
52	могут быть	2	3
53	сих пор	2	3
54	в области	3	3
55	крайней мере	2	3
56	в самом	2	2
57	в свое	1	2
58	почти не	1	2
59	т.е в	2	2
60	мы не	2	2
61	ни было	3	2
62	ее в	1	2
63	и через	2	2
64	что и	2	2
65	сводится к	2	2
66	у него	1	2
67	не могут	2	2
68	и действительно	1	2
69	конечном счете	4	2
70	как и	3	2
71	что он	2	2
72	же как	1	2
73	не есть	2	2
74	в своей	3	2
75	и так	1	2
76	связанные с	1	2
77	в итоге	2	2
78	на первый	2	2
79	к этому	1	2
80	все и	1	2
81	не существует	1	2
82	что мы	2	2
83	связанных с	1	2
84	и содержание	1	2
85	в этот	1	2
86	он не	1	2
87	в частности	3	2
88	и вся	1	2
89	за пределы	1	2
90	в пределах	1	2
91	было бы	3	2
92	нет и	1	2
93	к следующему	1	2
94	о том	1	2
95	но это	2	2
96	и для	2	2
97	для этого	3	2
98	то же	5	2
99	представлениями и	1	2
100	никогда не	1	2
101	что было	1	1
102	к сожалению	3	1
103	бы то	3	1
104	по мнению	1	1
105	и то	3	1
106	мнению не	1	1
107	мы и	2	1
108	как нам	1	1
109	данном случае	1	1
110	него уже	1	1
111	с одной	1	1
112	тогда когда	1	1
113	мы имеем	1	1
114	этой же	1	1
115	но именно	1	1
116	без точного	1	1
117	а это	1	1
118	этом отношении	2	1
119	художественной формы	2	1
120	с тем	1	1
121	что при	1	1
122	как раз	2	1
123	в некоторых	2	1
124	о нем	1	1
125	что только	1	1
126	в качестве	1	1
127	нас в	2	1
128	у нас	3	1
129	и делает	1	1
130	в виду	1	1
131	как таковым	1	1
132	если бы	2	1
133	из цельного	1	1
134	это содержание	1	1
135	что угодно	1	1
136	он может	1	1
137	но не	2	1
138	и эта	1	1
139	форму и	2	1
140	он будет	1	1
141	психики и	1	1
142	в конце	2	1
143	находит себе	1	1
144	что по	1	1
145	в порядке	1	1
146	все же	3	1
147	при таком	2	1
148	приводит к	1	1
149	метода в	1	1
150	по его	1	1
151	это было	2	1
152	на его	1	1
153	с другом	1	1
154	на своем	1	1
155	но если	1	1
156	деле есть	1	1
157	уже не	1	1
158	не входит	1	1
159	а для	1	1
160	он прежде	1	1
161	первый взгляд	1	1
162	его и	2	1
163	вообще по	1	1
164	он был	1	1
165	в данном	1	1
166	и быть	1	1
167	первый план	1	1
168	наука о	1	1
169	об ее	1	1
170	и т.д	3	1
171	отсюда и	1	1
172	даже и	2	1
173	то и	1	1
174	она не	1	1
175	в течение	1	1
176	входит в	1	1
177	но даже	2	1
178	одной стороны	1	1
179	те основные	1	1
180	то ни	3	1
181	быть не	1	1
182	в ней	1	1
183	еще одно	1	1
184	заслуги конечно	1	1
185	довести до	1	1
186	точно и	1	1
187	а не	10	1
188	имеем в	1	1
189	только одним	1	1
190	мы снова	1	1
191	и что	1	1
192	отказ от	1	1
193	где же	1	1
194	не следует	3	1
195	конечно нет	2	1
196	человека и	1	1
197	счете только	1	1
198	с другой	4	1
199	это же	1	1
200	что же	1	1
201	как на	1	1
202	же самое	2	1
203	что никакого	1	1
204	к изучению	1	1
205	что для	1	1
206	друг другу	1	1
207	той же	1	1
208	своем месте	1	1
209	философские социальные	1	1
210	только при	1	1
211	то содержание	1	1
212	же в	1	1
213	что она	2	1
214	теории и	1	1
215	и прежде	1	1
216	искусства в	1	1
217	в период	1	1
218	формы и	2	1
219	бы ни	1	1
220	друг с	1	1
221	это в	1	1
222	это уже	2	1
223	именно этот	1	1
224	есть ли	1	1
225	методом и	1	1
226	не случайно	2	1
227	тот же	1	1
228	ничего не	2	1
229	эта работа	1	1
