N	2gram	Savitsky_E	formyVre
1	и в	37	148
2	в этом	12	73
3	то есть	6	70
4	в нем	1	51
5	прежде всего	9	46
6	и т	1	40
7	и не	14	37
8	в его	2	36
9	и его	1	36
10	вовсе не	6	35
11	но и	14	33
12	то же	15	32
13	не только	18	32
14	но в	14	31
15	жизни и	2	31
16	так и	10	29
17	времени в	1	27
18	может быть	6	27
19	не в	5	26
20	как мы	5	26
21	как и	7	25
22	как бы	6	25
23	человеческой жизни	1	24
24	точки зрения	23	24
25	только в	9	23
26	в то	16	23
27	в том	11	22
28	то что	6	22
29	связи с	1	21
30	во всех	6	21
31	жизни в	3	21
32	же время	14	21
33	все эти	1	21
34	в своем	14	19
35	и на	6	19
36	и для	3	19
37	таким образом	2	18
38	и все	2	18
39	при этом	1	17
40	те же	1	17
41	с этим	2	17
42	так как	7	17
43	в пределах	25	17
44	все же	1	16
45	в связи	1	16
46	того же	3	16
47	в основе	1	16
48	и во	2	16
49	и их	1	16
50	не может	9	16
51	в разных	1	15
52	в одном	2	15
53	в них	3	15
54	никогда не	3	15
55	с точки	17	15
56	с его	1	15
57	вместе с	2	15
58	лишь в	1	15
59	и как	2	14
60	и с	2	14
61	так же	9	14
62	его жизни	1	14
63	всех этих	1	14
64	а не	2	14
65	в самом	4	13
66	в котором	2	13
67	для того	6	13
68	друг с	3	13
69	с ним	1	13
70	как в	3	13
71	в их	11	13
72	с другом	3	13
73	в частности	5	13
74	того чтобы	6	13
75	а в	2	13
76	же в	2	13
77	и до	1	12
78	конечно не	1	12
79	время в	3	12
80	не было	1	12
81	он не	2	12
82	значение и	1	12
83	отнюдь не	9	12
84	что в	21	12
85	с природой	1	12
86	потому что	3	12
87	в истории	2	12
88	но не	5	12
89	и наконец	2	12
90	из них	3	11
91	хотя и	2	11
92	между ними	2	11
93	уже в	1	11
94	мира и	3	11
95	в ней	4	11
96	и другие	1	10
97	кроме того	1	10
98	уже не	1	10
99	и того	2	10
100	входит в	1	10
101	влияние на	2	10
102	в ее	8	10
103	также и	7	10
104	на основе	2	10
105	тот же	1	10
106	этом мире	1	10
107	в большинстве	2	10
108	и даже	6	9
109	но все	1	9
110	с другой	7	9
111	наряду с	2	9
112	всего в	2	9
113	должно быть	1	9
114	и следовательно	1	9
115	и это	1	9
116	в других	2	9
117	могут быть	2	9
118	та же	1	9
119	оно не	1	9
120	том что	6	9
121	в самой	1	9
122	для него	1	9
123	есть в	2	9
124	и других	2	9
125	одного и	1	9
126	мира в	4	9
127	и к	3	8
128	в результате	3	8
129	в этих	2	8
130	время как	1	8
131	к тому	8	8
132	в этот	1	8
133	в некоторых	2	8
134	с одной	8	8
135	что и	3	8
136	рядом с	1	8
137	в мире	2	8
138	в индивидуальном	1	8
139	здесь на	1	8
140	и по	5	8
141	один из	1	8
142	в жизни	1	8
143	для себя	1	8
144	если бы	2	8
145	большинстве случаев	3	8
146	этого времени	1	8
147	жизни но	1	8
148	и то	2	8
149	значение в	1	8
150	том числе	1	8
151	во всяком	3	8
152	и прежде	3	8
153	а также	7	8
154	и потому	5	8
155	или иной	4	8
156	в той	5	7
157	для всех	1	7
158	еще более	2	7
159	не как	1	7
160	имеет место	2	7
161	между собой	2	7
162	этого мира	1	7
163	к ним	3	7
164	в себе	9	7
165	с ее	1	7
166	в процессе	4	7
167	например в	1	7
168	то время	1	7
169	нет ничего	1	7
170	было бы	8	7
171	в отличие	1	7
172	том же	1	7
173	т д	1	7
174	того что	7	7
175	мир в	1	7
176	этот процесс	2	7
177	этом отношении	3	7
178	ее в	3	7
179	отличие от	1	7
180	место в	3	7
181	все что	1	6
182	именно в	4	6
183	с тем	3	6
184	о том	3	6
185	сказать что	4	6
186	во всей	2	6
187	в качестве	14	6
188	в таком	3	6
189	мы можем	3	6
190	ту же	1	6
191	за пределы	1	6
192	одной стороны	8	6
193	бы ни	3	6
194	и ее	1	6
195	в отношении	32	6
196	мы видим	2	6
197	не могут	2	6
198	в которых	3	6
199	друг от	2	6
200	не является	3	6
201	тех же	1	6
202	человеческого рода	2	6
203	лежат в	4	6
204	слова и	1	6
205	в совершенно	1	6
206	значение имеет	1	6
207	одной из	5	6
208	мы не	4	6
209	мы находим	1	6
210	от друга	2	6
211	только и	1	6
212	в начале	1	6
213	пространства и	1	6
214	есть не	2	6
215	более того	1	6
216	вообще не	3	5
217	с этой	6	5
218	одно из	1	5
219	тем что	3	5
220	в порядке	2	5
221	в своей	8	5
222	почти все	1	5
223	во все	3	5
224	хотя бы	15	5
225	но они	1	5
226	всего этого	1	5
227	что все	2	5
228	точка зрения	2	5
229	по преимуществу	2	5
230	вполне понятно	1	5
231	с другими	2	5
232	как его	1	5
233	от этого	5	5
234	в смысле	9	5
235	той или	4	5
236	по своей	2	5
237	в этой	2	5
238	и от	3	5
239	мы будем	1	5
240	там где	3	5
241	мире и	1	5
242	был бы	1	5
243	не на	4	5
244	с ними	1	5
245	далеко не	2	5
246	не имеет	4	5
247	той же	1	5
248	но на	3	5
249	или в	2	5
250	об этом	1	5
251	и вообще	1	5
252	стороны и	6	5
253	числе и	1	5
254	и только	3	5
255	во всем	1	4
256	даже в	4	4
257	а затем	1	4
258	не являются	1	4
259	другой стороны	2	4
260	по себе	4	4
261	в своих	2	4
262	или на	1	4
263	в корне	1	4
264	его на	2	4
265	и со	3	4
266	в данном	3	4
267	на острове	1	4
268	существенное значение	1	4
269	по отношению	1	4
270	и те	1	4
271	затем в	1	4
272	в нашем	1	4
273	несмотря на	4	4
274	к жизни	1	4
275	весь мир	1	4
276	чем в	4	4
277	что не	1	4
278	о которых	1	4
279	друг другу	1	4
280	их к	1	4
281	в последнем	1	4
282	которых мы	1	4
283	большую роль	1	4
284	мы здесь	1	4
285	из того	2	4
286	для них	2	4
287	дело идет	2	4
288	и более	2	4
289	в xviii	1	4
290	всяком случае	3	4
291	одних и	1	4
292	находятся в	1	4
293	и было	1	4
294	бы на	1	4
295	у нас	1	4
296	к концу	1	4
297	войти в	1	4
298	на его	1	4
299	в одной	1	4
300	тем более	4	4
301	мы должны	2	4
302	быть и	1	4
303	с большой	2	4
304	и о	1	4
305	включает в	1	4
306	мы сказали	1	4
307	с которыми	1	3
308	в центре	1	3
309	к другу	1	3
310	различия в	3	3
311	и имеет	2	3
312	тому что	1	3
313	из всех	3	3
314	говорили в	1	3
315	это значит	2	3
316	время не	1	3
317	нас в	1	3
318	далее в	1	3
319	не обязательно	1	3
320	в соответствии	1	3
321	в более	1	3
322	в точном	1	3
323	культуры в	4	3
324	все ее	1	3
325	и отчасти	2	3
326	вопрос о	4	3
327	мы увидим	1	3
328	и еще	2	3
329	в прошлом	3	3
330	как на	3	3
331	оказались бы	1	3
332	от природы	1	3
333	внимание на	1	3
334	к настоящему	3	3
335	же как	5	3
336	на земле	1	3
337	одна из	1	3
338	политической и	1	3
339	в двух	1	3
340	бы в	2	3
341	связь с	1	3
342	для развития	1	3
343	на этом	1	3
344	как это	4	3
345	в тех	1	3
346	и детей	1	3
347	литературы и	1	3
348	и несколько	1	3
349	главным образом	2	3
350	этом процессе	1	3
351	его к	1	3
352	друг к	1	3
353	борьбы с	1	3
354	если не	1	3
355	и затем	1	3
356	сравнению с	2	3
357	в аспекте	1	3
358	бы и	3	3
359	что мы	1	3
360	в течение	5	3
361	в свою	3	3
362	в значительной	2	3
363	не быть	1	3
364	значение для	1	3
365	целый ряд	2	3
366	известной степени	3	3
367	и быта	1	3
368	в данной	3	3
369	если мы	1	3
370	мы говорили	1	3
371	но это	1	3
372	которые в	1	3
373	одна и	2	3
374	в определенном	3	3
375	как нечто	1	3
376	однако не	1	3
377	а на	1	3
378	дело в	3	3
379	в сферу	2	3
380	есть только	1	3
381	по своему	7	3
382	в новом	1	3
383	бы совершенно	2	3
384	только к	2	3
385	она не	2	3
386	свое значение	1	3
387	по сравнению	2	3
388	к ней	4	3
389	можно сказать	4	3
390	вплоть до	1	3
391	происходит в	2	3
392	все более	9	3
393	что на	2	3
394	в чисто	1	3
395	не к	2	3
396	и всего	1	2
397	находим в	1	2
398	что люди	1	2
399	xix и	1	2
400	и рядом	2	2
401	исторического процесса	1	2
402	нами в	1	2
403	с собой	1	2
404	приходит к	1	2
405	мыслится как	1	2
406	как они	1	2
407	представление о	2	2
408	правда в	1	2
409	и сами	1	2
410	притом в	2	2
411	как таковой	1	2
412	ко второй	1	2
413	ни для	1	2
414	о будущем	1	2
415	которые мы	1	2
416	переходит в	1	2
417	имеет в	2	2
418	значительной мере	1	2
419	из себя	1	2
420	говорить о	1	2
421	связь между	1	2
422	плоти и	1	2
423	принадлежит не	1	2
424	как оно	2	2
425	отметить что	3	2
426	свою очередь	2	2
427	но этот	1	2
428	они должны	1	2
429	он сам	2	2
430	от них	3	2
431	эти не	1	2
432	что даже	1	2
433	и неизвестно	1	2
434	что имеет	1	2
435	к нему	2	2
436	то в	4	2
437	ее и	1	2
438	по природе	1	2
439	и всей	1	2
440	указать на	1	2
441	имеют в	1	2
442	к определенному	1	2
443	тому же	1	2
444	и притом	4	2
445	и некоторые	3	2
446	как по	1	2
447	на себя	3	2
448	лишь на	1	2
449	также в	2	2
450	себя как	1	2
451	между прочим	7	2
452	одном из	2	2
453	но когда	1	2
454	в человеческом	1	2
455	но как	2	2
456	того в	1	2
457	одну и	2	2
458	бы она	1	2
459	в отдельных	1	2
460	ни была	1	2
461	и та	2	2
462	чем больше	2	2
463	и тот	1	2
464	где в	1	2
465	даже не	1	2
466	и сам	1	2
467	этот вопрос	2	2
468	море и	2	2
469	культуры и	2	2
470	что во	1	2
471	в каком	4	2
472	которое мы	1	2
473	в полном	1	2
474	значит что	1	2
475	существует только	1	2
476	которого мы	2	2
477	именно о	1	2
478	мы видели	3	2
479	сплошь и	2	2
480	от нее	1	2
481	во втором	2	2
482	пределы данного	1	2
483	в состав	1	2
484	как с	1	2
485	если в	2	2
486	должна быть	2	2
487	тогда когда	2	2
488	групп и	1	2
489	себе не	3	2
490	на минуту	1	2
491	стран и	1	2
492	так называемый	1	2
493	одновременно с	1	2
494	и культур	1	2
495	можно назвать	1	2
496	данном случае	2	2
497	о котором	1	2
498	бы нас	1	2
499	повсюду где	1	2
500	иной степени	1	2
501	то и	1	2
502	и поэтому	2	2
503	весьма часто	1	2
504	в новой	1	2
505	с большей	1	2
506	отношении к	15	2
507	от других	1	2
508	на которые	1	2
509	ней по	1	2
510	соответствии с	1	2
511	начиная с	2	2
512	этого слова	1	2
513	но если	5	2
514	в мировой	1	2
515	или вовсе	1	2
516	душе и	1	2
517	не можем	2	2
518	для нас	4	2
519	идет о	3	2
520	для всего	1	2
521	и новой	1	2
522	значение его	1	2
523	с их	1	2
524	по этому	1	2
525	в русском	1	2
526	по степени	1	2
527	в будущее	2	2
528	бытия и	1	2
529	которые как	1	2
530	и эта	2	2
531	и художественное	1	2
532	в стороне	3	2
533	но по	2	2
534	и человеческой	2	2
535	на них	2	2
536	должны быть	1	2
537	этот новый	1	2
538	такие же	1	2
539	и разнообразие	1	2
540	не о	1	2
541	частности в	2	2
542	каком же	1	2
543	еще в	1	2
544	как то	1	2
545	когда мы	1	2
546	как их	2	2
547	во многом	2	2
548	для такого	1	2
549	все другие	2	2
550	мы различаем	1	2
551	степени и	1	2
552	ними но	1	2
553	они являются	1	1
554	рода и	1	1
555	видели в	1	1
556	является в	1	1
557	более высокой	1	1
558	значение лишь	1	1
559	таковы например	1	1
560	которая в	1	1
561	тех кто	1	1
562	до него	1	1
563	всех случаях	3	1
564	часть его	1	1
565	области где	1	1
566	дело с	1	1
567	эта идея	1	1
568	пределах одного	1	1
569	тем как	1	1
570	в большей	1	1
571	в современности	6	1
572	и лучше	1	1
573	с более	3	1
574	сгущается в	1	1
575	например с	2	1
576	становятся рядом	1	1
577	оно знакомо	1	1
578	также на	1	1
579	ко всем	1	1
580	более или	1	1
581	сущность этого	1	1
582	на свой	1	1
583	в англии	1	1
584	именно и	1	1
585	случаях когда	2	1
586	довольно близко	1	1
587	социальной группы	1	1
588	в построении	1	1
589	из всего	1	1
590	развития но	1	1
591	как более	1	1
592	и творчества	2	1
593	всегда в	1	1
594	что по	1	1
595	уже и	3	1
596	не менее	1	1
597	только ее	1	1
598	человека имеют	1	1
599	обладает и	1	1
600	на руси	1	1
601	к культуре	1	1
602	играть в	1	1
603	в обстановке	1	1
604	в форму	1	1
605	связанного с	1	1
606	всем его	1	1
607	время с	1	1
608	или ее	1	1
609	ними и	2	1
610	приобретают характер	1	1
611	человеческого развития	1	1
612	к этой	1	1
613	при условии	2	1
614	больше чем	1	1
615	конец но	1	1
616	но нам	1	1
617	существование и	1	1
618	за исключением	1	1
619	и теми	1	1
620	стране со	1	1
621	в каких	1	1
622	поэтому если	1	1
623	и неизбежно	1	1
624	положений и	1	1
625	пребывают в	1	1
626	о таких	1	1
627	увидим что	1	1
628	такова постановка	1	1
629	аналогий в	1	1
630	в каждой	1	1
