N	2gram	Tiupa_Disk	Stilisti
1	и в	27	42
2	как бы	9	30
3	не только	36	28
4	и т.п	18	25
5	прежде всего	17	22
6	и т.д	5	21
7	хотя бы	3	18
8	внутренней речи	5	18
9	то же	12	16
10	но и	22	16
11	и не	25	14
12	может быть	29	13
13	не может	17	13
14	как и	27	12
15	точки зрения	6	11
16	ситуации и	2	10
17	в этом	29	10
18	в себе	22	10
19	и как	9	10
20	мы должны	1	10
21	как мы	2	10
22	отнюдь не	11	10
23	мы не	2	9
24	при этом	22	9
25	все же	8	9
26	то что	10	9
27	в то	8	9
28	таким образом	4	8
29	с тем	1	8
30	речевого общения	13	8
31	и это	3	8
32	в ней	2	8
33	тем самым	6	8
34	что же	4	8
35	с его	9	8
36	ничего не	1	8
37	и на	8	7
38	так и	14	7
39	слов и	1	7
40	мы можем	1	7
41	только в	9	7
42	в которой	2	7
43	и его	4	7
44	потому что	7	7
45	и тем	2	7
46	же время	9	7
47	было бы	1	7
48	той же	2	7
49	и от	2	7
50	а не	35	7
51	никогда не	3	7
52	во всех	6	6
53	в его	9	6
54	не в	8	6
55	говорящего и	3	6
56	в нем	16	6
57	в конце	1	6
58	в процессе	6	6
59	на его	4	6
60	точкой зрения	2	6
61	в свою	3	6
62	речи и	2	6
63	с помощью	1	6
64	одно и	2	6
65	в форме	2	6
66	когда мы	1	6
67	в этой	5	6
68	слова в	2	6
69	или иной	8	6
70	в области	3	6
71	в той	2	5
72	в самом	4	5
73	то есть	29	5
74	уже в	2	5
75	и их	1	5
76	с точки	3	5
77	те же	1	5
78	не является	5	5
79	самом деле	2	5
80	но все	2	5
81	и с	2	5
82	но в	15	5
83	вместе с	3	5
84	точек зрения	1	5
85	своей жизни	1	5
86	того или	3	5
87	а с	8	5
88	и следовательно	1	5
89	слова и	2	5
90	как это	2	5
91	и является	1	5
92	а в	5	5
93	же самое	2	5
94	и мимики	1	5
95	в нашем	2	5
96	художественного творчества	1	5
97	и то	4	5
98	или иного	2	5
99	независимо от	1	5
100	и наконец	2	5
101	мы видели	1	5
102	всего в	2	4
103	были бы	1	4
104	и к	4	4
105	один из	3	4
106	общения в	3	4
107	что это	1	4
108	на него	2	4
109	что такое	1	4
110	все это	2	4
111	в качестве	45	4
112	или иную	1	4
113	в одном	5	4
114	его в	1	4
115	если бы	1	4
116	и все	5	4
117	с самого	2	4
118	в слове	1	4
119	так сказать	3	4
120	к своему	2	4
121	в словах	1	4
122	да и	2	4
123	уже не	7	4
124	к тому	6	4
125	о том	12	4
126	связаны с	1	4
127	и без	2	4
128	вопроса о	1	4
129	человека не	1	4
130	той или	6	4
131	самого начала	2	4
132	в каждом	2	4
133	можно сказать	7	4
134	языка и	3	4
135	было в	4	4
136	не существует	1	4
137	ту или	1	4
138	общения и	4	4
139	заключает в	1	4
140	свою очередь	3	4
141	лишь в	4	4
142	в целом	5	4
143	себя в	8	4
144	в данной	3	4
145	мы называем	1	4
146	тем же	1	4
147	слово не	2	4
148	не знаем	1	4
149	повествования о	1	4
150	тех или	1	4
151	точка зрения	3	4
152	не просто	1	4
153	того что	4	4
154	не к	3	4
155	что было	1	3
156	этом случае	3	3
157	ответ на	1	3
158	зрения на	3	3
159	как таковой	1	3
160	которое может	2	3
161	в том	29	3
162	или иных	1	3
163	отношения к	2	3
164	несмотря на	1	3
165	для него	9	3
166	хотя и	3	3
167	в разных	1	3
168	в ее	4	3
169	из которых	1	3
170	высказывания с	2	3
171	на самом	1	3
172	что и	5	3
173	в виду	2	3
174	между ними	1	3
175	и само	2	3
176	и развития	1	3
177	связи с	4	3
178	и даже	4	3
179	в основе	11	3
180	жизни это	1	3
181	слова но	1	3
182	содержание и	1	3
183	но для	2	3
184	высказывания как	1	3
185	этого высказывания	1	3
186	и тому	1	3
187	может стать	1	3
188	все эти	2	3
189	как в	16	3
190	по своему	3	3
191	человеческой речи	1	3
192	должно было	2	3
193	том что	27	3
194	бы мы	1	3
195	вследствие этого	4	3
196	роль в	10	3
197	об этом	3	3
198	перед нами	4	3
199	еще не	20	3
200	но при	3	3
201	только благодаря	1	3
202	его и	1	3
203	а к	3	3
204	в котором	7	3
205	что всякое	1	3
206	зрения как	1	3
207	т.п и	1	3
208	целое высказывание	1	3
209	форма высказывания	2	3
210	как предмет	1	3
211	между тем	5	3
212	высказывания и	3	3
213	во второй	1	3
214	не знает	4	3
215	в частности	18	3
216	только на	2	3
217	не с	4	3
218	в тех	2	3
219	о своем	1	3
220	в начале	2	3
221	целый ряд	2	3
222	и слово	1	3
223	от того	1	3
224	перед ним	2	3
225	их в	2	3
226	не становится	1	3
227	заметить что	2	3
228	нет и	1	3
229	не будет	1	3
230	сказать что	4	3
231	высказывания в	7	3
232	в голову	2	3
233	необходимо чтобы	2	3
234	жизни и	2	3
235	чаще всего	1	3
236	этого слова	1	3
237	к той	4	3
238	у них	1	3
239	не мог	1	3
240	это не	5	3
241	из них	6	3
242	он должен	1	3
243	события и	1	2
244	для всех	2	2
245	и он	2	2
246	очевидно что	1	2
247	ничем не	1	2
248	самой ситуации	1	2
249	от самых	1	2
250	как с	1	2
251	речи но	1	2
252	должно быть	2	2
253	нас не	1	2
254	зависит от	2	2
255	и вследствие	2	2
256	в языке	2	2
257	на бранном	1	2
258	объективной действительности	1	2
259	и при	1	2
260	и потому	3	2
261	каждый из	2	2
262	мы имеем	4	2
263	своего героя	1	2
264	ни к	11	2
265	другое как	1	2
266	человек с	1	2
267	может получить	1	2
268	этом отношении	4	2
269	о чем	4	2
270	свое высказывание	1	2
271	одном и	1	2
272	выбора и	2	2
273	в глубинах	1	2
274	с природой	1	2
275	общения не	2	2
276	но как	2	2
277	для них	1	2
278	с другими	1	2
279	это слово	1	2
280	иными словами	1	2
281	как нечто	2	2
282	но это	3	2
283	слова не	3	2
284	в их	5	2
285	о них	2	2
286	к рассмотрению	1	2
287	от их	1	2
288	высказывания не	2	2
289	в своих	6	2
290	не было	9	2
291	в предыдущей	1	2
292	на этот	1	2
293	все то	1	2
294	из героев	1	2
