N	2gram	Voloshinov	PoTuStor
1	может быть	50	17
2	и в	32	16
3	и пр	31	12
4	таким образом	29	9
5	в этом	27	9
6	прежде всего	19	9
7	мы можем	6	9
8	и проч	1	9
9	и только	2	9
10	в психике	2	8
11	совершенно не	6	8
12	точки зрения	48	8
13	и с	4	8
14	не может	40	8
15	и его	33	8
16	не только	18	7
17	в сознание	1	7
18	сказать что	7	7
19	с его	6	7
20	и к	3	6
21	при этом	13	6
22	для него	18	6
23	самом деле	18	6
24	и это	6	6
25	конечно не	9	6
26	с точки	31	6
27	что такое	3	5
28	ни в	7	5
29	все эти	8	5
30	только для	1	5
31	в чем	2	5
32	еще не	7	5
33	сознание и	1	5
34	как бы	31	5
35	ту сторону	1	5
36	отношение к	1	5
37	нуждается в	4	5
38	в него	1	5
39	а потому	1	4
40	для всех	2	4
41	и на	8	4
42	так как	5	4
43	все это	4	4
44	в его	10	4
45	художественного творчества	1	4
46	мысли и	7	4
47	так и	21	4
48	на самом	10	4
49	по ту	1	4
50	его в	7	4
51	и даже	4	4
52	и все	8	4
53	с ними	5	4
54	только в	14	4
55	и не	42	4
56	буржуазной философии	1	4
57	можно сказать	4	4
58	с самого	9	4
59	но и	17	4
60	хотя бы	8	4
61	и может	1	4
62	и их	2	4
63	самого начала	9	4
64	в этой	3	4
65	как мы	26	4
66	отнюдь не	14	4
67	в нем	17	4
68	с ее	2	4
69	в один	1	4
70	и ее	4	4
71	и наконец	1	4
72	но в	13	4
73	и вот	2	3
74	если б	2	3
75	до сих	10	3
76	на язык	3	3
77	в основном	10	3
78	в том	13	3
79	мы знаем	7	3
80	полагаем что	2	3
81	те же	5	3
82	с другими	6	3
83	с их	2	3
84	на этой	6	3
85	между ними	6	3
86	в конечном	1	3
87	их в	1	3
88	отношения к	2	3
89	этом смысле	2	3
90	для сознания	1	3
91	учение о	3	3
92	и как	8	3
93	что в	5	3
94	том что	12	3
95	большинстве случаев	7	3
96	вместе с	2	3
97	в этих	2	3
98	мира и	2	3
99	и художественного	1	3
100	сравнению с	1	3
101	во всех	13	3
102	но оно	1	3
103	во всяком	8	3
104	и потому	7	3
105	в основе	10	3
106	и притом	1	3
107	по сравнению	1	3
108	по крайней	1	3
109	как это	2	3
110	только на	7	3
111	в одном	2	3
112	и значение	6	3
113	пр и	5	3
114	а в	5	3
115	в большинстве	7	3
116	то что	12	3
117	никаких оснований	1	3
118	мы полагаем	2	3
119	и др	3	3
120	могут быть	4	3
121	и есть	3	3
122	сих пор	10	3
123	в общем	1	3
124	жизни и	4	3
125	в области	3	3
126	всяком случае	4	3
127	во время	2	3
128	ко всякому	2	3
129	крайней мере	1	3
130	в самом	14	2
131	доступ в	1	2
132	мы видим	2	2
133	него только	1	2
134	что оно	3	2
135	и этот	2	2
136	это делает	2	2
137	к другим	1	2
138	на протяжении	2	2
139	они не	2	2
140	почти не	2	2
141	т.е в	1	2
142	мы не	6	2
143	два полюса	1	2
144	с этой	2	2
145	ни было	15	2
146	что это	3	2
147	нашего времени	1	2
148	аналогии с	1	2
149	ее в	2	2
150	но как	3	2
151	что и	5	2
152	сознания и	6	2
153	сводится к	5	2
154	у него	2	2
155	не на	2	2
156	не могут	4	2
157	со всеми	1	2
158	в душе	3	2
159	а на	1	2
160	из сказанного	2	2
161	существует только	1	2
162	поэтому и	1	2
163	и других	3	2
164	все то	1	2
165	не знает	4	2
166	не нуждается	1	2
167	по аналогии	2	2
168	что не	4	2
169	и действительно	4	2
170	конечном счете	1	2
171	здесь же	2	2
172	вообще не	2	2
173	между собою	1	2
174	в жизни	2	2
175	можно назвать	2	2
176	но ведь	4	2
177	является по	1	2
178	как и	19	2
179	что он	5	2
180	есть в	1	2
181	же как	2	2
182	не есть	6	2
183	только то	1	2
184	в своей	5	2
185	и так	2	2
186	как с	2	2
187	себя и	2	2
188	только и	1	2
189	войти в	3	2
190	не менее	5	2
191	на границе	4	2
192	в каком	6	2
193	нем нет	4	2
194	на первый	2	2
195	и вообще	3	2
196	на них	1	2
197	с этим	6	2
198	всей их	1	2
199	к этому	10	2
200	оно не	1	2
201	не существует	6	2
202	рождения и	1	2
203	между собой	3	2
204	что мы	1	2
205	это последнее	1	2
206	мы уже	7	2
207	связанных с	1	2
208	другими словами	4	2
