N	4gram	Voloshinov	formyVre
1	одного и того же	1	9
2	мы имеем в виду	1	5
3	в связи с этим	1	4
4	одних и тех же	1	4
5	до сих пор еще	1	3
6	ни в чем не	3	3
7	те же что и	1	3
8	так же как и	1	3
9	дело в том что	1	2
10	одна и та же	1	2
11	на первый план выдвигается	1	2
12	все что есть в	1	2
13	с этой точки зрения	1	1
14	если бы он был	1	1
15	мы можем коснуться лишь	1	1
16	остановимся прежде всего на	1	1
17	ни внешнего ни внутреннего	1	1
18	одну и ту же	1	1
19	совершенно так же как	1	1
20	в стадии разложения и	1	1
21	точки зрения может быть	1	1
22	из одних и тех	1	1
23	все то что можно	1	1
24	для него существует только	1	1
25	нечего и говорить о	1	1
26	или во всяком случае	1	1
27	и тех же элементов	1	1
28	и пр и пр	2	1
29	все новых и новых	1	1
30	все снова и снова	1	1
