N	2gram	Medvedev_V	TeoriaLi
1	и в	2	24
2	в частности	1	23
3	в том	2	20
4	и не	1	17
5	в этом	1	12
6	сводится к	1	12
7	то же	1	12
8	том что	2	11
9	и его	1	11
10	только в	1	9
11	в самом	1	7
12	в другом	1	4
13	и т.д	1	4
14	в их	1	4
15	так в	1	4
16	а только	1	4
17	речи и	1	4
18	далеко не	1	4
19	и составляет	1	3
20	именно в	1	3
21	потому что	1	3
22	и то	1	3
23	ни к	1	3
24	говоря о	1	3
25	столь же	1	3
26	самом деле	1	2
27	в значительной	1	2
28	значительной степени	1	2
29	теории литературы	1	2
30	все это	1	2
31	к чему	1	2
32	дело в	1	2
33	в конце	2	2
34	я не	1	2
35	тем более	1	2
36	а.н веселовского	2	2
37	одно и	1	2
38	говоря иначе	1	2
39	все то	1	1
40	да и	1	1
41	собственно и	1	1
42	по крайней	1	1
43	по своим	1	1
44	более чем	1	1
45	и заключается	1	1
46	время в	1	1
47	чего не	1	1
48	и том	1	1
49	прозы в	1	1
50	том же	1	1
51	по поводу	1	1
52	то я	1	1
53	крайней мере	1	1
54	одном и	1	1
55	так как	1	1
56	ведь это	1	1
57	по существу	1	1
58	за свою	1	1
59	этом и	1	1
60	и только	1	1
