N	3gram	Tiupa_Anal	OGranits
1	с точки зрения	6	5
2	не может быть	17	4
3	до тех пор	1	4
4	тех пор пока	1	3
5	одно и то	2	3
6	по отношению к	9	3
7	и т.п и	1	3
8	в том что	13	2
9	не что иное	5	2
10	того или иного	3	2
11	не только его	1	2
12	в зависимости от	1	2
13	в полном соответствии	1	2
14	в данном случае	3	2
15	полном соответствии с	1	2
16	и то же	2	2
17	есть не что	4	2
18	в самом деле	3	2
19	что иное как	6	2
20	с одной стороны	6	2
21	с другой стороны	2	2
22	возможно только в	1	1
23	и тем что	1	1
24	в борьбе с	2	1
25	собственном смысле слова	1	1
26	в науке о	1	1
27	так же точно	1	1
28	говорить не приходится	1	1
29	те же самые	1	1
30	и тот же	2	1
31	и как бы	1	1
32	на всем протяжении	1	1
33	включает в себя	1	1
34	может и должно	1	1
35	всей своей полноте	1	1
36	языка но в	1	1
37	но в то	2	1
38	которого только и	1	1
39	ни одно слово	1	1
40	те же слова	1	1
41	равно как и	1	1
42	между тем как	2	1
43	подобно тому как	5	1
44	в конечном счете	5	1
45	если говорить о	2	1
46	отношению к предмету	1	1
47	тех или иных	3	1
48	на то что	2	1
49	для того чтобы	3	1
50	могут быть произнесены	1	1
51	течение всего своего	1	1
52	до такой степени	1	1
53	все эти три	1	1
54	во всей своей	1	1
55	если конечно мы	1	1
56	не только на	1	1
57	то или иное	1	1
58	в собственном смысле	1	1
59	тех случаях когда	1	1
60	один и тот	1	1
61	в отличие от	8	1
62	выходит за пределы	1	1
63	этой точки зрения	2	1
64	эстетического объекта и	1	1
65	литературного произведения как	5	1
66	как и в	2	1
67	в связи с	2	1
68	то же самое	3	1
69	а вовсе не	1	1
70	в системе языка	1	1
71	организации художественного произведения	1	1
72	не знает категории	2	1
73	к тому что	2	1
74	стороны литературное произведение	1	1
75	тем не менее	3	1
76	нет и не	2	1
77	и к тому	2	1
78	в этом отношении	5	1
79	то же время	7	1
80	далеко не всегда	2	1
81	в широком понимании	1	1
82	собственно говоря и	3	1
83	более или менее	2	1
84	в то же	9	1
85	но и его	1	1
86	вместе с ними	1	1
87	в достаточной мере	1	1
88	прежде всего в	2	1
89	с этой точки	2	1
90	в течение всего	1	1
91	можно было бы	1	1
92	никоим образом не	1	1
93	в тех случаях	1	1
94	и вместе с	1	1
95	состоит в том	6	1
96	и не может	4	1
97	тот же самый	1	1
