N	2gram	Potebnia_M	Morfolog
1	и т	12	62
2	может быть	46	61
3	т д	5	60
4	в сказке	1	27
5	таким образом	24	26
6	могут быть	6	21
7	так как	20	20
8	не может	18	19
9	в этом	19	18
10	в этих	2	17
11	и в	48	17
12	и не	28	16
13	мы видим	3	15
14	этих случаях	1	15
15	перед нами	3	14
16	с этим	12	14
17	прежде всего	6	14
18	видим что	1	12
19	при помощи	2	12
20	связи с	6	12
21	и др	1	12
22	а не	22	11
23	заметить что	7	11
24	что в	30	10
25	то же	35	10
26	вопрос о	2	10
27	не всегда	5	10
28	но если	2	10
29	этом случае	2	10
30	в том	47	10
31	так и	17	10
32	что и	16	10
33	в связи	1	10
34	составные части	1	10
35	то что	37	10
36	все же	3	9
37	с другой	8	9
38	но и	30	9
39	не только	32	8
40	в результате	1	8
41	мы не	17	8
42	но не	8	8
43	а в	14	8
44	как мы	8	8
45	один из	7	7
46	и здесь	3	7
47	если в	2	7
48	не могут	7	7
49	не менее	9	7
50	том что	28	7
51	потому что	82	7
52	по отношению	12	7
53	точки зрения	4	7
54	как это	1	7
55	тем не	7	7
56	образом мы	1	7
57	или же	8	7
58	а также	1	7
59	отношению к	10	7
60	подобно тому	3	6
61	о том	7	6
62	как бы	10	6
63	не все	5	6
64	увидим ниже	1	6
65	но это	9	6
66	это не	2	6
67	с точки	3	6
68	в образе	4	6
69	в нашем	1	6
70	или в	4	6
71	и как	8	6
72	вовсе не	13	6
73	во всех	1	6
74	если мы	2	6
75	может считаться	1	6
76	в форме	2	6
77	во время	4	6
78	в море	1	5
79	из которых	1	5
80	другой стороны	4	5
81	в первом	5	5
82	вслед за	6	5
83	этот элемент	1	5
84	начинается с	1	5
85	что он	8	5
86	как в	17	5
87	со стороны	4	5
88	могут считаться	1	5
89	видно что	4	5
90	то это	9	5
91	это явление	1	5
92	хотя бы	3	5
93	было бы	16	5
94	к тому	9	5
95	ничего не	1	5
96	что они	2	5
97	не будем	1	5
98	хотя и	3	5
99	два раза	1	5
100	прежде чем	2	5
101	тому что	6	5
102	ясно что	1	5
103	все эти	1	5
104	между собой	1	5
105	в поле	1	5
106	на его	4	5
107	то можно	1	5
108	об этом	4	5
109	в других	3	5
110	там где	6	5
111	мы можем	13	5
112	тому как	6	5
113	здесь можно	1	5
114	между тем	19	5
115	он не	4	5
116	если же	1	5
117	далеко не	5	5
118	и затем	3	5
119	главным образом	1	5
120	в целом	5	5
121	и ее	1	5
122	и к	5	4
123	есть и	3	4
124	как и	22	4
125	самом деле	5	4
126	но все	2	4
127	показать что	1	4
128	тем что	13	4
129	никто не	5	4
130	уже не	11	4
131	еще не	9	4
132	не является	1	4
133	а если	1	4
134	тех же	1	4
135	входит в	3	4
136	того чтобы	5	4
137	быть названо	2	4
138	говорить о	6	4
139	на пути	2	4
140	так же	6	4
141	и наоборот	5	4
142	сказать что	8	4
143	на него	3	4
144	на котором	4	4
145	из них	11	4
146	но в	8	4
147	его самого	1	4
148	несмотря на	2	4
149	на самом	4	4
150	его в	6	4
151	что его	3	4
152	встречается в	1	4
153	подобных случаях	1	4
154	к этому	3	4
155	в то	16	4
156	мы уже	5	4
157	можно было	1	4
158	от того	10	4
159	могла бы	2	4
160	значит что	2	4
161	независимо от	10	4
162	их по	1	4
163	собственном смысле	2	3
164	заметим что	1	3
165	то время	7	3
166	та же	3	3
167	в последнем	4	3
168	только что	12	3
169	предметы и	1	3
170	с этой	2	3
171	и при	5	3
172	что это	6	3
173	в сущности	3	3
174	о формах	1	3
175	ни в	2	3
176	от другого	3	3
177	то с	1	3
178	или со	1	3
179	только в	29	3
180	здесь мы	1	3
181	время как	3	3
182	из двух	4	3
183	если это	1	3
184	или на	2	3
185	можно назвать	2	3
186	и другим	2	3
187	есть нечто	6	3
188	в собственном	3	3
189	но мы	3	3
190	на первый	1	3
191	первом случае	2	3
192	некоторые из	1	3
193	не существует	5	3
194	и что	13	3
195	связана с	1	3
196	для того	8	3
197	но эти	1	3
198	и тогда	4	3
199	или не	3	3
200	вне связи	2	3
201	целый ряд	2	3
202	должен знать	1	3
203	состоит в	1	3
204	похищает у	1	3
205	настоящее время	1	3
206	и вне	1	3
207	так например	3	3
208	здесь не	1	3
209	с его	1	3
210	в отдельных	2	3
211	в настоящее	1	3
212	что при	3	3
213	он должен	2	3
214	к нему	7	3
215	бы то	2	3
216	то в	1	3
217	первый взгляд	1	3
218	что эти	3	3
219	благодаря этому	1	3
220	а и	5	3
221	или с	2	3
222	того что	24	3
223	что такое	2	3
224	ее в	2	3
225	но как	2	3
226	у нас	2	3
227	это и	2	3
228	и есть	4	3
229	в виде	3	3
230	в таких	4	3
231	как же	1	3
232	к чему	2	3
233	из членов	1	3
234	но для	1	3
235	а то	2	3
236	здесь же	1	3
237	в какой	3	3
238	большинстве случаев	2	3
239	даже не	2	3
240	это было	3	3
241	форма в	5	3
242	том случае	2	3
243	для наших	1	3
244	то ни	1	3
245	совсем не	2	3
246	если бы	20	3
247	вопрос как	1	3
248	друг друга	6	3
249	мы должны	6	3
250	из ряда	1	3
251	и тем	8	3
252	не в	24	3
253	в которой	9	3
254	а по	1	3
255	и их	4	3
256	в начале	3	3
257	в пределах	1	3
258	в большинстве	2	3
259	требует чтобы	2	3
260	значение и	1	3
261	в этой	3	3
262	к ней	7	3
263	но есть	3	3
264	же в	3	3
265	можно будет	1	3
266	на то	6	3
267	и его	4	3
268	и по	5	3
269	и только	5	3
270	в один	4	3
271	следует за	1	3
272	не так	1	2
273	от него	2	2
274	можно заметить	1	2
275	могут иметь	1	2
276	а потому	8	2
277	которой все	1	2
278	к другу	1	2
279	сделать из	1	2
280	друг к	1	2
281	самого себя	3	2
282	должна быть	2	2
283	из таких	1	2
284	или по	2	2
285	вопросу о	1	2
286	не с	4	2
287	или нет	1	2
288	а подобно	1	2
289	которое может	1	2
290	потому не	1	2
291	например с	1	2
292	случае он	1	2
293	и тот	5	2
294	не на	1	2
295	оно не	7	2
296	в своих	2	2
297	более или	6	2
298	образом если	1	2
299	во вторых	1	2
300	например в	9	2
301	в числе	1	2
302	мы получаем	1	2
303	относятся к	2	2
304	с тем	9	2
305	получает от	1	2
306	многих других	2	2
307	их в	3	2
308	вряд ли	4	2
309	в которых	5	2
310	таких случаях	2	2
311	себя и	4	2
312	только для	3	2
313	не имеет	10	2
314	по этим	1	2
315	когда в	2	2
316	в каком	8	2
317	а эта	1	2
318	во сне	1	2
319	к другому	3	2
320	а а	2	2
321	на другие	7	2
322	не входит	1	2
323	но оно	6	2
324	во всяком	4	2
325	его и	1	2
326	можно сказать	4	2
327	того как	10	2
328	в данном	3	2
329	к другой	4	2
330	и более	4	2
331	он требует	1	2
332	вытекает из	2	2
333	что этот	2	2
334	что мы	16	2
335	в очень	1	2
336	как например	2	2
337	такой случай	1	2
338	на той	2	2
339	но здесь	1	2
340	это делается	1	2
341	одной стороны	4	2
342	можно лишь	1	2
343	другу и	1	2
344	том как	3	2
345	оно как	1	2
346	самых разнообразных	1	2
347	увидим что	2	2
348	что одна	2	2
349	мы получим	1	2
350	что многие	1	2
351	точно так	15	2
352	в одном	4	2
353	в различных	2	2
354	и когда	1	2
355	превращается в	3	2
356	при определении	1	2
357	не что	1	2
358	в совершенно	1	2
359	тогда как	8	2
360	так называемых	3	2
361	в глаза	2	2
362	что же	3	2
363	или вообще	1	2
364	без всякого	2	2
365	тем же	6	2
366	ведьма и	1	2
367	одной из	3	2
368	из первых	1	2
369	на этот	1	2
370	что она	4	2
371	он может	2	2
372	который в	2	2
373	что именно	5	2
374	появляется в	1	2
375	всяком случае	3	2
