N	2gram	Medvedev_I	Tvorches
1	и в	1	56
2	и не	2	23
3	а в	1	23
4	в этом	2	22
5	что в	2	21
6	из подполья	1	21
7	он не	2	19
8	все это	1	17
9	никогда не	1	16
10	достоевского с	1	16
11	и с	3	15
12	в целом	1	12
13	преступления и	1	11
14	для него	1	11
15	и наказания	1	10
16	так и	1	10
17	во многом	1	9
18	и сам	1	7
19	не случайно	1	7
20	и оскорбленных	1	7
21	униженных и	1	7
22	записок из	2	6
23	если бы	1	6
24	творчества достоевского	2	6
25	все эти	1	6
26	в них	1	5
27	с другой	1	5
28	по отношению	1	5
29	я не	1	5
30	а с	1	5
31	не так	1	5
32	самого достоевского	1	5
33	ничего не	2	5
34	отношению к	1	5
35	тем что	1	4
36	о достоевском	2	4
37	говорить о	1	4
38	братья карамазовы	1	4
39	себя в	1	4
40	утверждает что	1	4
41	в основе	1	4
42	того что	1	4
43	это был	1	4
44	о жизни	1	4
45	только что	1	3
46	другой стороны	1	3
47	но когда	1	3
48	только для	1	3
49	и еще	1	3
50	для того	1	3
51	со всеми	1	3
52	мертвого дома	1	3
53	что для	1	3
54	оба они	2	3
55	и др	1	3
56	вплоть до	1	3
57	автора и	1	3
58	и гоголя	1	3
59	а по	1	3
60	жизни и	1	3
61	и очень	1	2
62	в художественном	1	2
63	с героем	1	2
64	в первую	1	2
65	самого себя	2	2
66	по поводу	1	2
67	того же	1	2
68	в эту	1	2
69	не дает	1	2
70	и та	1	2
71	при такой	1	2
72	пушкина и	1	2
73	первую очередь	1	2
74	теперь я	1	2
75	к достоевскому	1	2
76	как о	1	2
77	и гоголь	1	2
78	того чтобы	1	2
79	старика карамазова	1	2
80	многое другое	1	2
81	и многое	1	2
82	и со	1	2
83	и без	1	2
84	должен быть	2	2
85	же это	1	2
86	в руки	1	2
87	из мертвого	1	2
88	и и	1	2
89	и о	1	2
90	он с	1	2
91	бы искать	1	1
92	нет есть	1	1
93	его личности	1	1
94	человеке и	1	1
95	введение в	1	1
96	как только	1	1
97	эпизод с	1	1
98	остался незаконченным	1	1
99	есть только	1	1
100	не слишком	1	1
101	достоевского лежит	1	1
102	бы что	2	1
103	оказывается для	1	1
104	видит в	1	1
105	смердякова и	1	1
106	первой жены	1	1
107	могло бы	1	1
108	это сам	1	1
109	сам писатель	1	1
110	ушел от	1	1
111	бы его	1	1
112	не остается	1	1
113	художественного творчества	1	1
114	дает и	1	1
115	когда его	1	1
116	за границей	1	1
117	к нам	1	1
118	старик карамазов	1	1
119	а если	1	1
120	тех же	1	1
121	более чем	1	1
122	то и	1	1
123	с а	1	1
124	достоевского она	1	1
125	свою жену	1	1
126	всего творчества	1	1
127	ненависть к	1	1
128	из униженных	1	1
129	неудивительно что	1	1
130	без этого	1	1
131	а также	1	1
132	под редакцией	1	1
133	это было	1	1
134	достоевского за	1	1
135	зигмунд фрейд	1	1
136	стало быть	1	1
137	писателя а	1	1
