N	3gram	Medvedev_F	PoTuStor
1	с точки зрения	17	6
2	на самом деле	7	4
3	с самого начала	2	4
4	до сих пор	7	3
5	не может быть	11	3
6	в большинстве случаев	5	3
7	по крайней мере	1	3
8	в этом смысле	3	3
9	по сравнению с	1	3
10	мы полагаем что	3	3
11	во всяком случае	6	3
12	ни в чем	1	3
13	и пр и	4	3
14	все то что	1	2
15	так же как	1	2
16	и может быть	1	2
17	но отнюдь не	1	2
18	по аналогии с	4	2
19	не могут быть	4	2
20	в самом деле	5	2
21	почти совершенно не	1	2
22	пр и пр	4	2
23	в его целом	8	2
24	и в этом	6	2
25	нам кажется что	1	2
26	со всех сторон	1	1
27	каждое из этих	1	1
28	так и в	6	1
29	все же в	1	1
30	в том что	3	1
31	конца хiх начала	1	1
32	мы знаем что	1	1
33	так и с	1	1
34	с его помощью	2	1
35	не следует что	2	1
36	мы не можем	3	1
37	не что иное	1	1
38	в некоторых отношениях	1	1
39	что иное как	1	1
40	первый и основной	1	1
41	не чем иным	1	1
42	могут быть поняты	1	1
43	не имеющие отношения	1	1
44	только из него	1	1
45	вместе с тем	5	1
46	а часто и	2	1
47	мы уже знаем	1	1
48	но вместе с	1	1
49	и не должна	1	1
50	в применении к	4	1
51	в известной степени	1	1
52	каждого из этих	1	1
53	и только из	1	1
54	и прежде всего	2	1
55	в данном случае	2	1
56	мы имеем в	1	1
57	для нашего времени	1	1
58	как мы знаем	2	1
59	вообще не существовало	1	1
60	в том смысле	3	1
61	роковую роль в	2	1
62	конечно не может	1	1
63	как это было	2	1
64	что между ними	1	1
65	же что и	1	1
66	за свой страх	2	1
67	идеологического творчества все	1	1
68	он не дает	1	1
69	и на наших	1	1
70	самом деле в	1	1
71	может быть даже	1	1
72	чем иным как	1	1
73	и самый предмет	1	1
74	же как и	1	1
75	уже знаем что	1	1
76	и пр в	1	1
77	то ни было	1	1
78	имеем в виду	1	1
79	страх и риск	2	1
80	на один шаг	2	1
81	этой точки зрения	1	1
82	один из моментов	1	1
83	тесно примыкают к	1	1
84	в высшей степени	4	1
85	мы увидим что	1	1
86	с этой точки	1	1
87	общем можно сказать	1	1
88	и др но	1	1
89	же совершенно не	1	1
90	свой страх и	2	1
91	форма и содержание	1	1
92	это приводит к	2	1
93	что же делает	1	1
94	как один из	2	1
95	во внешнем мире	1	1
96	для того чтобы	3	1
97	не подлежит конечно	1	1
98	всех без исключения	1	1
99	метод к изучению	1	1
100	даже не пытается	1	1
101	в нем и	2	1
102	с одной стороны	5	1
103	на первый план	1	1
104	и пр это	1	1
105	центр тяжести в	1	1
106	в дальнейшей жизни	1	1
107	характерно для нашего	1	1
108	в этом отношении	7	1
109	и ее требований	1	1
110	связи с этим	4	1
111	бы то ни	4	1
112	и входит в	1	1
113	но даже и	2	1
114	в общем можно	1	1
115	как это делала	1	1
116	может быть при	1	1
117	в связи с	9	1
118	имеющие отношения к	1	1
