N	2gram	Berdyaev_N	Freidism
1	и не	11	34
2	не может	16	30
3	и пр	3	29
4	в этом	7	28
5	может быть	7	28
6	и в	16	28
7	прежде всего	4	26
8	в его	1	25
9	и его	1	22
10	то что	4	17
11	все эти	2	15
12	так как	1	15
13	с ним	1	14
14	в своей	3	14
15	так и	2	14
16	и все	4	13
17	как и	7	13
18	но в	2	13
19	во всех	3	13
20	в самом	1	12
21	ни в	6	12
22	что он	1	12
23	том что	2	12
24	все это	5	12
25	и потому	4	12
26	только в	1	11
27	сказать что	3	11
28	все что	1	10
29	не только	5	10
30	и с	2	10
31	но и	3	10
32	конечно не	3	10
33	никогда не	6	10
34	в том	8	10
35	мы уже	1	10
36	он не	8	10
37	за пределы	3	10
38	не в	6	10
39	и на	2	9
40	уже не	2	9
41	во всяком	1	9
42	мы не	2	9
43	с его	6	9
44	к нему	1	9
45	в чем	1	9
46	а не	17	9
47	мы должны	1	9
48	могут быть	2	9
49	еще не	3	8
50	с этим	2	8
51	было бы	1	8
52	а в	2	8
53	с другими	1	8
54	в ней	5	8
55	всяком случае	1	8
56	что в	9	7
57	и к	5	7
58	не могут	1	7
59	в жизни	5	7
60	роль в	2	7
61	хотя бы	2	7
62	в каком	1	7
63	что все	2	7
64	и для	4	7
65	из них	1	7
66	на протяжении	2	7
67	но не	2	7
68	и у	1	7
69	в нем	5	7
70	в этой	1	7
71	в себе	2	7
72	жизни и	8	7
73	в то	2	7
74	не менее	4	6
75	к тому	3	6
76	можно сказать	1	6
77	в основе	3	6
78	в свою	1	6
79	для того	1	6
80	из этих	1	6
81	высшей степени	6	6
82	протяжении всей	1	6
83	что такое	3	6
84	во время	1	6
85	большинстве случаев	1	6
86	она не	3	6
87	совсем не	12	6
88	и что	2	6
89	человека и	3	6
90	в высшей	6	6
91	и только	1	6
92	для этого	2	6
93	в более	1	5
94	вместе с	2	5
95	того чтобы	2	5
96	говорить о	1	5
97	и до	1	5
98	что она	2	5
99	это не	4	5
100	в ее	3	5
101	с их	2	5
102	в которой	1	5
103	в этих	1	5
104	не было	4	5
105	не знает	6	5
106	как это	2	5
107	от того	1	5
108	в большинстве	1	5
109	в период	1	5
110	смысле слова	3	4
111	мысли и	2	4
112	характер и	1	4
113	в виду	1	4
114	по себе	1	4
115	так называемый	1	4
116	как в	3	4
117	себя и	1	4
118	зависимости от	1	4
119	и истории	1	4
120	это и	2	4
121	в котором	1	4
122	потому что	4	4
123	и оно	1	4
124	не всегда	1	4
125	в этот	1	4
126	и т.п	2	4
127	в мир	1	4
128	в истории	3	4
129	так же	2	4
130	нет и	2	4
131	в своем	1	4
132	все время	2	4
133	одна из	2	4
134	но это	6	4
135	всех своих	1	4
136	человека в	1	4
137	на всех	1	4
138	у него	2	4
139	не существует	3	4
140	в зависимости	1	4
141	но ведь	1	4
142	я не	2	4
143	по своему	4	4
144	сам человек	1	4
145	должны быть	1	4
146	своей основе	1	4
147	к ней	1	4
148	в области	1	4
149	с ее	5	4
150	для всех	1	3
151	до сих	1	3
152	в центре	2	3
153	и очень	1	3
154	это уже	1	3
155	мы в	1	3
156	для них	1	3
157	разобраться в	1	3
158	нет никакого	1	3
159	в них	4	3
160	в основу	1	3
161	оно не	1	3
162	и даже	2	3
163	их в	1	3
164	значение в	1	3
165	жизни в	3	3
166	приводит к	1	3
167	мыслей и	1	3
168	для настоящего	1	3
169	жизни к	4	3
170	связано с	1	3
171	в обществе	2	3
172	что мы	1	3
173	уже в	1	3
174	как на	1	3
175	о том	4	3
176	того же	1	3
177	мир в	1	3
178	современной европы	1	3
179	они не	1	3
180	к себе	1	3
181	мы конечно	1	3
182	у нас	1	3
183	от всех	1	3
184	этого не	1	3
185	не больше	1	3
186	в силах	1	3
187	на себя	1	3
188	но для	2	3
189	такой же	2	3
190	и она	1	3
191	есть только	1	3
192	себе и	1	3
193	сих пор	1	3
194	как не	8	3
195	но во	1	3
196	центр тяжести	2	3
197	явление в	1	3
198	себя в	2	3
199	бы он	1	3
200	них не	1	3
201	и от	2	3
202	и есть	10	3
203	формы и	2	3
204	оно может	1	3
205	на место	1	3
206	нуждается в	1	3
207	ведь и	2	3
208	в эпоху	9	3
209	на это	1	3
210	социальной жизни	1	2
211	вступить в	1	2
212	и этот	1	2
213	к этой	1	2
214	жизни а	1	2
215	должна быть	3	2
216	для себя	1	2
217	и их	1	2
218	большую роль	4	2
219	это есть	7	2
220	нас к	1	2
221	она становится	1	2
222	в стихии	1	2
223	их не	1	2
224	особого рода	1	2
225	но все	1	2
226	разложения и	1	2
227	сторон жизни	1	2
228	жизнь в	1	2
229	равно как	2	2
230	для сознания	1	2
231	в мире	3	2
232	и творчества	2	2
233	человека на	1	2
234	только для	1	2
235	не имеет	4	2
236	ли он	1	2
237	нет в	1	2
238	и было	2	2
239	все они	2	2
240	всего они	1	2
241	в такой	1	2
242	человека так	1	2
243	должно быть	4	2
244	вопрос о	3	2
245	и начинается	2	2
246	во внешнюю	1	2
247	связана с	2	2
248	одной стороны	2	2
249	значение для	1	2
250	распадается на	1	2
251	от других	1	2
252	превращается в	1	2
253	той социальной	1	2
254	с другой	3	2
255	в прошлом	3	2
256	в отличие	1	2
257	и во	1	2
258	только одна	1	2
259	социальные и	1	2
260	друг друга	1	2
261	проходит через	1	2
262	по преимуществу	1	2
263	выходит за	1	2
264	ничем не	1	2
265	зависит от	2	2
266	с одной	2	2
267	такого рода	2	2
268	в состоянии	1	2
269	и через	1	2
270	он и	1	2
271	в формы	1	2
272	каждого человека	2	2
273	весь мир	1	2
274	а на	1	2
275	отказаться от	1	2
276	а также	1	2
277	будто бы	1	2
278	в глубине	1	2
279	в конце	1	2
280	вообще не	1	2
281	он в	1	2
282	же как	2	2
283	не есть	3	2
284	стремление к	2	2
285	от этого	1	2
286	это было	3	2
287	связанный с	1	2
288	должен быть	5	2
289	в эту	1	2
290	чтобы разобраться	1	2
291	связаны с	2	2
292	на них	1	2
293	и мысли	1	2
294	все другие	1	2
295	отличие от	1	2
296	ли это	2	2
297	вся жизнь	1	2
298	с большим	1	2
299	есть и	1	2
300	освобождение от	1	2
301	ни одно	1	2
302	этом смысле	2	2
303	думать что	2	2
304	когда мы	2	2
305	и явления	1	2
306	во многом	1	2
307	личность в	2	2
308	но нет	1	2
309	всех сторон	4	2
310	всю жизнь	1	2
311	но если	1	2
312	человек не	1	2
313	в одну	2	2
314	не к	2	2
315	мир не	1	1
316	во всем	1	1
317	уже во	1	1
318	они являются	1	1
319	философии и	1	1
320	по существу	2	1
321	мышления не	1	1
322	наши дни	3	1
323	он стремится	1	1
324	идеология в	1	1
325	т.е к	1	1
326	которая в	1	1
327	и изнутри	1	1
328	познания и	2	1
329	на ее	1	1
330	есть прежде	1	1
331	и оттуда	1	1
332	и должно	2	1
333	групп и	1	1
334	из всех	1	1
335	это совсем	2	1
336	думаю что	1	1
337	формы познания	1	1
338	эпохи не	1	1
339	быть может	4	1
340	на заре	1	1
341	человека во	2	1
342	с собой	1	1
343	творчества и	1	1
344	на смену	1	1
345	что нет	1	1
346	и связаны	1	1
347	время как	2	1
348	мы живем	5	1
349	до войны	1	1
350	жизни от	1	1
351	мы говорим	2	1
352	оно есть	1	1
353	вопрос этот	1	1
354	тем что	1	1
355	и начало	3	1
356	и культур	1	1
357	то время	1	1
358	возврата в	1	1
359	и разложения	1	1
360	эти черты	1	1
361	с тем	3	1
362	уже нет	1	1
363	выход из	1	1
364	и отдельных	1	1
365	который не	1	1
366	в это	1	1
367	вся культура	1	1
368	дальше и	1	1
369	менее всего	1	1
370	жизни мы	1	1
371	к той	1	1
372	и нет	1	1
373	который и	1	1
374	но оно	1	1
375	нет ничего	1	1
376	особенно для	1	1
377	и пути	1	1
378	и того	1	1
379	эпоху упадка	1	1
380	возврата и	1	1
381	во все	1	1
382	заложенных в	1	1
383	не хотим	2	1
384	образования и	1	1
385	истории не	3	1
386	то это	1	1
387	что этот	1	1
388	не имеют	2	1
389	со всех	4	1
390	силы и	2	1
391	я пытаюсь	1	1
392	истории но	1	1
393	в каких	1	1
394	быть не	1	1
395	имея в	1	1
396	должны перейти	1	1
397	что вся	1	1
398	к своим	1	1
399	в которую	1	1
400	власть как	2	1
401	теми которые	1	1
402	и когда	1	1
403	было такого	3	1
404	людей и	1	1
405	все категории	2	1
406	не признают	1	1
407	времени и	2	1
408	стихии которая	1	1
409	свободно и	1	1
410	а во	1	1
411	основанная на	1	1
412	всего что	1	1
413	нашей жизни	1	1
414	человечества в	1	1
415	и формы	2	1
416	этого мира	1	1
417	все положительные	1	1
418	и еще	1	1
419	переход от	1	1
420	они совсем	1	1
421	быть понята	1	1
422	во внешней	1	1
423	жизни как	2	1
424	к которому	1	1
425	политической жизни	1	1
426	невинным и	1	1
427	является возврат	1	1
428	противоположного характера	1	1
429	он может	1	1
430	они сами	1	1
431	в атмосфере	1	1
432	которыми так	1	1
433	который в	2	1
434	себя все	1	1
435	только потому	1	1
436	качественном своеобразии	1	1
437	и культурный	1	1
438	к ее	3	1
439	государство и	2	1
440	жизни с	1	1
441	римской империи	1	1
442	жизни которые	3	1
443	эту эпоху	1	1
444	бытия а	1	1
445	к содержанию	2	1
446	еще достаточно	1	1
447	все в	1	1
448	ближе к	1	1
449	и весь	2	1
450	и культуры	2	1
451	или к	1	1
452	мира нового	1	1
453	рода и	1	1
454	нет ни	1	1
455	на путях	2	1
456	пришли к	1	1
457	права и	2	1
458	что представляется	1	1
459	нам предстоит	1	1
460	борьба и	2	1
461	жизни хочет	1	1
462	своего научного	1	1
463	это я	1	1
464	кризисов и	1	1
465	никакого ответа	1	1
466	хотя и	2	1
467	переход к	2	1
468	а это	1	1
469	сторона жизни	1	1
470	процессы в	1	1
471	не хочет	1	1
472	в недрах	1	1
473	культуры на	1	1
474	есть в	2	1
475	не способен	1	1
476	может остаться	1	1
477	они будут	1	1
478	может вступить	1	1
479	в формах	1	1
480	в будущем	2	1
481	он конечно	1	1
482	века и	2	1
483	нет для	1	1
484	жизни это	1	1
485	в свои	2	1
486	форме он	1	1
487	к чему	1	1
488	что его	1	1
489	про себя	1	1
490	на нее	1	1
491	основе их	1	1
492	возможны только	1	1
493	всех сферах	3	1
494	мира а	2	1
495	и совсем	1	1
496	долгое время	1	1
497	но я	2	1
498	не начало	1	1
499	всех странах	1	1
500	и воля	1	1
501	и изолированной	1	1
502	так на	1	1
503	и которые	1	1
504	мира и	2	1
505	перейти к	3	1
506	того и	1	1
507	не на	1	1
508	должно стать	2	1
509	своей энергии	1	1
510	лишь для	1	1
511	и это	2	1
512	в смысле	2	1
513	за существование	1	1
514	свою противоположность	1	1
515	как результат	1	1
