N	4gram	Vygotskiy_	Morfolog
1	образом мы видим что	2	4
2	таким образом мы видим	1	4
3	состоит в том что	2	3
4	в то время как	4	3
5	в собственном смысле слова	2	3
6	бы то ни было	1	2
7	не что иное как	2	2
8	но если это так	1	2
9	между тем мы видим	1	1
10	с этой точки зрения	3	1
11	то для того чтобы	1	1
12	а на самом деле	1	1
13	можно было бы показать	1	1
14	но для наших целей	1	1
15	ни одна из них	1	1
16	и т д и	1	1
17	если это так то	1	1
18	как бы в том	1	1
19	решить вопрос о том	2	1
20	в том что он	2	1
21	указанием на то что	1	1
22	одно и то же	3	1
23	для наших целей это	1	1
24	каждый в отдельности может	1	1
25	на самом деле он	1	1
26	на то что ему	1	1
27	если бы мы имели	1	1
28	ответить на этот вопрос	1	1
29	сомневаться в том что	1	1
30	в то же время	1	1
31	один и тот же	1	1
32	до сих пор не	1	1
33	мы видим таким образом	2	1
34	приводит к тому что	1	1
35	а для того чтобы	1	1
36	из которых каждый в	1	1
37	показать как в этих	1	1
38	на самом деле в	1	1
39	мы видим что с	1	1
40	с самого начала в	1	1
41	на то что в	2	1
42	к тому что при	1	1
43	которых каждый в отдельности	1	1
44	видим таким образом что	2	1
