N	4gram	Bakhtin_Fr	Russkaja
1	в то же время	12	10
2	и в другом случае	1	2
3	в том и в	1	2
4	и в том и	1	2
5	том и в другом	1	2
6	по самому своему существу	1	1
7	мы уже знаем что	1	1
8	то же время в	1	1
9	дело в том что	2	1
10	подлежит никакому сомнению что	1	1
11	не подлежит никакому сомнению	1	1
12	заключается в том что	1	1
13	и прежде всего в	1	1
14	в большинстве случаев это	1	1
15	говорили в другом месте	1	1
16	но в то же	3	1
17	в том числе и	2	1
18	их в самом себе	1	1
19	одного и того же	1	1
20	но на самом деле	1	1
