N	2gram	Trubetskoy	Istorich
1	и в	24	181
2	может быть	17	115
3	не только	10	114
4	что он	7	111
5	что в	9	90
6	но и	11	85
7	в этом	13	81
8	так как	7	75
9	то что	18	73
10	таким образом	34	72
11	вместе с	7	71
12	и не	9	67
13	мы видим	1	65
14	все же	15	65
15	в этих	3	64
16	еще не	6	63
17	не может	18	61
18	так же	8	57
19	то же	4	56
20	никогда не	4	56
21	в том	31	53
22	том что	20	53
23	а в	3	52
24	с другой	6	52
25	потому что	9	52
26	и что	9	51
27	что и	7	51
28	мы видели	2	49
29	а не	1	48
30	о том	7	48
31	его в	5	47
32	не в	9	47
33	другой стороны	5	46
34	и пр	1	44
35	мы должны	4	44
36	но в	5	44
37	это не	3	43
38	и его	2	43
39	мы знаем	10	42
40	в нем	3	42
41	только в	6	42
42	как в	1	42
43	представление о	3	41
44	тем что	1	38
45	и на	6	38
46	в его	5	38
47	для нас	3	38
48	как и	10	37
49	уже не	1	37
50	мы уже	4	37
51	он не	4	37
52	так и	10	37
53	знаем что	8	36
54	мы можем	6	36
55	что они	2	35
56	с тем	4	35
57	мы не	1	35
58	здесь мы	1	35
59	все эти	19	35
60	связи с	4	34
61	но не	3	34
62	а именно	1	34
63	у него	5	34
64	что это	5	34
65	видим что	1	34
66	же как	3	33
67	сих пор	15	32
68	в качестве	1	32
69	один из	1	31
70	прежде всего	3	31
71	то это	1	31
72	так в	1	31
73	ничего не	1	31
74	с этим	12	30
75	с одной	3	30
76	до сих	15	30
77	к нему	2	30
78	при помощи	3	30
79	этом случае	4	29
80	но все	5	29
81	одной стороны	2	29
82	как мы	3	29
83	и другие	1	28
84	что она	2	28
85	и с	5	28
86	например в	1	28
87	так что	6	27
88	могут быть	1	27
89	того что	7	27
90	в ином	1	27
91	на него	2	26
92	в ней	3	26
93	вопрос о	3	25
94	в дальнейшем	4	25
95	не менее	7	24
96	к этому	5	24
97	было бы	3	24
98	раньше чем	1	24
99	того как	1	24
100	в виде	4	24
101	если бы	8	24
102	что мы	4	24
103	их в	2	23
104	как бы	10	23
105	точно так	1	23
106	и это	3	23
107	показывают что	2	23
108	тем не	4	23
109	в этой	7	23
110	все это	13	23
111	в частности	2	23
112	и по	3	22
113	с ним	6	22
114	при этом	9	22
115	в другом	2	21
116	сказать что	1	21
117	совершенно ясно	2	21
118	в связи	3	21
119	здесь не	1	21
120	к тому	8	21
121	они не	2	21
122	ее в	1	21
123	это представление	3	21
124	из них	5	20
125	из этих	8	20
126	она не	2	20
127	наряду с	1	20
128	одна из	2	20
129	в других	1	20
130	в силу	7	20
131	видели что	1	20
132	другими словами	2	20
133	а затем	2	19
134	что у	2	19
135	на том	2	19
136	но он	1	19
137	в тех	3	19
138	в другой	1	19
139	не совсем	1	19
140	на то	9	19
141	и как	1	19
142	после этого	1	18
143	в то	6	18
144	что этот	1	18
145	в данном	3	18
146	вовсе не	2	18
147	в них	2	17
148	можно найти	1	17
149	очень много	3	17
150	у народов	1	17
151	выше мы	4	17
152	то и	2	17
153	по существу	7	17
154	и только	2	17
155	во всех	10	16
156	этот вопрос	2	16
157	возможно что	1	16
158	всех этих	4	16
159	в котором	2	16
160	между двумя	5	16
161	не вполне	3	16
162	и все	9	16
163	со стороны	1	16
164	перед нами	1	16
165	даже в	3	15
166	увидим что	1	15
167	что при	7	15
168	уже знаем	1	15
169	и то	4	15
170	в своей	1	15
171	в которых	2	15
172	данном случае	3	15
173	и там	2	15
174	и эти	1	15
175	как будто	5	15
176	и даже	1	15
177	на его	1	15
178	и тем	1	15
179	он в	1	15
180	друг друга	2	15
181	в целом	5	15
182	с этой	3	14
183	от него	3	14
184	но мы	1	14
185	по отношению	11	14
186	находится в	1	14
187	можно было	1	14
188	и ее	2	14
189	на вопрос	4	14
190	у нас	3	14
191	образом мы	1	14
192	должна быть	6	14
193	из которых	4	14
194	с ней	1	14
195	отношение к	4	14
196	отношению к	11	14
197	на себя	1	14
198	и наконец	3	14
199	в своем	12	13
200	на котором	1	13
201	время как	1	13
202	то время	2	13
203	тогда как	6	13
204	и для	6	13
205	в себе	5	13
206	все что	10	13
207	и у	4	13
208	на этом	2	13
209	и от	5	13
210	с ними	2	13
211	не имеет	2	13
212	к своему	1	13
213	и если	6	13
214	таким же	3	13
215	во всем	3	12
216	кроме того	1	12
217	попасть в	1	12
218	хотя бы	4	12
219	а потом	1	12
220	в их	4	12
221	на более	2	12
222	к ней	1	12
223	не знает	2	12
224	одним из	4	12
225	между прочим	2	12
226	ни один	4	12
227	чаще всего	1	12
228	представление об	4	12
229	за ним	1	12
230	в более	1	12
231	случаях когда	3	12
232	и их	5	12
233	только после	1	12
234	в этот	1	11
235	к которому	1	11
236	точки зрения	14	11
237	ясно что	8	11
238	я не	2	11
239	от этого	1	11
240	должны быть	3	11
241	главным образом	1	11
242	стоит на	1	11
243	никто не	2	11
244	иное как	1	11
245	только с	1	11
246	уже в	1	11
247	на нее	2	11
248	если он	2	11
249	тех случаях	1	11
250	хотя и	4	11
251	и вот	1	11
252	на которой	1	11
253	и более	2	11
254	этого не	1	11
255	такой же	2	11
256	далеко не	5	11
257	и к	5	10
258	на земле	3	10
259	к ним	2	10
260	от них	2	10
261	но так	2	10
262	не было	2	10
263	в которой	5	10
264	а с	4	10
265	его к	1	10
266	вступает в	1	10
267	еще один	1	10
268	что же	2	10
269	но если	2	10
270	ее на	1	10
271	он и	1	10
272	однако это	2	10
273	связаны с	1	10
274	и других	3	10
275	то не	1	10
276	на этой	3	10
277	в различных	1	10
278	приходит к	1	10
279	друг с	9	10
280	не мог	1	10
281	в состоянии	5	10
282	в ее	1	10
283	но как	2	10
284	а если	1	10
285	не знаем	1	10
286	он может	1	10
287	а на	1	10
288	есть только	2	10
289	что эти	2	10
290	что эта	4	10
291	более или	8	9
292	на первый	2	9
293	только на	1	9
294	том чтобы	2	9
295	но для	2	9
296	не будет	5	9
297	совершенно так	4	9
298	и хотя	1	9
299	социальной жизни	4	9
300	тогда когда	3	9
301	и так	2	9
302	зависимости от	2	9
303	это и	1	9
304	в течение	4	9
305	в свою	2	9
306	целый ряд	4	9
307	тот же	3	9
308	он должен	2	9
309	зависит от	1	9
310	из этого	7	9
311	которой он	1	9
312	когда она	1	9
313	что за	2	9
314	не могут	4	9
315	в себя	2	9
316	а как	1	9
317	если это	2	9
318	в основе	2	9
319	в истории	3	9
320	с его	1	9
321	из него	2	9
322	же не	3	9
323	но по	3	9
324	с другом	9	9
325	или менее	8	9
326	стоит в	1	9
327	приводит к	1	9
328	что на	2	9
329	по этому	2	9
330	жизни и	2	9
331	только что	3	8
332	и сам	2	8
333	именно в	5	8
334	во всяком	2	8
335	конечно не	3	8
336	они должны	3	8
337	с другими	1	8
338	мы будем	3	8
339	есть ли	1	8
340	не так	4	8
341	та же	4	8
342	на нем	1	8
343	из его	1	8
344	только тогда	2	8
345	говорят что	1	8
346	видели выше	1	8
347	у них	6	8
348	независимо от	2	8
349	смысле этого	1	8
350	ту же	2	8
351	и другое	1	8
352	первобытных народов	1	8
353	и потому	3	8
354	оказывается что	5	8
355	тем самым	3	8
356	но вместе	2	8
357	же самое	1	8
358	для этого	7	8
359	одно из	3	8
360	роль в	1	8
361	входит в	1	8
362	в зависимости	1	8
363	она и	1	8
364	что его	4	8
365	в целях	1	8
366	надо сказать	1	8
367	в современной	1	8
368	образом и	2	8
369	и из	2	8
370	на своем	1	8
371	большей частью	1	8
372	кажется что	1	8
373	что такое	1	8
374	но с	2	8
375	и эта	1	8
376	должен быть	2	8
377	в жизни	3	8
378	от того	3	8
379	этих народов	5	7
380	этой стороны	1	7
381	первый взгляд	1	7
382	уже и	3	7
383	еще нет	1	7
384	а сам	1	7
385	и некоторые	2	7
386	будто бы	1	7
387	тому что	2	7
388	не есть	4	7
389	между собой	4	7
390	о которых	7	7
391	в эту	2	7
392	случаев в	1	7
393	между тем	12	7
394	если в	1	7
395	и при	6	7
396	самом деле	12	7
397	нет в	2	7
398	происхождение этого	1	7
399	состоит в	1	7
400	что оно	3	7
401	на самом	7	7
402	что ни	1	7
403	образом в	3	7
404	на них	1	7
405	не по	1	7
406	в начале	3	7
407	в области	4	7
408	случае мы	1	7
409	по всему	1	7
410	на куски	1	7
411	те же	2	7
412	во многих	1	7
413	связь между	1	7
414	я буду	1	7
415	как на	6	7
416	в европе	6	7
417	ее и	4	7
418	в конце	4	7
419	себе и	1	7
420	а только	1	7
421	ли это	1	7
422	того же	9	7
423	однако в	1	7
424	не то	3	7
425	можно только	1	7
426	не противоречит	1	7
427	состоит из	4	7
428	совершенно не	4	7
429	тех же	2	7
430	того чтобы	8	7
431	если мы	4	7
432	что я	1	7
433	этого слова	2	7
434	всяком случае	2	7
435	для него	2	7
436	как у	3	7
437	со своим	1	7
438	а то	1	7
439	свет на	1	7
440	по его	2	7
441	с самого	1	7
442	составные части	1	7
443	и часто	1	7
444	со своими	2	7
445	есть не	1	7
446	же и	1	6
447	между ними	2	6
448	не потому	2	6
449	из всего	1	6
450	на эту	1	6
451	у австралийцев	1	6
452	можно ли	2	6
453	той же	2	6
454	не происходит	1	6
455	все его	2	6
456	из приведенных	1	6
457	если я	1	6
458	что как	4	6
459	долго ли	1	6
460	не могла	1	6
461	оно может	1	6
462	на место	1	6
463	в одну	4	6
464	к сожалению	1	6
465	что по	3	6
466	нет ничего	1	6
467	сам он	1	6
468	этого явления	2	6
469	от которого	2	6
470	становится понятным	1	6
471	этих двух	2	6
472	это конечно	2	6
473	отличие от	3	6
474	на ступени	1	6
475	также и	2	6
476	одну из	2	6
477	же что	2	6
478	самое что	1	6
479	часто в	1	6
480	не случайно	1	6
481	для того	8	6
482	сводится к	2	6
483	самого начала	1	6
484	а после	1	6
485	что ее	1	6
486	народов не	1	6
487	от себя	2	6
488	то в	2	6
489	с большим	1	6
490	к жизни	1	6
491	что все	5	6
492	тому же	6	6
493	это может	2	6
494	более позднее	1	6
495	имеет свою	1	6
496	быть и	5	6
497	были бы	1	6
498	они и	1	6
499	отношения к	1	6
500	борьбы с	2	6
501	этой точки	1	6
502	к которой	3	6
503	заметить что	1	6
504	он все	2	6
505	же он	1	6
506	ничем не	5	6
507	и оно	1	6
508	на той	1	6
509	обстоит дело	1	6
510	вступают в	2	6
511	только по	1	6
512	и уже	2	6
513	в виду	2	5
514	в своих	2	5
515	мы и	2	5
516	бы в	3	5
517	не имели	1	5
518	из себя	10	5
519	или не	1	5
520	нами в	1	5
521	но когда	1	5
522	в сторону	3	5
523	эти слова	1	5
524	проникнуть в	1	5
525	по своей	7	5
526	по другим	1	5
527	с ее	2	5
528	ним и	1	5
529	из таких	2	5
530	можно назвать	3	5
531	да и	1	5
532	о котором	7	5
533	что если	3	5
534	в совершенно	3	5
535	указывают на	3	5
536	что во	1	5
537	иногда в	1	5
538	нас не	1	5
539	или с	1	5
540	основана на	1	5
541	уже очень	1	5
542	чтобы узнать	1	5
543	эти две	1	5
544	другом месте	1	5
545	по своему	5	5
546	на все	5	5
547	однако не	1	5
548	на задний	1	5
549	но при	1	5
550	и может	3	5
551	которые не	3	5
552	еще более	1	5
553	в одно	2	5
554	только для	1	5
555	со своей	2	5
556	но даже	3	5
557	всего что	1	5
558	но этот	1	5
559	ней и	1	5
560	несмотря на	6	5
561	что между	1	5
562	что от	1	5
563	что под	2	5
564	в таком	4	5
565	эти примеры	2	5
566	и затем	1	5
567	очень мало	2	5
568	друг другу	1	5
569	это делает	1	5
570	всмотреться в	1	5
571	всех сторон	1	5
572	если они	1	5
573	в один	2	5
574	вступить в	1	5
575	никак не	1	5
576	в область	1	5
577	в нашей	1	5
578	примеры показывают	1	5
579	как о	1	5
580	много но	1	5
581	знает что	1	5
582	ее с	1	5
583	без всякого	1	5
584	ее не	1	5
585	они были	1	5
586	том числе	1	5
587	отличается от	6	5
588	как нечто	1	5
589	или иначе	5	5
590	что представление	2	5
591	чтобы быть	2	5
592	к концу	1	5
593	это было	1	5
594	их на	1	5
595	и социальной	2	5
596	задний план	1	5
597	имеются и	1	5
598	в самом	8	4
599	в разных	3	4
600	в пользу	5	4
601	его он	1	4
602	живут в	1	4
603	в результате	9	4
604	на которых	1	4
605	некоторые другие	1	4
606	этим он	1	4
607	здесь дело	1	4
608	каждый из	3	4
609	на пути	1	4
610	людей и	1	4
611	и те	2	4
612	друг на	2	4
613	на одну	1	4
614	во всей	2	4
615	из трех	1	4
616	что именно	1	4
617	он сам	1	4
618	к этим	1	4
619	для этой	2	4
620	к их	1	4
621	своем пути	1	4
622	чем в	3	4
623	очевидно что	3	4
624	их от	1	4
625	из одного	2	4
626	идет по	1	4
627	иметь в	1	4
628	того кто	1	4
629	ноги и	1	4
630	отнюдь не	2	4
631	от нее	2	4
632	и сейчас	4	4
633	так или	5	4
634	впечатление что	1	4
635	на друга	2	4
636	по сравнению	5	4
637	быть не	1	4
638	с которой	1	4
639	затем уже	1	4
640	но на	2	4
641	а это	2	4
642	нами выше	1	4
643	есть в	2	4
644	а так	1	4
645	тем более	3	4
646	в народе	4	4
647	а его	1	4
648	две стороны	1	4
649	выше в	1	4
650	некоторые черты	1	4
651	или нет	1	4
652	теперь мы	2	4
653	мысль о	1	4
654	вопрос этот	1	4
655	так если	1	4
656	так чтобы	2	4
657	ответить на	2	4
658	силы и	1	4
659	в руках	1	4
660	в чистом	1	4
661	и вообще	3	4
662	исходит из	1	4
663	на почве	3	4
