N	4gram	Vygotskiy_	RusskieA
1	состоит в том что	3	26
2	в том что в	2	8
3	не что иное как	1	4
4	на самом же деле	1	3
5	до тех пор пока	1	3
6	в том что это	1	3
7	как это имеет место	1	3
8	но вместе с тем	2	3
9	так же как и	2	3
10	что в этом случае	2	2
11	вместе с тем и	2	2
12	ни одно из этих	1	2
13	привело к тому что	1	2
14	той только разницей что	1	1
15	тем не менее эти	1	1
16	не играют никакой роли	1	1
17	с той только разницей	1	1
18	друг к другу и	1	1
19	это имеет место на	1	1
20	и состоит в том	1	1
21	как одна из основных	1	1
22	вопрос о том как	1	1
23	не оставляют сомнения в	1	1
24	как мы увидим ниже	1	1
25	мы видели что в	1	1
26	о которой идет речь	1	1
27	дело здесь не в	1	1
28	но совершенно очевидно что	1	1
29	это в свою очередь	1	1
30	в то время как	7	1
31	самом же деле это	1	1
32	в том что они	1	1
33	одного и того же	3	1
34	оставляют сомнения в том	1	1
35	сомнения в том что	1	1
36	о том что в	1	1
37	значение подобно тому как	1	1
38	до сих пор в	1	1
39	одном и том же	3	1
40	только о том что	1	1
41	только по отношению к	1	1
42	сомнений в том что	1	1
43	привела к тому что	1	1
44	по этому поводу в	1	1
45	в этом и состоит	1	1
46	приводит к тому что	3	1
47	в то время когда	1	1
48	в этом случае он	1	1
49	только после того как	1	1
