N	3gram	Voloshinov	Narrotol
1	в том что	9	18
2	не только в	2	13
3	в отличие от	7	11
4	по отношению к	9	11
5	к тому же	2	9
6	о том что	2	9
7	не может быть	23	8
8	тем не менее	3	8
9	не сводится к	1	8
10	в соответствии с	1	8
11	той или иной	5	8
12	то же время	7	8
13	в то же	7	8
14	в этом отношении	4	8
15	можно сказать что	4	6
16	во времени и	1	6
17	с одной стороны	2	6
18	для того чтобы	7	5
19	но при этом	2	5
20	в свою очередь	5	5
21	но и в	3	5
22	на самом деле	5	5
23	подобно тому как	1	5
24	начало и конец	1	4
25	в конечном счете	1	4
26	к тому что	4	4
27	в равной степени	1	4
28	во всяком случае	4	4
29	в самом деле	13	3
30	и не может	11	3
31	а в том	1	3
32	до сих пор	10	3
33	в этом и	1	3
34	в первом случае	3	3
35	в зависимости от	2	3
36	в связи с	12	3
37	то же самое	8	3
38	могла бы и	1	3
39	того или иного	2	3
40	на то что	2	3
41	по природе своей	1	3
42	с точки зрения	31	3
43	дело в том	1	3
44	в той или	3	2
45	и не в	3	2
46	они и не	1	2
47	более или менее	3	2
48	и то же	3	2
49	в таком случае	5	2
50	одного и того	9	2
51	сами по себе	1	2
52	а между тем	1	2
53	не только не	1	2
54	чем иным как	1	2
55	как если бы	6	2
56	и того же	9	2
57	понимания а не	1	2
58	прежде всего на	1	2
59	но все же	4	2
60	именно то что	1	2
61	в новейшее время	1	2
62	тому или иному	1	2
63	все же не	1	2
64	с той или	1	2
65	которым можно было	1	2
66	одно и то	3	2
67	в отрыве от	1	2
68	можно было бы	2	2
69	с установкой на	2	2
70	так же как	2	2
71	в русской литературе	1	2
72	не зависит от	1	2
73	тем или иным	1	2
74	друг для друга	1	2
75	что иное как	1	2
76	в этом последнем	2	2
77	не могли бы	1	1
78	как она есть	1	1
79	одной стороны и	1	1
80	опоры в действительности	1	1
81	и тот же	3	1
82	и как бы	1	1
83	а не иначе	1	1
84	что и для	1	1
85	не было в	1	1
86	между историей и	1	1
87	мы уже знаем	2	1
88	в этом направлении	1	1
89	для себя и	1	1
90	или иной степени	2	1
91	в той же	1	1
92	отнюдь не является	5	1
93	до известной степени	2	1
94	никогда не будет	1	1
95	в большинстве случаев	7	1
96	на том что	1	1
97	в этом смысле	2	1
98	по сравнению с	1	1
99	и в другом	1	1
100	то или иное	1	1
101	продукт социального взаимодействия	1	1
102	ничего не доказывает	1	1
103	речь не может	1	1
104	степени в какой	1	1
105	в предыдущей главе	1	1
106	то что обычно	1	1
107	в этом процессе	1	1
108	в том числе	3	1
109	всех без исключения	5	1
110	они являются не	1	1
111	на протяжении веков	1	1
112	но именно это	1	1
113	но для того	1	1
114	друг от друга	1	1
115	но они не	1	1
116	как бы не	1	1
117	так или иначе	2	1
118	связи с этим	3	1
119	так и в	2	1
120	друг с другом	2	1
121	так а не	1	1
122	на себя самого	1	1
123	в своей индивидуальности	1	1
124	текста но и	1	1
125	что все эти	1	1
126	не утрачивая своей	1	1
127	может быть сведена	1	1
128	большей или меньшей	1	1
129	по аналогии с	1	1
130	само по себе	2	1
131	или даже вовсе	1	1
132	доказывает и не	1	1
133	точки зрения в	1	1
134	не существует ни	1	1
135	людей так и	2	1
136	то ни было	11	1
137	взаимодействия и борьбы	1	1
138	но в этом	1	1
139	слова с его	1	1
140	какой бы то	3	1
141	а не в	3	1
142	и т.п но	1	1
143	как мы узнаем	1	1
144	же время они	1	1
145	том числе и	3	1
146	с другой стороны	6	1
147	не доказывает и	1	1
148	бы то ни	11	1
149	во втором случае	1	1
150	как мы увидим	2	1
151	а не только	1	1
152	в чем же	2	1
153	в значительной степени	3	1
154	и т.п в	3	1
155	и т.п то	1	1
156	или хотя бы	2	1
157	языка как системы	7	1
158	одним и тем	2	1
159	может быть только	1	1
160	в нашем случае	1	1
161	видим и не	1	1
162	и здесь она	1	1
163	же обстоит дело	1	1
164	только по отношению	1	1
165	только благодаря этому	1	1
166	как бы из	1	1
167	является не только	4	1
168	к тому или	1	1
169	связаны между собой	1	1
170	в слове и	1	1
171	и тем же	2	1
172	и не находит	1	1
173	вследствие этого в	1	1
174	в гостиной в	1	1
175	в противном случае	2	1
176	между тем для	1	1
177	в живой речи	1	1
178	в противоречие с	1	1
179	по крайней мере	1	1
180	в данный момент	2	1
181	в результате чего	1	1
182	один и тот	3	1
183	этой точки зрения	1	1
184	и в самом	1	1
185	той же самой	1	1
186	могло бы стать	1	1
187	что же касается	1	1
188	как и в	1	1
189	и небо и	1	1
190	быть сведена к	1	1
191	место лишь в	1	1
192	и не было	1	1
193	и тем более	1	1
194	одного из этих	1	1
195	и иных форм	1	1
196	как он относится	1	1
197	и принять его	1	1
198	так сказать изнутри	2	1
199	не должен быть	1	1
200	говорящий и слушающий	1	1
201	на этот вопрос	3	1
202	в большей или	1	1
203	хотя они и	1	1
204	в частности как	1	1
205	первого лица в	1	1
206	не в слове	1	1
207	не что иное	1	1
208	ни одна из	1	1
209	которых может быть	1	1
210	и та же	1	1
211	и с точки	1	1
212	и здесь мы	3	1
213	его жизни и	1	1
214	как и все	2	1
215	во внутренний мир	1	1
216	как мы видели	4	1
217	тем же самым	1	1
218	при этом однако	1	1
219	так сказать с	1	1
220	но отнюдь не	1	1
221	и мышления в	1	1
222	в той степени	1	1
223	с самого начала	9	1
224	в себе не	1	1
225	той степени в	1	1
226	том что он	3	1
227	мы не видим	1	1
228	же как и	2	1
229	у него нет	1	1
230	с и т.д	1	1
231	не может обойтись	1	1
232	что мы были	1	1
233	одна и та	1	1
234	не видим и	1	1
235	житейских ситуаций и	1	1
236	внутренней речи как	2	1
237	результате чего в	1	1
238	бы это был	1	1
239	совершается переход от	1	1
240	во всех без	2	1
241	вместо того чтобы	1	1
242	как это делает	1	1
243	в основе своей	1	1
244	в следующей главе	3	1
245	то же слово	2	1
246	нет и не	2	1
247	с этой точки	1	1
248	к жизни и	1	1
249	может быть и	8	1
