N	4gram	Vygotskiy_	Marksizm
1	бы то ни было	1	12
2	одного и того же	8	9
3	одни и те же	1	5
4	в том что он	3	4
5	с одной стороны и	2	3
6	все более и более	3	3
7	одной и той же	3	3
8	в связи с этим	1	3
9	один и тот же	5	3
10	в том числе и	2	3
11	с объективной точки зрения	1	3
12	одно и то же	1	3
13	так же как и	2	2
14	несмотря на то что	2	2
15	только по отношению к	1	2
16	в собственном смысле слова	1	2
17	является одной из важнейших	1	2
18	в самом деле если	2	2
19	для того чтобы понять	1	2
20	для того чтобы изучить	1	1
21	но с точки зрения	1	1
22	с этой точки зрения	7	1
23	двумя сторонами одного и	2	1
24	не что иное как	2	1
25	но для того чтобы	1	1
26	не только по отношению	1	1
27	до самого последнего времени	1	1
28	имеют ничего общего с	2	1
29	то же самое что	2	1
30	но при этом она	1	1
31	мы видим таким образом	1	1
32	как мы увидим в	1	1
33	в гораздо большей степени	1	1
34	но как мы уже	1	1
35	и по отношению к	1	1
36	выходит далеко за пределы	3	1
37	по отношению к каждому	1	1
38	смысле этого слова ведь	1	1
39	в тех случаях когда	1	1
40	к тем же выводам	1	1
41	не говоря уже о	1	1
42	по отношению к ним	1	1
43	это находит свое выражение	1	1
44	видим таким образом что	1	1
45	связаны между собой и	1	1
46	приходит к выводу что	1	1
47	но во всяком случае	1	1
48	взаимодействии друг с другом	1	1
49	между теми и другими	1	1
50	можно прямо сказать что	1	1
51	во всяком случае все	1	1
52	не может быть понято	1	1
53	в данном случае мы	1	1
54	и в первом случае	1	1
55	сторонами одного и того	2	1
56	не знает ни одного	1	1
57	не является для него	1	1
58	какое бы то ни	1	1
59	в самом деле как	1	1
60	в этом последнем случае	1	1
61	является в настоящее время	1	1
62	само собой разумеется что	1	1
63	не имеют ничего общего	2	1
64	с письменной речью к	1	1
